Radionuclide	Fe-52
Route of Intake	Ingestion
Material	All unspecified forms, fA=0.1
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	9.2E-1	-	-	9.1E-1	9.3E-4	7.2E-4
0.083333	8.5E-1	-	-	8.3E-1	4.5E-3	1.8E-3
0.125	7.8E-1	-	-	7.5E-1	9.9E-3	2.6E-3
0.25	6.0E-1	-	-	5.6E-1	2.4E-2	3.0E-3
0.375	4.7E-1	-	-	4.2E-1	2.9E-2	2.6E-3
0.5	3.6E-1	-	-	3.2E-1	2.6E-2	2.1E-3
0.625	2.7E-1	-	-	2.4E-1	2.1E-2	1.7E-3
0.75	2.0E-1	-	-	1.8E-1	1.7E-2	1.4E-3
0.875	1.5E-1	-	-	1.3E-1	1.3E-2	1.1E-3
1	1.1E-1	1.9E-6	2.7E-2	9.4E-2	1.0E-2	8.9E-4
1.125	7.7E-2	-	-	6.7E-2	7.7E-3	7.2E-4
1.25	5.5E-2	-	-	4.7E-2	5.8E-3	5.8E-4
1.375	3.9E-2	-	-	3.3E-2	4.4E-3	4.7E-4
1.5	2.8E-2	-	-	2.3E-2	3.4E-3	3.8E-4
1.625	2.0E-2	-	-	1.6E-2	2.6E-3	3.0E-4
1.75	1.4E-2	-	-	1.1E-2	1.9E-3	2.4E-4
1.875	9.6E-3	-	-	7.4E-3	1.5E-3	1.9E-4
2	6.7E-3	2.1E-8	7.6E-3	5.0E-3	1.1E-3	1.5E-4
2.25	3.3E-3	-	-	2.2E-3	6.5E-4	9.8E-5
2.5	1.6E-3	-	-	1.0E-3	3.7E-4	6.2E-5
2.75	8.2E-4	-	-	4.4E-4	2.2E-4	3.9E-5
3	4.2E-4	3.2E-9	4.8E-4	1.9E-4	1.2E-4	2.4E-5
3.25	2.2E-4	-	-	8.2E-5	7.2E-5	1.5E-5
3.5	1.2E-4	-	-	3.5E-5	4.1E-5	9.5E-6
3.75	6.7E-5	-	-	1.5E-5	2.4E-5	5.9E-6
4	3.8E-5	4.5E-10	1.9E-5	6.8E-6	1.4E-5	3.7E-6
4.25	2.2E-5	-	-	3.0E-6	8.0E-6	2.3E-6
4.5	1.3E-5	-	-	1.4E-6	4.6E-6	1.4E-6
4.75	7.5E-6	-	-	6.7E-7	2.7E-6	8.6E-7
5	4.5E-6	-	6.0E-7	3.3E-7	1.5E-6	5.3E-7
5.5	1.6E-6	-	-	9.3E-8	5.2E-7	2.0E-7
6	5.8E-7	-	1.7E-8	3.0E-8	1.7E-7	7.5E-8
6.5	2.1E-7	-	-	1.0E-8	5.9E-8	2.8E-8
7	7.7E-8	-	4.5E-10	3.7E-9	2.0E-8	1.1E-8
7.5	2.8E-8	-	-	1.4E-9	6.8E-9	3.9E-9
8	1.0E-8	-	-	5.2E-10	2.3E-9	1.5E-9
8.5	3.8E-9	-	-	1.9E-10	8.0E-10	5.4E-10
9	1.4E-9	-	-	-	2.7E-10	1.0E-10
9.5	5.1E-10	-	-	-	-	-
10	1.9E-10	-	-	-	-	-
