Radionuclide	Co-60m
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Injection	2.7E-13	Male	2.3E-13	2.3E-13	2.7E-13	2.4E-13	9.8E-14	0.0E+0	9.0E-14	1.7E-13	2.3E-13	1.2E-12	1.5E-13	3.1E-13	9.6E-14	9.2E-14	8.0E-14	3.2E-13	9.6E-14	2.8E-13	1.9E-13	1.1E-12	1.3E-13	8.7E-14	1.0E-13	2.7E-13	1.2E-13	2.3E-13	2.8E-13	1.0E-13	0.0E+0
		Female	2.9E-13	2.5E-13	3.2E-13	2.9E-13	1.0E-13	2.0E-13	0.0E+0	1.9E-13	2.7E-13	1.6E-12	1.8E-13	4.0E-13	1.2E-13	1.1E-13	1.0E-13	3.9E-13	1.2E-13	3.3E-13	2.4E-13	1.3E-12	1.5E-13	1.1E-13	1.2E-13	3.2E-13	0.0E+0	2.7E-13	3.5E-13	1.2E-13	1.3E-13
Ingestion, All chemical forms, fA=0.1	8.4E-14	Male	1.5E-14	3.4E-14	1.6E-14	5.1E-13	1.2E-14	0.0E+0	4.4E-15	9.9E-15	1.2E-13	3.9E-14	8.6E-15	1.3E-14	5.8E-15	6.1E-15	5.3E-15	3.7E-14	9.3E-15	3.8E-14	3.5E-14	4.1E-14	2.4E-14	7.9E-15	6.3E-14	5.2E-14	8.1E-15	4.5E-14	3.5E-14	8.9E-15	0.0E+0
		Female	1.9E-14	2.9E-14	1.6E-14	5.2E-13	1.0E-14	1.8E-14	0.0E+0	1.5E-14	1.3E-13	4.7E-14	9.3E-15	1.7E-14	7.5E-15	8.8E-15	6.4E-15	5.0E-14	1.3E-14	4.7E-14	2.8E-14	5.4E-14	2.4E-14	1.0E-14	7.7E-14	6.3E-14	0.0E+0	5.4E-14	6.1E-14	9.7E-15	2.0E-14
Ingestion, Insoluble oxides, fA=5E-2	8.4E-14	Male	1.5E-14	3.4E-14	1.5E-14	5.1E-13	1.2E-14	0.0E+0	4.4E-15	9.8E-15	1.2E-13	3.8E-14	8.5E-15	1.3E-14	5.8E-15	6.0E-15	5.3E-15	3.7E-14	9.2E-15	3.8E-14	3.4E-14	4.0E-14	2.3E-14	7.8E-15	6.3E-14	5.2E-14	8.0E-15	4.5E-14	3.5E-14	8.8E-15	0.0E+0
		Female	1.9E-14	2.9E-14	1.6E-14	5.2E-13	1.0E-14	1.8E-14	0.0E+0	1.5E-14	1.3E-13	4.6E-14	9.2E-15	1.6E-14	7.4E-15	8.7E-15	6.3E-15	4.9E-14	1.3E-14	4.7E-14	2.8E-14	5.3E-14	2.4E-14	1.0E-14	7.7E-14	6.3E-14	0.0E+0	5.4E-14	6.1E-14	9.7E-15	2.0E-14
Inhalation, Aerosols Type F, Cobalt nitrate, chloride, fA=0.1, 0.001 µm	5.5E-12	Male	2.2E-14	2.5E-14	4.4E-11	9.6E-14	1.4E-14	0.0E+0	7.4E-15	1.3E-14	1.2E-13	5.0E-14	2.1E-14	2.2E-14	1.8E-14	1.8E-14	1.0E-14	3.8E-14	2.6E-12	4.4E-14	2.6E-14	5.1E-14	4.9E-14	1.2E-14	6.3E-14	3.4E-14	1.2E-14	2.2E-14	2.2E-14	1.9E-14	0.0E+0
		Female	2.7E-14	2.6E-14	4.7E-11	1.0E-13	1.5E-14	1.8E-14	0.0E+0	1.6E-14	1.5E-13	5.9E-14	3.6E-14	2.8E-14	2.2E-14	3.1E-14	1.0E-14	4.8E-14	3.2E-12	5.1E-14	3.1E-14	6.1E-14	5.7E-14	1.5E-14	9.4E-14	3.9E-14	0.0E+0	2.8E-14	2.8E-14	2.5E-14	1.9E-14
Inhalation, Aerosols Type F, Cobalt nitrate, chloride, fA=0.1, 0.003 µm	1.2E-11	Male	4.7E-14	4.0E-14	9.3E-11	9.3E-14	3.0E-14	0.0E+0	1.7E-14	2.7E-14	1.1E-13	1.1E-13	3.8E-14	4.6E-14	2.8E-14	2.8E-14	1.8E-14	8.3E-14	1.6E-12	9.6E-14	5.7E-14	1.1E-13	6.0E-14	2.5E-14	5.7E-14	6.6E-14	2.7E-14	3.7E-14	4.6E-14	4.5E-14	0.0E+0
		Female	5.9E-14	4.0E-14	9.8E-11	1.0E-13	3.5E-14	3.4E-14	0.0E+0	3.0E-14	1.5E-13	1.3E-13	5.4E-14	5.9E-14	3.5E-14	4.2E-14	2.1E-14	1.0E-13	2.0E-12	1.1E-13	7.2E-14	1.3E-13	7.6E-14	3.1E-14	8.2E-14	7.5E-14	0.0E+0	4.6E-14	5.5E-14	5.7E-14	3.3E-14
