Radionuclide	Nb-95m
Route of Intake	Injection
Material	Injection, fA=1E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	9.9E-1	-	-	6.3E-2	6.6E-2	9.1E-2
0.083333	9.6E-1	-	-	5.8E-2	6.4E-2	8.5E-2
0.125	9.4E-1	-	-	5.5E-2	6.2E-2	8.1E-2
0.25	8.8E-1	-	-	4.9E-2	6.1E-2	7.5E-2
0.375	8.3E-1	-	-	4.7E-2	6.1E-2	7.3E-2
0.5	7.9E-1	-	-	4.5E-2	6.2E-2	7.2E-2
0.625	7.6E-1	-	-	4.4E-2	6.2E-2	7.2E-2
0.75	7.3E-1	-	-	4.3E-2	6.3E-2	7.1E-2
0.875	7.0E-1	-	-	4.2E-2	6.3E-2	7.1E-2
1	6.8E-1	1.5E-1	1.8E-3	4.1E-2	6.4E-2	7.0E-2
1.125	6.5E-1	-	-	3.9E-2	6.4E-2	7.0E-2
1.25	6.3E-1	-	-	3.8E-2	6.4E-2	6.9E-2
1.375	6.0E-1	-	-	3.6E-2	6.4E-2	6.8E-2
1.5	5.8E-1	-	-	3.5E-2	6.4E-2	6.7E-2
1.625	5.6E-1	-	-	3.4E-2	6.4E-2	6.7E-2
1.75	5.4E-1	-	-	3.2E-2	6.4E-2	6.6E-2
1.875	5.2E-1	-	-	3.1E-2	6.4E-2	6.5E-2
2	5.0E-1	5.5E-2	6.0E-3	3.0E-2	6.3E-2	6.4E-2
2.25	4.6E-1	-	-	2.7E-2	6.3E-2	6.2E-2
2.5	4.3E-1	-	-	2.5E-2	6.2E-2	6.0E-2
2.75	4.0E-1	-	-	2.2E-2	6.1E-2	5.8E-2
3	3.7E-1	3.6E-2	5.7E-3	2.0E-2	5.9E-2	5.6E-2
3.25	3.4E-1	-	-	1.9E-2	5.8E-2	5.3E-2
3.5	3.2E-1	-	-	1.7E-2	5.7E-2	5.1E-2
3.75	3.0E-1	-	-	1.5E-2	5.5E-2	4.9E-2
4	2.8E-1	2.3E-2	4.3E-3	1.4E-2	5.4E-2	4.7E-2
4.25	2.6E-1	-	-	1.3E-2	5.2E-2	4.5E-2
4.5	2.4E-1	-	-	1.2E-2	5.1E-2	4.3E-2
4.75	2.2E-1	-	-	1.0E-2	4.9E-2	4.1E-2
5	2.1E-1	1.5E-2	3.0E-3	9.5E-3	4.7E-2	4.0E-2
5.5	1.8E-1	-	-	7.8E-3	4.4E-2	3.6E-2
6	1.6E-1	1.0E-2	2.1E-3	6.5E-3	4.1E-2	3.3E-2
6.5	1.4E-1	-	-	5.4E-3	3.8E-2	3.0E-2
7	1.2E-1	6.6E-3	1.5E-3	4.4E-3	3.5E-2	2.7E-2
7.5	1.1E-1	-	-	3.7E-3	3.3E-2	2.5E-2
8	9.8E-2	4.3E-3	1.0E-3	3.0E-3	3.0E-2	2.2E-2
8.5	8.7E-2	-	-	2.5E-3	2.8E-2	2.0E-2
9	7.7E-2	2.9E-3	7.0E-4	2.1E-3	2.5E-2	1.8E-2
9.5	6.9E-2	-	-	1.7E-3	2.3E-2	1.7E-2
10	6.1E-2	1.9E-3	4.8E-4	1.4E-3	2.1E-2	1.5E-2
11	4.9E-2	1.3E-3	3.2E-4	9.9E-4	1.8E-2	1.2E-2
12	3.9E-2	8.4E-4	2.2E-4	6.9E-4	1.5E-2	1.0E-2
13	3.2E-2	5.6E-4	1.5E-4	4.9E-4	1.2E-2	8.4E-3
14	2.6E-2	3.8E-4	1.0E-4	3.5E-4	1.0E-2	6.9E-3
15	2.1E-2	2.6E-4	6.8E-5	2.5E-4	8.5E-3	5.7E-3
16	1.7E-2	1.8E-4	4.6E-5	1.8E-4	7.1E-3	4.6E-3
17	1.4E-2	1.2E-4	3.1E-5	1.3E-4	5.9E-3	3.8E-3
18	1.1E-2	8.4E-5	2.1E-5	9.8E-5	4.9E-3	3.1E-3
19	9.3E-3	5.9E-5	1.5E-5	7.3E-5	4.0E-3	2.6E-3
20	7.6E-3	4.2E-5	1.0E-5	5.6E-5	3.3E-3	2.1E-3
21	6.3E-3	3.0E-5	7.1E-6	4.3E-5	2.8E-3	1.7E-3
22	5.1E-3	2.2E-5	5.0E-6	3.3E-5	2.3E-3	1.4E-3
23	4.2E-3	1.6E-5	3.5E-6	2.6E-5	1.9E-3	1.2E-3
