Radionuclide	Tc-96m
Route of Intake	Injection
Material	Injection, fA=0.9
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Thyroid*	Skeleton*	Liver*
0.041667	4.4E-1	-	-	7.6E-2	9.1E-3	1.3E-2	3.8E-2
0.083333	1.9E-1	-	-	4.5E-2	3.3E-3	6.3E-3	2.0E-2
0.125	8.5E-2	-	-	2.2E-2	1.3E-3	3.1E-3	9.1E-3
0.25	7.2E-3	-	-	2.3E-3	9.2E-5	3.3E-4	7.3E-4
0.375	6.1E-4	-	-	2.3E-4	6.9E-6	3.3E-5	5.2E-5
0.5	5.2E-5	-	-	2.1E-5	5.2E-7	3.1E-6	3.6E-6
0.625	4.5E-6	-	-	2.0E-6	4.1E-8	2.8E-7	2.5E-7
0.75	3.9E-7	-	-	1.8E-7	3.2E-9	2.5E-8	1.7E-8
0.875	3.3E-8	-	-	1.6E-8	2.5E-10	2.2E-9	1.3E-9
1	2.9E-9	8.4E-10	1.1E-10	1.4E-9	-	-	-
1.125	2.5E-10	-	-	-	-	-	-
