Radionuclide	Tl-204
Route of Intake	Injection
Material	Injection, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.0E+0	-	-	3.4E-2	1.5E-1	5.3E-2
0.083333	9.9E-1	-	-	3.6E-2	1.5E-1	5.3E-2
0.125	9.9E-1	-	-	3.7E-2	1.5E-1	5.3E-2
0.25	9.9E-1	-	-	4.2E-2	1.5E-1	5.2E-2
0.375	9.9E-1	-	-	4.7E-2	1.5E-1	5.2E-2
0.5	9.8E-1	-	-	5.1E-2	1.5E-1	5.1E-2
0.625	9.8E-1	-	-	5.4E-2	1.5E-1	5.1E-2
0.75	9.8E-1	-	-	5.7E-2	1.4E-1	5.0E-2
0.875	9.7E-1	-	-	6.0E-2	1.4E-1	5.0E-2
1	9.7E-1	2.4E-2	1.0E-2	6.2E-2	1.4E-1	5.0E-2
1.125	9.6E-1	-	-	6.4E-2	1.4E-1	4.9E-2
1.25	9.6E-1	-	-	6.5E-2	1.4E-1	4.9E-2
1.375	9.5E-1	-	-	6.7E-2	1.4E-1	4.8E-2
1.5	9.4E-1	-	-	6.8E-2	1.4E-1	4.8E-2
1.625	9.4E-1	-	-	6.8E-2	1.4E-1	4.8E-2
1.75	9.3E-1	-	-	6.9E-2	1.4E-1	4.7E-2
1.875	9.2E-1	-	-	6.9E-2	1.3E-1	4.7E-2
2	9.2E-1	1.7E-2	3.1E-2	6.9E-2	1.3E-1	4.6E-2
2.25	9.0E-1	-	-	6.9E-2	1.3E-1	4.6E-2
2.5	8.9E-1	-	-	6.9E-2	1.3E-1	4.5E-2
2.75	8.8E-1	-	-	6.8E-2	1.3E-1	4.4E-2
3	8.6E-1	1.6E-2	3.7E-2	6.8E-2	1.3E-1	4.4E-2
3.25	8.5E-1	-	-	6.7E-2	1.2E-1	4.3E-2
3.5	8.4E-1	-	-	6.6E-2	1.2E-1	4.2E-2
3.75	8.3E-1	-	-	6.5E-2	1.2E-1	4.2E-2
4	8.1E-1	1.5E-2	3.7E-2	6.4E-2	1.2E-1	4.1E-2
