Radionuclide	Pb-204m
Route of Intake	Inhalation
Material	Aerosols Type M, fA=4E-2
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	4.4E-1	-	-	1.5E-1	4.1E-2	1.7E-4	1.4E-4
0.083333	2.3E-1	-	-	9.0E-2	2.0E-2	2.1E-4	1.7E-4
0.125	1.2E-1	-	-	5.3E-2	1.1E-2	1.9E-4	1.4E-4
0.25	1.9E-2	-	-	9.7E-3	1.5E-3	6.4E-5	4.9E-5
0.375	2.8E-3	-	-	1.7E-3	2.3E-4	1.5E-5	1.1E-5
0.5	4.3E-4	-	-	2.8E-4	3.5E-5	2.8E-6	2.2E-6
0.625	6.5E-5	-	-	4.5E-5	5.3E-6	5.1E-7	4.1E-7
0.75	9.8E-6	-	-	7.1E-6	8.2E-7	8.8E-8	7.2E-8
0.875	1.5E-6	-	-	1.1E-6	1.3E-7	1.5E-8	1.2E-8
1	2.2E-7	5.0E-10	2.9E-8	1.7E-7	1.9E-8	2.4E-9	2.0E-9
1.125	3.2E-8	-	-	2.5E-8	3.0E-9	3.9E-10	3.3E-10
1.25	4.7E-9	-	-	3.7E-9	4.6E-10	-	-
1.375	6.9E-10	-	-	5.4E-10	-	-	-
1.5	1.0E-10	-	-	-	-	-	-
