Radionuclide	Pb-204m
Route of Intake	Injection
Material	Injection, fA=0.2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	5.3E-1	-	-	2.6E-2	8.3E-2	6.3E-2
0.083333	2.8E-1	-	-	1.4E-2	4.8E-2	3.6E-2
0.125	1.5E-1	-	-	7.9E-3	2.7E-2	2.1E-2
0.25	2.3E-2	-	-	1.3E-3	4.6E-3	3.6E-3
0.375	3.6E-3	-	-	2.1E-4	7.4E-4	5.9E-4
0.5	5.7E-4	-	-	3.4E-5	1.2E-4	9.5E-5
0.625	8.8E-5	-	-	5.3E-6	1.8E-5	1.5E-5
0.75	1.4E-5	-	-	8.2E-7	2.8E-6	2.4E-6
0.875	2.1E-6	-	-	1.3E-7	4.3E-7	3.8E-7
1	3.3E-7	1.6E-8	1.6E-9	2.0E-8	6.7E-8	5.9E-8
1.125	5.2E-8	-	-	3.1E-9	1.0E-8	9.3E-9
1.25	8.1E-9	-	-	4.7E-10	1.6E-9	1.5E-9
1.375	1.3E-9	-	-	-	2.5E-10	2.3E-10
1.5	2.0E-10	-	-	-	-	-
