Radionuclide	Bi-210
Route of Intake	Injection
Material	Injection, fA=5E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	9.6E-1	-	-	3.5E-2	3.3E-2	1.7E-1
0.083333	9.1E-1	-	-	4.0E-2	4.0E-2	2.3E-1
0.125	8.7E-1	-	-	4.3E-2	4.4E-2	2.5E-1
0.25	7.8E-1	-	-	5.1E-2	4.8E-2	2.7E-1
0.375	7.2E-1	-	-	5.6E-2	4.7E-2	2.7E-1
0.5	6.8E-1	-	-	5.9E-2	4.6E-2	2.6E-1
0.625	6.5E-1	-	-	6.2E-2	4.6E-2	2.5E-1
0.75	6.2E-1	-	-	6.4E-2	4.5E-2	2.4E-1
0.875	5.9E-1	-	-	6.5E-2	4.4E-2	2.3E-1
1	5.6E-1	2.9E-1	1.3E-2	6.5E-2	4.3E-2	2.2E-1
1.125	5.4E-1	-	-	6.5E-2	4.2E-2	2.1E-1
1.25	5.1E-1	-	-	6.4E-2	4.1E-2	2.0E-1
1.375	4.9E-1	-	-	6.3E-2	4.0E-2	2.0E-1
1.5	4.7E-1	-	-	6.2E-2	4.0E-2	1.9E-1
1.625	4.5E-1	-	-	6.0E-2	3.9E-2	1.8E-1
1.75	4.3E-1	-	-	5.8E-2	3.8E-2	1.8E-1
1.875	4.1E-1	-	-	5.6E-2	3.7E-2	1.7E-1
2	3.9E-1	6.7E-2	3.1E-2	5.4E-2	3.7E-2	1.6E-1
2.25	3.6E-1	-	-	5.0E-2	3.5E-2	1.5E-1
2.5	3.3E-1	-	-	4.5E-2	3.4E-2	1.4E-1
2.75	3.1E-1	-	-	4.1E-2	3.3E-2	1.3E-1
3	2.8E-1	3.2E-2	2.8E-2	3.7E-2	3.1E-2	1.2E-1
3.25	2.6E-1	-	-	3.3E-2	3.0E-2	1.2E-1
3.5	2.4E-1	-	-	3.0E-2	2.9E-2	1.1E-1
3.75	2.3E-1	-	-	2.7E-2	2.8E-2	1.0E-1
4	2.1E-1	1.6E-2	2.0E-2	2.4E-2	2.7E-2	9.5E-2
4.25	2.0E-1	-	-	2.2E-2	2.6E-2	8.9E-2
4.5	1.8E-1	-	-	2.0E-2	2.5E-2	8.4E-2
4.75	1.7E-1	-	-	1.8E-2	2.4E-2	7.9E-2
5	1.6E-1	8.6E-3	1.3E-2	1.6E-2	2.3E-2	7.4E-2
5.5	1.4E-1	-	-	1.3E-2	2.1E-2	6.6E-2
6	1.3E-1	5.2E-3	8.4E-3	1.1E-2	1.9E-2	5.9E-2
6.5	1.1E-1	-	-	8.7E-3	1.8E-2	5.2E-2
7	1.0E-1	3.5E-3	5.5E-3	7.1E-3	1.7E-2	4.7E-2
7.5	9.2E-2	-	-	5.9E-3	1.5E-2	4.2E-2
8	8.3E-2	2.5E-3	3.6E-3	4.9E-3	1.4E-2	3.8E-2
8.5	7.5E-2	-	-	4.1E-3	1.3E-2	3.4E-2
9	6.8E-2	1.9E-3	2.5E-3	3.4E-3	1.2E-2	3.1E-2
9.5	6.1E-2	-	-	2.9E-3	1.1E-2	2.8E-2
10	5.6E-2	1.5E-3	1.7E-3	2.5E-3	1.0E-2	2.5E-2
11	4.6E-2	1.2E-3	1.2E-3	1.8E-3	8.8E-3	2.0E-2
12	3.8E-2	1.0E-3	8.7E-4	1.4E-3	7.5E-3	1.7E-2
13	3.2E-2	8.4E-4	6.4E-4	1.1E-3	6.4E-3	1.4E-2
14	2.6E-2	6.9E-4	4.8E-4	8.2E-4	5.4E-3	1.1E-2
15	2.2E-2	5.7E-4	3.7E-4	6.5E-4	4.6E-3	9.3E-3
16	1.9E-2	4.7E-4	2.9E-4	5.2E-4	3.9E-3	7.7E-3
17	1.6E-2	3.9E-4	2.3E-4	4.2E-4	3.3E-3	6.4E-3
18	1.3E-2	3.2E-4	1.8E-4	3.4E-4	2.8E-3	5.3E-3
19	1.1E-2	2.7E-4	1.5E-4	2.8E-4	2.4E-3	4.4E-3
20	9.2E-3	2.2E-4	1.2E-4	2.3E-4	2.0E-3	3.6E-3
21	7.7E-3	1.8E-4	9.6E-5	1.9E-4	1.7E-3	3.0E-3
22	6.5E-3	1.5E-4	7.9E-5	1.6E-4	1.5E-3	2.5E-3
23	5.4E-3	1.3E-4	6.5E-5	1.3E-4	1.3E-3	2.0E-3
24	4.6E-3	1.1E-4	5.3E-5	1.1E-4	1.1E-3	1.7E-3
25	3.9E-3	8.8E-5	4.4E-5	9.2E-5	9.0E-4	1.4E-3
26	3.2E-3	7.4E-5	3.6E-5	7.7E-5	7.7E-4	1.2E-3
27	2.7E-3	6.1E-5	3.0E-5	6.4E-5	6.5E-4	9.6E-4
28	2.3E-3	5.1E-5	2.5E-5	5.4E-5	5.5E-4	7.9E-4
29	1.9E-3	4.3E-5	2.1E-5	4.5E-5	4.7E-4	6.6E-4
30	1.6E-3	3.5E-5	1.7E-5	3.8E-5	4.0E-4	5.5E-4
