Radionuclide	Co-58
Route of Intake	Ingestion
Material	Insoluble oxides, fA=5E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.0E+0	-	-	1.0E+0	2.5E-4	1.2E-3
0.083333	1.0E+0	-	-	9.9E-1	7.3E-4	3.8E-3
0.125	1.0E+0	-	-	9.8E-1	1.2E-3	6.4E-3
0.25	9.9E-1	-	-	9.6E-1	2.3E-3	1.2E-2
0.375	9.7E-1	-	-	9.4E-1	2.8E-3	1.4E-2
0.5	9.5E-1	-	-	9.2E-1	3.0E-3	1.5E-2
0.625	9.2E-1	-	-	8.9E-1	3.2E-3	1.5E-2
0.75	8.8E-1	-	-	8.5E-1	3.2E-3	1.5E-2
0.875	8.2E-1	-	-	7.9E-1	3.3E-3	1.5E-2
1	7.7E-1	1.7E-2	2.1E-1	7.4E-1	3.3E-3	1.4E-2
1.125	7.1E-1	-	-	6.8E-1	3.3E-3	1.4E-2
1.25	6.4E-1	-	-	6.1E-1	3.3E-3	1.3E-2
1.375	5.8E-1	-	-	5.5E-1	3.3E-3	1.3E-2
1.5	5.2E-1	-	-	4.9E-1	3.3E-3	1.3E-2
1.625	4.6E-1	-	-	4.4E-1	3.3E-3	1.2E-2
1.75	4.1E-1	-	-	3.8E-1	3.3E-3	1.2E-2
1.875	3.6E-1	-	-	3.3E-1	3.3E-3	1.1E-2
2	3.2E-1	2.7E-3	4.4E-1	2.9E-1	3.3E-3	1.1E-2
2.25	2.4E-1	-	-	2.2E-1	3.3E-3	1.0E-2
2.5	1.8E-1	-	-	1.6E-1	3.3E-3	9.7E-3
2.75	1.4E-1	-	-	1.1E-1	3.3E-3	9.1E-3
3	1.0E-1	2.0E-3	2.1E-1	8.1E-2	3.3E-3	8.6E-3
3.25	7.9E-2	-	-	5.7E-2	3.2E-3	8.1E-3
3.5	6.2E-2	-	-	4.0E-2	3.2E-3	7.6E-3
3.75	4.9E-2	-	-	2.8E-2	3.2E-3	7.2E-3
4	4.0E-2	1.5E-3	6.1E-2	1.9E-2	3.2E-3	6.8E-3
4.25	3.4E-2	-	-	1.4E-2	3.2E-3	6.4E-3
4.5	2.9E-2	-	-	9.5E-3	3.1E-3	6.1E-3
