Radionuclide	Cl-39
Route of Intake	Inhalation
Material	Aerosols Type M, fA=0.2
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Faeces (24-hour sample)	Alimentary Tract*	Lungs*
0.041667	3.1E-1	-	1.1E-1	6.5E-3
0.083333	1.5E-1	-	5.9E-2	2.7E-3
0.125	6.8E-2	-	2.9E-2	1.2E-3
0.25	7.0E-3	-	3.5E-3	1.1E-4
0.375	7.2E-4	-	4.0E-4	1.1E-5
0.5	7.4E-5	-	4.4E-5	1.2E-6
0.625	7.6E-6	-	4.8E-6	1.2E-7
0.75	7.7E-7	-	5.1E-7	1.3E-8
0.875	7.9E-8	-	5.3E-8	1.4E-9
1	7.9E-9	1.0E-9	5.5E-9	1.4E-10
1.125	8.0E-10	-	5.5E-10	-
