Radionuclide	Ca-47
Route of Intake	Inhalation
Material	Aerosols Type F, Calcium chloride, fA=0.4
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*
0.041667	7.6E-1	-	-	1.7E-1	1.5E-2	2.2E-2
0.083333	7.4E-1	-	-	1.7E-1	1.0E-2	3.4E-2
0.125	7.2E-1	-	-	1.7E-1	9.0E-3	4.3E-2
0.25	6.8E-1	-	-	1.7E-1	7.5E-3	6.4E-2
0.375	6.5E-1	-	-	1.8E-1	6.8E-3	8.0E-2
0.5	6.2E-1	-	-	1.8E-1	6.3E-3	9.2E-2
0.625	5.9E-1	-	-	1.8E-1	5.9E-3	1.0E-1
0.75	5.6E-1	-	-	1.8E-1	5.5E-3	1.1E-1
0.875	5.3E-1	-	-	1.7E-1	5.1E-3	1.1E-1
1	5.1E-1	2.4E-2	3.2E-2	1.6E-1	4.8E-3	1.2E-1
1.125	4.8E-1	-	-	1.5E-1	4.5E-3	1.2E-1
1.25	4.6E-1	-	-	1.4E-1	4.2E-3	1.2E-1
1.375	4.3E-1	-	-	1.3E-1	4.0E-3	1.2E-1
1.5	4.1E-1	-	-	1.2E-1	3.8E-3	1.2E-1
1.625	3.9E-1	-	-	1.1E-1	3.5E-3	1.2E-1
1.75	3.7E-1	-	-	9.9E-2	3.4E-3	1.2E-1
1.875	3.5E-1	-	-	8.8E-2	3.2E-3	1.2E-1
2	3.4E-1	1.2E-2	7.6E-2	7.9E-2	3.0E-3	1.2E-1
2.25	3.0E-1	-	-	6.2E-2	2.7E-3	1.1E-1
2.5	2.8E-1	-	-	4.9E-2	2.5E-3	1.1E-1
2.75	2.6E-1	-	-	3.8E-2	2.3E-3	1.0E-1
3	2.4E-1	7.3E-3	4.4E-2	3.0E-2	2.1E-3	9.9E-2
3.25	2.2E-1	-	-	2.3E-2	2.0E-3	9.4E-2
3.5	2.0E-1	-	-	1.9E-2	1.8E-3	9.0E-2
3.75	1.9E-1	-	-	1.5E-2	1.7E-3	8.6E-2
4	1.8E-1	4.9E-3	1.7E-2	1.2E-2	1.6E-3	8.1E-2
4.25	1.7E-1	-	-	1.0E-2	1.5E-3	7.8E-2
4.5	1.6E-1	-	-	9.0E-3	1.4E-3	7.4E-2
4.75	1.5E-1	-	-	7.8E-3	1.3E-3	7.1E-2
