Radionuclide	Sc-44m
Route of Intake	Inhalation
Material	Aerosols Type F, fA=1E-3
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	8.6E-1	-	-	9.1E-2	2.5E-1	4.0E-2	5.4E-2
0.083333	8.5E-1	-	-	1.0E-1	1.2E-1	5.8E-2	7.5E-2
0.125	8.4E-1	-	-	1.1E-1	8.2E-2	7.0E-2	8.5E-2
0.25	8.0E-1	-	-	1.1E-1	5.1E-2	9.0E-2	1.0E-1
0.375	7.6E-1	-	-	1.1E-1	3.8E-2	1.0E-1	1.1E-1
0.5	7.3E-1	-	-	1.0E-1	3.0E-2	1.1E-1	1.1E-1
0.625	7.0E-1	-	-	1.0E-1	2.4E-2	1.1E-1	1.1E-1
0.75	6.7E-1	-	-	9.8E-2	2.0E-2	1.2E-1	1.1E-1
0.875	6.4E-1	-	-	9.4E-2	1.8E-2	1.2E-1	1.1E-1
1	6.1E-1	9.4E-3	1.3E-2	8.8E-2	1.5E-2	1.1E-1	1.1E-1
1.125	5.9E-1	-	-	8.2E-2	1.4E-2	1.1E-1	1.0E-1
1.25	5.6E-1	-	-	7.6E-2	1.2E-2	1.1E-1	1.0E-1
1.375	5.4E-1	-	-	6.9E-2	1.1E-2	1.1E-1	9.6E-2
1.5	5.1E-1	-	-	6.3E-2	1.0E-2	1.1E-1	9.2E-2
1.625	4.9E-1	-	-	5.7E-2	9.7E-3	1.0E-1	8.9E-2
1.75	4.7E-1	-	-	5.1E-2	9.0E-3	1.0E-1	8.5E-2
1.875	4.5E-1	-	-	4.6E-2	8.4E-3	1.0E-1	8.2E-2
2	4.3E-1	1.3E-3	3.1E-2	4.1E-2	7.9E-3	9.7E-2	7.9E-2
2.25	3.9E-1	-	-	3.3E-2	6.9E-3	9.2E-2	7.2E-2
2.5	3.6E-1	-	-	2.6E-2	6.1E-3	8.8E-2	6.6E-2
2.75	3.3E-1	-	-	2.1E-2	5.4E-3	8.3E-2	6.1E-2
3	3.0E-1	5.7E-4	1.7E-2	1.7E-2	4.8E-3	7.8E-2	5.6E-2
