Radionuclide	Sc-47
Route of Intake	Inhalation
Material	Aerosols Type S, fA=1E-5
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	9.3E-1	-	-	2.0E-1	4.3E-1	4.6E-5	6.2E-5
0.083333	9.2E-1	-	-	2.4E-1	4.1E-1	9.0E-5	1.2E-4
0.125	9.0E-1	-	-	2.6E-1	3.9E-1	1.3E-4	1.7E-4
0.25	8.6E-1	-	-	3.2E-1	3.6E-1	2.6E-4	3.0E-4
0.375	8.3E-1	-	-	3.5E-1	3.4E-1	3.6E-4	4.0E-4
0.5	7.9E-1	-	-	3.6E-1	3.3E-1	4.5E-4	4.8E-4
0.625	7.6E-1	-	-	3.7E-1	3.1E-1	5.1E-4	5.4E-4
0.75	7.2E-1	-	-	3.6E-1	3.0E-1	5.6E-4	5.7E-4
0.875	6.9E-1	-	-	3.5E-1	2.9E-1	6.0E-4	5.9E-4
1	6.5E-1	4.8E-5	5.6E-2	3.4E-1	2.7E-1	6.2E-4	6.0E-4
1.125	6.1E-1	-	-	3.2E-1	2.6E-1	6.4E-4	6.0E-4
1.25	5.7E-1	-	-	3.0E-1	2.5E-1	6.4E-4	6.0E-4
1.375	5.4E-1	-	-	2.8E-1	2.4E-1	6.5E-4	5.9E-4
1.5	5.0E-1	-	-	2.5E-1	2.3E-1	6.5E-4	5.8E-4
1.625	4.6E-1	-	-	2.3E-1	2.2E-1	6.4E-4	5.7E-4
1.75	4.3E-1	-	-	2.1E-1	2.1E-1	6.4E-4	5.6E-4
1.875	4.0E-1	-	-	1.9E-1	2.0E-1	6.3E-4	5.4E-4
2	3.7E-1	1.5E-5	1.5E-1	1.7E-1	2.0E-1	6.3E-4	5.3E-4
2.25	3.2E-1	-	-	1.3E-1	1.8E-1	6.1E-4	5.0E-4
2.5	2.8E-1	-	-	1.1E-1	1.7E-1	5.9E-4	4.7E-4
2.75	2.4E-1	-	-	8.5E-2	1.5E-1	5.7E-4	4.4E-4
3	2.1E-1	5.0E-6	8.9E-2	6.7E-2	1.4E-1	5.6E-4	4.1E-4
3.25	1.9E-1	-	-	5.4E-2	1.3E-1	5.4E-4	3.9E-4
3.5	1.7E-1	-	-	4.4E-2	1.2E-1	5.2E-4	3.6E-4
3.75	1.5E-1	-	-	3.6E-2	1.1E-1	5.0E-4	3.4E-4
4	1.4E-1	3.2E-6	3.6E-2	3.0E-2	1.0E-1	4.8E-4	3.2E-4
4.25	1.2E-1	-	-	2.6E-2	9.6E-2	4.6E-4	3.0E-4
4.5	1.1E-1	-	-	2.2E-2	8.9E-2	4.5E-4	2.8E-4
4.75	1.0E-1	-	-	1.9E-2	8.3E-2	4.3E-4	2.6E-4
5	9.5E-2	2.2E-6	1.6E-2	1.7E-2	7.7E-2	4.1E-4	2.5E-4
5.5	8.1E-2	-	-	1.3E-2	6.6E-2	3.8E-4	2.2E-4
6	6.9E-2	1.6E-6	8.4E-3	1.0E-2	5.7E-2	3.5E-4	1.9E-4
6.5	5.9E-2	-	-	8.4E-3	4.9E-2	3.2E-4	1.7E-4
7	5.1E-2	1.1E-6	5.1E-3	6.9E-3	4.3E-2	3.0E-4	1.5E-4
7.5	4.4E-2	-	-	5.6E-3	3.7E-2	2.7E-4	1.3E-4
8	3.8E-2	8.2E-7	3.3E-3	4.6E-3	3.3E-2	2.5E-4	1.2E-4
8.5	3.3E-2	-	-	3.7E-3	2.8E-2	2.3E-4	1.0E-4
9	2.9E-2	6.0E-7	2.2E-3	3.0E-3	2.5E-2	2.1E-4	9.2E-5
9.5	2.5E-2	-	-	2.5E-3	2.2E-2	1.9E-4	8.2E-5
10	2.2E-2	4.4E-7	1.5E-3	2.0E-3	1.9E-2	1.7E-4	7.3E-5
11	1.7E-2	3.3E-7	9.9E-4	1.4E-3	1.5E-2	1.4E-4	5.7E-5
12	1.3E-2	2.4E-7	6.6E-4	9.1E-4	1.2E-2	1.2E-4	4.5E-5
13	1.0E-2	1.8E-7	4.4E-4	6.1E-4	9.2E-3	9.8E-5	3.6E-5
14	7.9E-3	1.4E-7	3.0E-4	4.1E-4	7.3E-3	8.1E-5	2.9E-5
15	6.2E-3	1.0E-7	2.0E-4	2.8E-4	5.8E-3	6.7E-5	2.3E-5
16	4.9E-3	7.8E-8	1.3E-4	1.9E-4	4.6E-3	5.5E-5	1.8E-5
17	3.9E-3	6.0E-8	9.1E-5	1.3E-4	3.7E-3	4.5E-5	1.5E-5
18	3.1E-3	4.6E-8	6.1E-5	8.7E-5	2.9E-3	3.7E-5	1.2E-5
19	2.5E-3	3.5E-8	4.2E-5	5.9E-5	2.4E-3	3.1E-5	9.4E-6
20	2.0E-3	2.7E-8	2.8E-5	4.1E-5	1.9E-3	2.5E-5	7.6E-6
21	1.6E-3	2.1E-8	1.9E-5	2.8E-5	1.5E-3	2.0E-5	6.1E-6
