Radionuclide	V-50
Route of Intake	Inhalation
Material	Aerosols Type M, fA=4E-2
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	5.1E-1	-	-	1.4E-1	1.3E-1	2.9E-4	4.0E-4
0.083333	5.0E-1	-	-	1.6E-1	1.2E-1	5.2E-4	7.1E-4
0.125	5.0E-1	-	-	1.7E-1	1.2E-1	7.3E-4	9.8E-4
0.25	4.8E-1	-	-	2.1E-1	1.1E-1	1.2E-3	1.5E-3
0.375	4.7E-1	-	-	2.3E-1	1.1E-1	1.5E-3	1.9E-3
0.5	4.6E-1	-	-	2.4E-1	1.0E-1	1.7E-3	2.0E-3
0.625	4.4E-1	-	-	2.5E-1	1.0E-1	1.9E-3	2.1E-3
0.75	4.3E-1	-	-	2.5E-1	1.0E-1	2.0E-3	2.2E-3
0.875	4.2E-1	-	-	2.5E-1	1.0E-1	2.0E-3	2.2E-3
1	4.0E-1	8.3E-3	4.3E-2	2.4E-1	9.9E-2	2.1E-3	2.2E-3
1.125	3.8E-1	-	-	2.3E-1	9.8E-2	2.1E-3	2.2E-3
1.25	3.6E-1	-	-	2.2E-1	9.7E-2	2.2E-3	2.2E-3
1.375	3.4E-1	-	-	2.1E-1	9.7E-2	2.2E-3	2.1E-3
1.5	3.3E-1	-	-	1.9E-1	9.6E-2	2.2E-3	2.1E-3
1.625	3.1E-1	-	-	1.8E-1	9.6E-2	2.2E-3	2.0E-3
1.75	2.9E-1	-	-	1.6E-1	9.6E-2	2.2E-3	2.0E-3
1.875	2.7E-1	-	-	1.5E-1	9.5E-2	2.2E-3	2.0E-3
2	2.6E-1	3.4E-3	1.3E-1	1.3E-1	9.5E-2	2.3E-3	1.9E-3
2.25	2.3E-1	-	-	1.0E-1	9.4E-2	2.3E-3	1.8E-3
2.5	2.0E-1	-	-	8.1E-2	9.4E-2	2.3E-3	1.8E-3
2.75	1.8E-1	-	-	6.3E-2	9.3E-2	2.3E-3	1.7E-3
3	1.7E-1	2.0E-3	8.7E-2	4.8E-2	9.2E-2	2.3E-3	1.6E-3
3.25	1.5E-1	-	-	3.6E-2	9.2E-2	2.3E-3	1.5E-3
3.5	1.4E-1	-	-	2.7E-2	9.1E-2	2.4E-3	1.5E-3
3.75	1.4E-1	-	-	2.0E-2	9.1E-2	2.4E-3	1.4E-3
4	1.3E-1	1.6E-3	3.4E-2	1.5E-2	9.0E-2	2.4E-3	1.4E-3
4.25	1.3E-1	-	-	1.2E-2	9.0E-2	2.4E-3	1.3E-3
4.5	1.2E-1	-	-	9.2E-3	8.9E-2	2.4E-3	1.3E-3
4.75	1.2E-1	-	-	7.3E-3	8.9E-2	2.5E-3	1.2E-3
5	1.2E-1	1.4E-3	1.1E-2	5.9E-3	8.9E-2	2.5E-3	1.2E-3
5.5	1.1E-1	-	-	4.2E-3	8.8E-2	2.5E-3	1.1E-3
6	1.1E-1	1.3E-3	3.6E-3	3.2E-3	8.7E-2	2.6E-3	1.1E-3
6.5	1.1E-1	-	-	2.7E-3	8.6E-2	2.6E-3	1.0E-3
7	1.1E-1	1.2E-3	1.7E-3	2.4E-3	8.6E-2	2.6E-3	9.7E-4
7.5	1.1E-1	-	-	2.2E-3	8.5E-2	2.7E-3	9.3E-4
8	1.1E-1	1.1E-3	1.1E-3	2.0E-3	8.5E-2	2.7E-3	9.0E-4
8.5	1.1E-1	-	-	1.9E-3	8.4E-2	2.7E-3	8.7E-4
9	1.1E-1	1.0E-3	8.7E-4	1.8E-3	8.4E-2	2.8E-3	8.4E-4
9.5	1.0E-1	-	-	1.7E-3	8.3E-2	2.8E-3	8.2E-4
10	1.0E-1	9.5E-4	7.3E-4	1.6E-3	8.3E-2	2.9E-3	8.0E-4
11	1.0E-1	9.0E-4	6.3E-4	1.4E-3	8.2E-2	2.9E-3	7.6E-4
12	1.0E-1	8.5E-4	5.5E-4	1.3E-3	8.1E-2	3.0E-3	7.3E-4
13	1.0E-1	8.2E-4	4.8E-4	1.2E-3	8.0E-2	3.1E-3	7.1E-4
14	9.9E-2	7.8E-4	4.3E-4	1.1E-3	7.9E-2	3.1E-3	6.9E-4
15	9.8E-2	7.5E-4	3.9E-4	1.0E-3	7.9E-2	3.2E-3	6.7E-4
16	9.6E-2	7.2E-4	3.5E-4	9.4E-4	7.8E-2	3.2E-3	6.6E-4
17	9.5E-2	7.0E-4	3.2E-4	8.8E-4	7.7E-2	3.3E-3	6.4E-4
18	9.4E-2	6.7E-4	2.9E-4	8.4E-4	7.7E-2	3.3E-3	6.3E-4
19	9.4E-2	6.5E-4	2.7E-4	8.0E-4	7.6E-2	3.4E-3	6.2E-4
20	9.3E-2	6.3E-4	2.5E-4	7.6E-4	7.6E-2	3.4E-3	6.1E-4
21	9.2E-2	6.1E-4	2.4E-4	7.3E-4	7.5E-2	3.4E-3	6.0E-4
22	9.1E-2	5.9E-4	2.3E-4	7.1E-4	7.4E-2	3.5E-3	5.9E-4
23	9.0E-2	5.8E-4	2.2E-4	6.8E-4	7.4E-2	3.5E-3	5.9E-4
24	8.9E-2	5.6E-4	2.1E-4	6.6E-4	7.3E-2	3.5E-3	5.8E-4
25	8.9E-2	5.5E-4	2.0E-4	6.5E-4	7.3E-2	3.6E-3	5.7E-4
26	8.8E-2	5.3E-4	1.9E-4	6.3E-4	7.2E-2	3.6E-3	5.6E-4
27	8.7E-2	5.2E-4	1.9E-4	6.2E-4	7.2E-2	3.6E-3	5.6E-4
28	8.7E-2	5.1E-4	1.8E-4	6.0E-4	7.1E-2	3.6E-3	5.5E-4
29	8.6E-2	5.0E-4	1.8E-4	5.9E-4	7.1E-2	3.7E-3	5.5E-4
30	8.5E-2	4.8E-4	1.8E-4	5.8E-4	7.0E-2	3.7E-3	5.4E-4
31	8.5E-2	4.7E-4	1.7E-4	5.7E-4	7.0E-2	3.7E-3	5.4E-4
32	8.4E-2	4.6E-4	1.7E-4	5.6E-4	6.9E-2	3.7E-3	5.3E-4
33	8.3E-2	4.5E-4	1.7E-4	5.5E-4	6.9E-2	3.7E-3	5.3E-4
34	8.3E-2	4.5E-4	1.6E-4	5.4E-4	6.8E-2	3.8E-3	5.2E-4
35	8.2E-2	4.4E-4	1.6E-4	5.3E-4	6.8E-2	3.8E-3	5.2E-4
36	8.2E-2	4.3E-4	1.6E-4	5.3E-4	6.7E-2	3.8E-3	5.2E-4
37	8.1E-2	4.2E-4	1.6E-4	5.2E-4	6.7E-2	3.8E-3	5.1E-4
38	8.0E-2	4.1E-4	1.6E-4	5.1E-4	6.6E-2	3.8E-3	5.1E-4
39	8.0E-2	4.1E-4	1.5E-4	5.1E-4	6.6E-2	3.8E-3	5.1E-4
40	7.9E-2	4.0E-4	1.5E-4	5.0E-4	6.5E-2	3.8E-3	5.0E-4
41	7.9E-2	3.9E-4	1.5E-4	5.0E-4	6.5E-2	3.9E-3	5.0E-4
42	7.8E-2	3.9E-4	1.5E-4	4.9E-4	6.5E-2	3.9E-3	5.0E-4
43	7.8E-2	3.8E-4	1.5E-4	4.8E-4	6.4E-2	3.9E-3	4.9E-4
44	7.7E-2	3.8E-4	1.5E-4	4.8E-4	6.4E-2	3.9E-3	4.9E-4
45	7.7E-2	3.7E-4	1.4E-4	4.7E-4	6.3E-2	3.9E-3	4.9E-4
46	7.6E-2	3.7E-4	1.4E-4	4.7E-4	6.3E-2	3.9E-3	4.9E-4
47	7.6E-2	3.6E-4	1.4E-4	4.7E-4	6.2E-2	3.9E-3	4.8E-4
48	7.5E-2	3.6E-4	1.4E-4	4.6E-4	6.2E-2	3.9E-3	4.8E-4
49	7.5E-2	3.5E-4	1.4E-4	4.6E-4	6.2E-2	3.9E-3	4.8E-4
50	7.4E-2	3.5E-4	1.4E-4	4.5E-4	6.1E-2	3.9E-3	4.8E-4
51	7.4E-2	3.5E-4	1.4E-4	4.5E-4	6.1E-2	3.9E-3	4.8E-4
52	7.3E-2	3.4E-4	1.4E-4	4.5E-4	6.0E-2	3.9E-3	4.7E-4
53	7.3E-2	3.4E-4	1.3E-4	4.4E-4	6.0E-2	3.9E-3	4.7E-4
54	7.2E-2	3.3E-4	1.3E-4	4.4E-4	5.9E-2	3.9E-3	4.7E-4
55	7.2E-2	3.3E-4	1.3E-4	4.3E-4	5.9E-2	3.9E-3	4.7E-4
56	7.1E-2	3.3E-4	1.3E-4	4.3E-4	5.9E-2	3.9E-3	4.7E-4
57	7.1E-2	3.2E-4	1.3E-4	4.3E-4	5.8E-2	3.9E-3	4.6E-4
58	7.0E-2	3.2E-4	1.3E-4	4.2E-4	5.8E-2	3.9E-3	4.6E-4
59	7.0E-2	3.2E-4	1.3E-4	4.2E-4	5.7E-2	3.9E-3	4.6E-4
60	7.0E-2	3.2E-4	1.3E-4	4.2E-4	5.7E-2	3.9E-3	4.6E-4
61	6.9E-2	3.1E-4	1.3E-4	4.1E-4	5.7E-2	3.9E-3	4.6E-4
62	6.9E-2	3.1E-4	1.2E-4	4.1E-4	5.6E-2	3.9E-3	4.6E-4
63	6.8E-2	3.1E-4	1.2E-4	4.1E-4	5.6E-2	3.9E-3	4.5E-4
64	6.8E-2	3.0E-4	1.2E-4	4.1E-4	5.5E-2	3.9E-3	4.5E-4
65	6.7E-2	3.0E-4	1.2E-4	4.0E-4	5.5E-2	3.9E-3	4.5E-4
66	6.7E-2	3.0E-4	1.2E-4	4.0E-4	5.5E-2	3.9E-3	4.5E-4
67	6.7E-2	3.0E-4	1.2E-4	4.0E-4	5.4E-2	3.9E-3	4.5E-4
68	6.6E-2	2.9E-4	1.2E-4	3.9E-4	5.4E-2	3.9E-3	4.5E-4
69	6.6E-2	2.9E-4	1.2E-4	3.9E-4	5.4E-2	3.9E-3	4.4E-4
70	6.5E-2	2.9E-4	1.2E-4	3.9E-4	5.3E-2	3.9E-3	4.4E-4
71	6.5E-2	2.9E-4	1.2E-4	3.9E-4	5.3E-2	3.9E-3	4.4E-4
72	6.4E-2	2.9E-4	1.1E-4	3.8E-4	5.2E-2	3.9E-3	4.4E-4
73	6.4E-2	2.8E-4	1.1E-4	3.8E-4	5.2E-2	3.9E-3	4.4E-4
74	6.4E-2	2.8E-4	1.1E-4	3.8E-4	5.2E-2	3.9E-3	4.4E-4
75	6.3E-2	2.8E-4	1.1E-4	3.8E-4	5.1E-2	3.9E-3	4.4E-4
76	6.3E-2	2.8E-4	1.1E-4	3.7E-4	5.1E-2	3.9E-3	4.3E-4
77	6.3E-2	2.8E-4	1.1E-4	3.7E-4	5.1E-2	3.9E-3	4.3E-4
78	6.2E-2	2.7E-4	1.1E-4	3.7E-4	5.0E-2	3.9E-3	4.3E-4
79	6.2E-2	2.7E-4	1.1E-4	3.7E-4	5.0E-2	3.9E-3	4.3E-4
80	6.1E-2	2.7E-4	1.1E-4	3.6E-4	5.0E-2	3.9E-3	4.3E-4
81	6.1E-2	2.7E-4	1.1E-4	3.6E-4	4.9E-2	3.9E-3	4.3E-4
82	6.1E-2	2.7E-4	1.1E-4	3.6E-4	4.9E-2	3.9E-3	4.3E-4
83	6.0E-2	2.6E-4	1.1E-4	3.6E-4	4.9E-2	3.9E-3	4.2E-4
84	6.0E-2	2.6E-4	1.0E-4	3.6E-4	4.8E-2	3.9E-3	4.2E-4
85	6.0E-2	2.6E-4	1.0E-4	3.5E-4	4.8E-2	3.8E-3	4.2E-4
86	5.9E-2	2.6E-4	1.0E-4	3.5E-4	4.8E-2	3.8E-3	4.2E-4
87	5.9E-2	2.6E-4	1.0E-4	3.5E-4	4.7E-2	3.8E-3	4.2E-4
88	5.8E-2	2.6E-4	1.0E-4	3.5E-4	4.7E-2	3.8E-3	4.2E-4
89	5.8E-2	2.6E-4	1.0E-4	3.4E-4	4.7E-2	3.8E-3	4.2E-4
90	5.8E-2	2.5E-4	1.0E-4	3.4E-4	4.6E-2	3.8E-3	4.2E-4
91	5.7E-2	2.5E-4	9.9E-5	3.4E-4	4.6E-2	3.8E-3	4.1E-4
92	5.7E-2	2.5E-4	9.8E-5	3.4E-4	4.6E-2	3.8E-3	4.1E-4
93	5.7E-2	2.5E-4	9.8E-5	3.4E-4	4.5E-2	3.8E-3	4.1E-4
94	5.6E-2	2.5E-4	9.7E-5	3.3E-4	4.5E-2	3.8E-3	4.1E-4
95	5.6E-2	2.5E-4	9.6E-5	3.3E-4	4.5E-2	3.8E-3	4.1E-4
96	5.6E-2	2.4E-4	9.5E-5	3.3E-4	4.5E-2	3.8E-3	4.1E-4
97	5.5E-2	2.4E-4	9.5E-5	3.3E-4	4.4E-2	3.8E-3	4.1E-4
98	5.5E-2	2.4E-4	9.4E-5	3.3E-4	4.4E-2	3.8E-3	4.0E-4
99	5.5E-2	2.4E-4	9.3E-5	3.2E-4	4.4E-2	3.8E-3	4.0E-4
100	5.4E-2	2.4E-4	9.2E-5	3.2E-4	4.3E-2	3.7E-3	4.0E-4
110	5.1E-2	2.3E-4	8.6E-5	3.0E-4	4.1E-2	3.7E-3	3.9E-4
120	4.8E-2	2.1E-4	7.9E-5	2.9E-4	3.8E-2	3.6E-3	3.8E-4
130	4.5E-2	2.0E-4	7.4E-5	2.7E-4	3.5E-2	3.5E-3	3.6E-4
140	4.3E-2	1.9E-4	6.8E-5	2.6E-4	3.3E-2	3.4E-3	3.5E-4
150	4.0E-2	1.8E-4	6.3E-5	2.4E-4	3.1E-2	3.3E-3	3.4E-4
160	3.8E-2	1.7E-4	5.9E-5	2.3E-4	2.9E-2	3.2E-3	3.2E-4
170	3.6E-2	1.6E-4	5.4E-5	2.1E-4	2.7E-2	3.1E-3	3.1E-4
180	3.4E-2	1.5E-4	5.1E-5	2.0E-4	2.5E-2	3.0E-3	3.0E-4
190	3.2E-2	1.4E-4	4.7E-5	1.9E-4	2.4E-2	2.9E-3	2.9E-4
200	3.0E-2	1.4E-4	4.3E-5	1.8E-4	2.2E-2	2.8E-3	2.7E-4
210	2.8E-2	1.3E-4	4.0E-5	1.7E-4	2.1E-2	2.7E-3	2.6E-4
220	2.6E-2	1.2E-4	3.7E-5	1.6E-4	1.9E-2	2.5E-3	2.5E-4
230	2.5E-2	1.1E-4	3.5E-5	1.5E-4	1.8E-2	2.4E-3	2.4E-4
240	2.3E-2	1.1E-4	3.2E-5	1.4E-4	1.7E-2	2.3E-3	2.3E-4
250	2.2E-2	1.0E-4	3.0E-5	1.3E-4	1.6E-2	2.2E-3	2.2E-4
260	2.1E-2	9.6E-5	2.8E-5	1.3E-4	1.5E-2	2.2E-3	2.1E-4
270	2.0E-2	9.1E-5	2.6E-5	1.2E-4	1.4E-2	2.1E-3	2.0E-4
280	1.8E-2	8.6E-5	2.4E-5	1.1E-4	1.3E-2	2.0E-3	1.9E-4
290	1.7E-2	8.1E-5	2.2E-5	1.1E-4	1.2E-2	1.9E-3	1.8E-4
300	1.6E-2	7.7E-5	2.1E-5	9.9E-5	1.2E-2	1.8E-3	1.7E-4
310	1.5E-2	7.2E-5	1.9E-5	9.3E-5	1.1E-2	1.7E-3	1.6E-4
320	1.5E-2	6.8E-5	1.8E-5	8.8E-5	1.0E-2	1.6E-3	1.6E-4
330	1.4E-2	6.5E-5	1.7E-5	8.3E-5	9.6E-3	1.6E-3	1.5E-4
340	1.3E-2	6.1E-5	1.5E-5	7.8E-5	9.0E-3	1.5E-3	1.4E-4
350	1.2E-2	5.8E-5	1.4E-5	7.4E-5	8.5E-3	1.4E-3	1.3E-4
360	1.1E-2	5.4E-5	1.3E-5	6.9E-5	8.0E-3	1.3E-3	1.3E-4
365	1.1E-2	5.3E-5	1.3E-5	6.7E-5	7.7E-3	1.3E-3	1.2E-4
370	1.1E-2	5.1E-5	1.2E-5	6.5E-5	7.5E-3	1.3E-3	1.2E-4
380	1.0E-2	4.9E-5	1.1E-5	6.1E-5	7.1E-3	1.2E-3	1.1E-4
390	9.6E-3	4.6E-5	1.1E-5	5.8E-5	6.6E-3	1.2E-3	1.1E-4
400	9.1E-3	4.3E-5	9.9E-6	5.5E-5	6.2E-3	1.1E-3	1.0E-4
410	8.6E-3	4.1E-5	9.2E-6	5.1E-5	5.9E-3	1.0E-3	9.8E-5
420	8.1E-3	3.9E-5	8.5E-6	4.8E-5	5.5E-3	1.0E-3	9.3E-5
430	7.6E-3	3.7E-5	7.9E-6	4.6E-5	5.2E-3	9.5E-4	8.8E-5
440	7.2E-3	3.5E-5	7.4E-6	4.3E-5	4.9E-3	9.0E-4	8.4E-5
450	6.8E-3	3.3E-5	6.9E-6	4.1E-5	4.6E-3	8.5E-4	7.9E-5
460	6.4E-3	3.1E-5	6.4E-6	3.8E-5	4.3E-3	8.1E-4	7.5E-5
470	6.1E-3	2.9E-5	5.9E-6	3.6E-5	4.1E-3	7.7E-4	7.1E-5
480	5.7E-3	2.8E-5	5.5E-6	3.4E-5	3.8E-3	7.3E-4	6.8E-5
490	5.4E-3	2.6E-5	5.1E-6	3.2E-5	3.6E-3	6.9E-4	6.4E-5
500	5.1E-3	2.5E-5	4.8E-6	3.0E-5	3.4E-3	6.6E-4	6.1E-5
510	4.8E-3	2.3E-5	4.5E-6	2.8E-5	3.2E-3	6.2E-4	5.8E-5
520	4.5E-3	2.2E-5	4.2E-6	2.7E-5	3.0E-3	5.9E-4	5.4E-5
530	4.3E-3	2.1E-5	3.9E-6	2.5E-5	2.9E-3	5.6E-4	5.2E-5
540	4.1E-3	2.0E-5	3.6E-6	2.4E-5	2.7E-3	5.3E-4	4.9E-5
