Radionuclide	Fe-55
Route of Intake	Injection
Material	Injection, fA=0.1
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.0E+0	-	-	5.4E-2	2.7E-1	8.7E-2
0.083333	1.0E+0	-	-	3.6E-2	4.8E-1	7.4E-2
0.125	1.0E+0	-	-	2.4E-2	6.1E-1	6.6E-2
0.25	1.0E+0	-	-	1.1E-2	7.7E-1	5.8E-2
0.375	1.0E+0	-	-	8.5E-3	7.9E-1	5.8E-2
0.5	1.0E+0	-	-	9.0E-3	7.9E-1	6.0E-2
0.625	1.0E+0	-	-	1.0E-2	7.8E-1	6.3E-2
0.75	1.0E+0	-	-	1.2E-2	7.6E-1	6.6E-2
0.875	1.0E+0	-	-	1.3E-2	7.4E-1	6.8E-2
1	1.0E+0	1.5E-4	4.5E-4	1.4E-2	7.3E-1	7.1E-2
1.125	1.0E+0	-	-	1.5E-2	7.1E-1	7.3E-2
1.25	1.0E+0	-	-	1.7E-2	6.9E-1	7.6E-2
1.375	1.0E+0	-	-	1.8E-2	6.8E-1	7.8E-2
1.5	1.0E+0	-	-	1.9E-2	6.6E-1	8.1E-2
1.625	1.0E+0	-	-	2.0E-2	6.5E-1	8.3E-2
1.75	1.0E+0	-	-	2.1E-2	6.3E-1	8.5E-2
1.875	1.0E+0	-	-	2.2E-2	6.2E-1	8.7E-2
2	1.0E+0	1.2E-5	6.8E-4	2.3E-2	6.0E-1	8.9E-2
2.25	1.0E+0	-	-	2.5E-2	5.7E-1	9.3E-2
2.5	1.0E+0	-	-	2.7E-2	5.5E-1	9.7E-2
2.75	1.0E+0	-	-	2.9E-2	5.2E-1	1.0E-1
3	1.0E+0	1.4E-5	3.6E-4	3.1E-2	5.0E-1	1.0E-1
3.25	1.0E+0	-	-	3.3E-2	4.7E-1	1.1E-1
3.5	1.0E+0	-	-	3.4E-2	4.5E-1	1.1E-1
3.75	1.0E+0	-	-	3.6E-2	4.3E-1	1.1E-1
4	1.0E+0	1.4E-5	2.2E-4	3.7E-2	4.1E-1	1.2E-1
4.25	1.0E+0	-	-	3.8E-2	3.9E-1	1.2E-1
4.5	9.9E-1	-	-	4.0E-2	3.8E-1	1.2E-1
4.75	9.9E-1	-	-	4.1E-2	3.6E-1	1.2E-1
5	9.9E-1	1.4E-5	1.8E-4	4.2E-2	3.4E-1	1.2E-1
5.5	9.9E-1	-	-	4.4E-2	3.2E-1	1.3E-1
6	9.9E-1	1.4E-5	1.8E-4	4.5E-2	2.9E-1	1.3E-1
6.5	9.9E-1	-	-	4.7E-2	2.7E-1	1.3E-1
7	9.9E-1	1.4E-5	1.8E-4	4.8E-2	2.5E-1	1.4E-1
7.5	9.9E-1	-	-	5.0E-2	2.3E-1	1.4E-1
8	9.9E-1	1.4E-5	1.9E-4	5.1E-2	2.2E-1	1.4E-1
8.5	9.9E-1	-	-	5.1E-2	2.0E-1	1.4E-1
9	9.9E-1	1.4E-5	1.9E-4	5.2E-2	1.9E-1	1.4E-1
9.5	9.9E-1	-	-	5.3E-2	1.8E-1	1.5E-1
10	9.9E-1	1.4E-5	1.9E-4	5.4E-2	1.7E-1	1.5E-1
11	9.9E-1	1.4E-5	1.9E-4	5.5E-2	1.6E-1	1.5E-1
12	9.9E-1	1.4E-5	1.9E-4	5.5E-2	1.5E-1	1.5E-1
13	9.9E-1	1.4E-5	2.0E-4	5.6E-2	1.4E-1	1.5E-1
14	9.9E-1	1.4E-5	2.0E-4	5.6E-2	1.3E-1	1.5E-1
15	9.9E-1	1.4E-5	2.0E-4	5.7E-2	1.2E-1	1.5E-1
16	9.8E-1	1.4E-5	2.0E-4	5.7E-2	1.2E-1	1.5E-1
17	9.8E-1	1.4E-5	2.0E-4	5.7E-2	1.2E-1	1.5E-1
18	9.8E-1	1.4E-5	2.0E-4	5.7E-2	1.1E-1	1.5E-1
19	9.8E-1	1.4E-5	2.0E-4	5.7E-2	1.1E-1	1.5E-1
20	9.8E-1	1.4E-5	2.0E-4	5.7E-2	1.1E-1	1.6E-1
21	9.8E-1	1.4E-5	2.0E-4	5.7E-2	1.1E-1	1.6E-1
22	9.8E-1	1.4E-5	2.0E-4	5.7E-2	1.1E-1	1.6E-1
23	9.8E-1	1.4E-5	2.0E-4	5.7E-2	1.1E-1	1.6E-1
24	9.8E-1	1.4E-5	2.0E-4	5.7E-2	1.1E-1	1.6E-1
25	9.8E-1	1.4E-5	1.9E-4	5.7E-2	1.1E-1	1.6E-1
26	9.8E-1	1.4E-5	1.9E-4	5.7E-2	1.0E-1	1.6E-1
27	9.7E-1	1.4E-5	1.9E-4	5.7E-2	1.0E-1	1.6E-1
28	9.7E-1	1.4E-5	1.9E-4	5.6E-2	1.0E-1	1.6E-1
29	9.7E-1	1.4E-5	1.9E-4	5.6E-2	1.0E-1	1.6E-1
30	9.7E-1	1.4E-5	1.9E-4	5.6E-2	1.0E-1	1.6E-1
31	9.7E-1	1.4E-5	1.9E-4	5.6E-2	1.0E-1	1.6E-1
32	9.7E-1	1.4E-5	1.9E-4	5.6E-2	1.0E-1	1.6E-1
33	9.7E-1	1.4E-5	1.9E-4	5.6E-2	1.0E-1	1.6E-1
34	9.7E-1	1.4E-5	1.9E-4	5.6E-2	1.0E-1	1.6E-1
35	9.7E-1	1.4E-5	1.9E-4	5.6E-2	1.0E-1	1.6E-1
36	9.7E-1	1.4E-5	1.9E-4	5.6E-2	1.0E-1	1.6E-1
37	9.7E-1	1.4E-5	1.9E-4	5.6E-2	1.0E-1	1.6E-1
38	9.6E-1	1.4E-5	1.9E-4	5.5E-2	1.0E-1	1.6E-1
39	9.6E-1	1.4E-5	1.9E-4	5.5E-2	1.0E-1	1.6E-1
40	9.6E-1	1.4E-5	1.9E-4	5.5E-2	1.0E-1	1.6E-1
41	9.6E-1	1.4E-5	1.9E-4	5.5E-2	1.0E-1	1.6E-1
42	9.6E-1	1.4E-5	1.9E-4	5.5E-2	1.0E-1	1.6E-1
43	9.6E-1	1.4E-5	1.9E-4	5.5E-2	1.1E-1	1.6E-1
44	9.6E-1	1.4E-5	1.9E-4	5.5E-2	1.1E-1	1.6E-1
45	9.6E-1	1.4E-5	1.9E-4	5.5E-2	1.1E-1	1.6E-1
46	9.6E-1	1.4E-5	1.9E-4	5.5E-2	1.1E-1	1.6E-1
47	9.6E-1	1.3E-5	1.9E-4	5.5E-2	1.1E-1	1.6E-1
48	9.6E-1	1.3E-5	1.9E-4	5.4E-2	1.1E-1	1.6E-1
49	9.5E-1	1.3E-5	1.9E-4	5.4E-2	1.1E-1	1.6E-1
50	9.5E-1	1.3E-5	1.9E-4	5.4E-2	1.1E-1	1.6E-1
51	9.5E-1	1.3E-5	1.9E-4	5.4E-2	1.1E-1	1.6E-1
52	9.5E-1	1.3E-5	1.9E-4	5.4E-2	1.1E-1	1.6E-1
53	9.5E-1	1.3E-5	1.9E-4	5.4E-2	1.1E-1	1.6E-1
54	9.5E-1	1.3E-5	1.9E-4	5.4E-2	1.1E-1	1.6E-1
55	9.5E-1	1.3E-5	1.9E-4	5.4E-2	1.1E-1	1.6E-1
56	9.5E-1	1.3E-5	1.9E-4	5.4E-2	1.1E-1	1.6E-1
57	9.5E-1	1.3E-5	1.9E-4	5.3E-2	1.1E-1	1.6E-1
