Radionuclide	Ge-68
Route of Intake	Ingestion
Material	All forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	9.9E-1	-	-	4.8E-1	3.3E-2	4.9E-2
0.083333	9.2E-1	-	-	2.3E-1	4.1E-2	6.1E-2
0.125	8.1E-1	-	-	1.2E-1	3.9E-2	6.0E-2
0.25	4.8E-1	-	-	2.9E-2	2.7E-2	4.5E-2
0.375	2.9E-1	-	-	1.6E-2	2.1E-2	3.6E-2
0.5	2.0E-1	-	-	1.3E-2	1.9E-2	3.1E-2
0.625	1.7E-1	-	-	1.2E-2	1.8E-2	2.7E-2
0.75	1.5E-1	-	-	1.1E-2	1.7E-2	2.5E-2
0.875	1.4E-1	-	-	1.0E-2	1.7E-2	2.2E-2
1	1.3E-1	8.6E-1	3.2E-3	9.6E-3	1.6E-2	2.0E-2
1.125	1.2E-1	-	-	8.8E-3	1.6E-2	1.8E-2
1.25	1.2E-1	-	-	8.0E-3	1.5E-2	1.6E-2
1.375	1.1E-1	-	-	7.2E-3	1.5E-2	1.5E-2
1.5	1.1E-1	-	-	6.5E-3	1.4E-2	1.4E-2
1.625	1.0E-1	-	-	5.8E-3	1.4E-2	1.2E-2
1.75	9.7E-2	-	-	5.2E-3	1.4E-2	1.1E-2
1.875	9.2E-2	-	-	4.7E-3	1.3E-2	1.0E-2
2	8.8E-2	3.9E-2	5.0E-3	4.2E-3	1.3E-2	9.2E-3
2.25	8.0E-2	-	-	3.3E-3	1.2E-2	7.6E-3
2.5	7.4E-2	-	-	2.7E-3	1.1E-2	6.4E-3
2.75	6.8E-2	-	-	2.2E-3	1.0E-2	5.3E-3
3	6.2E-2	2.3E-2	2.1E-3	1.8E-3	9.8E-3	4.4E-3
3.25	5.8E-2	-	-	1.5E-3	9.2E-3	3.7E-3
3.5	5.3E-2	-	-	1.3E-3	8.6E-3	3.2E-3
3.75	4.9E-2	-	-	1.1E-3	8.1E-3	2.7E-3
4	4.6E-2	1.6E-2	6.0E-4	9.6E-4	7.6E-3	2.3E-3
4.25	4.3E-2	-	-	8.5E-4	7.1E-3	2.0E-3
4.5	4.0E-2	-	-	7.7E-4	6.6E-3	1.7E-3
4.75	3.7E-2	-	-	7.0E-4	6.2E-3	1.5E-3
5	3.5E-2	1.1E-2	1.5E-4	6.4E-4	5.8E-3	1.3E-3
5.5	3.0E-2	-	-	5.4E-4	5.1E-3	1.0E-3
6	2.6E-2	8.2E-3	4.2E-5	4.7E-4	4.5E-3	8.1E-4
6.5	2.3E-2	-	-	4.1E-4	3.9E-3	6.5E-4
7	2.0E-2	6.1E-3	1.6E-5	3.5E-4	3.5E-3	5.4E-4
7.5	1.7E-2	-	-	3.1E-4	3.0E-3	4.5E-4
8	1.5E-2	4.6E-3	9.3E-6	2.7E-4	2.7E-3	3.8E-4
8.5	1.3E-2	-	-	2.4E-4	2.4E-3	3.2E-4
9	1.2E-2	3.5E-3	6.4E-6	2.1E-4	2.1E-3	2.7E-4
9.5	1.0E-2	-	-	1.8E-4	1.8E-3	2.3E-4
10	9.0E-3	2.7E-3	4.8E-6	1.6E-4	1.6E-3	2.0E-4
11	6.9E-3	2.1E-3	3.6E-6	1.2E-4	1.3E-3	1.5E-4
12	5.3E-3	1.6E-3	2.8E-6	9.3E-5	9.9E-4	1.2E-4
13	4.1E-3	1.2E-3	2.1E-6	7.1E-5	7.8E-4	8.8E-5
14	3.2E-3	9.2E-4	1.6E-6	5.4E-5	6.2E-4	6.7E-5
15	2.4E-3	7.1E-4	1.2E-6	4.2E-5	5.0E-4	5.1E-5
16	1.9E-3	5.4E-4	9.5E-7	3.2E-5	4.1E-4	3.9E-5
17	1.5E-3	4.1E-4	7.2E-7	2.4E-5	3.4E-4	3.0E-5
18	1.2E-3	3.2E-4	5.5E-7	1.9E-5	2.9E-4	2.3E-5
19	9.1E-4	2.4E-4	4.2E-7	1.4E-5	2.4E-4	1.8E-5
