Radionuclide	As-70
Route of Intake	Inhalation
Material	Aerosols Type S, fA=1E-2
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	1.3E-1	1.9E-2	8.3E-2	7.0E-6	9.3E-6
0.083333	6.0E-2	1.0E-2	3.7E-2	6.0E-6	7.7E-6
0.125	2.7E-2	5.0E-3	1.7E-2	3.9E-6	4.9E-6
0.25	2.5E-3	5.7E-4	1.6E-3	6.3E-7	7.6E-7
0.375	2.3E-4	5.9E-5	1.4E-4	7.6E-8	8.9E-8
0.5	2.1E-5	5.9E-6	1.3E-5	8.1E-9	9.3E-9
0.625	2.0E-6	5.8E-7	1.2E-6	8.2E-10	9.1E-10
0.75	1.8E-7	5.5E-8	1.1E-7	-	-
0.875	1.7E-8	5.1E-9	1.1E-8	-	-
1	1.5E-9	4.6E-10	9.9E-10	-	-
1.125	1.4E-10	-	-	-	-
