Radionuclide	Br-77
Route of Intake	Inhalation
Material	Aerosols Type S, fA=1E-2
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*
0.041667	6.5E-1	-	-	2.4E-1	1.4E-2
0.083333	6.3E-1	-	-	2.7E-1	1.2E-2
0.125	6.2E-1	-	-	2.9E-1	1.1E-2
0.25	5.8E-1	-	-	3.3E-1	9.4E-3
0.375	5.4E-1	-	-	3.5E-1	8.6E-3
0.5	5.0E-1	-	-	3.6E-1	8.2E-3
0.625	4.7E-1	-	-	3.6E-1	7.8E-3
0.75	4.3E-1	-	-	3.5E-1	7.5E-3
0.875	4.0E-1	-	-	3.4E-1	7.2E-3
1	3.7E-1	1.3E-4	5.5E-2	3.2E-1	6.9E-3
1.125	3.3E-1	-	-	2.9E-1	6.6E-3
1.25	3.0E-1	-	-	2.7E-1	6.3E-3
1.375	2.7E-1	-	-	2.4E-1	6.1E-3
1.5	2.4E-1	-	-	2.1E-1	5.8E-3
1.625	2.1E-1	-	-	1.9E-1	5.6E-3
1.75	1.8E-1	-	-	1.7E-1	5.4E-3
1.875	1.6E-1	-	-	1.5E-1	5.1E-3
2	1.4E-1	1.6E-4	1.3E-1	1.3E-1	4.9E-3
2.25	1.0E-1	-	-	9.2E-2	4.5E-3
2.5	7.4E-2	-	-	6.6E-2	4.2E-3
2.75	5.4E-2	-	-	4.7E-2	3.9E-3
3	3.9E-2	1.2E-4	6.3E-2	3.3E-2	3.6E-3
3.25	2.8E-2	-	-	2.2E-2	3.3E-3
3.5	2.0E-2	-	-	1.5E-2	3.0E-3
3.75	1.5E-2	-	-	1.0E-2	2.8E-3
4	1.1E-2	8.5E-5	1.8E-2	6.8E-3	2.6E-3
4.25	8.3E-3	-	-	4.5E-3	2.4E-3
4.5	6.5E-3	-	-	3.0E-3	2.2E-3
4.75	5.2E-3	-	-	2.0E-3	2.0E-3
5	4.3E-3	6.0E-5	3.8E-3	1.3E-3	1.9E-3
5.5	3.1E-3	-	-	5.7E-4	1.6E-3
6	2.4E-3	4.3E-5	7.3E-4	2.6E-4	1.4E-3
6.5	2.0E-3	-	-	1.3E-4	1.2E-3
7	1.6E-3	3.0E-5	1.4E-4	7.6E-5	1.0E-3
7.5	1.4E-3	-	-	4.9E-5	8.6E-4
8	1.2E-3	2.1E-5	3.4E-5	3.5E-5	7.4E-4
8.5	9.9E-4	-	-	2.6E-5	6.3E-4
9	8.4E-4	1.5E-5	1.3E-5	2.0E-5	5.4E-4
9.5	7.1E-4	-	-	1.6E-5	4.7E-4
10	6.1E-4	1.1E-5	6.8E-6	1.3E-5	4.0E-4
11	4.4E-4	7.4E-6	4.1E-6	8.4E-6	3.0E-4
12	3.2E-4	5.2E-6	2.6E-6	5.5E-6	2.2E-4
13	2.4E-4	3.7E-6	1.6E-6	3.6E-6	1.6E-4
14	1.7E-4	2.6E-6	1.0E-6	2.4E-6	1.2E-4
15	1.3E-4	1.8E-6	6.7E-7	1.6E-6	9.0E-5
16	9.3E-5	1.3E-6	4.3E-7	1.1E-6	6.7E-5
17	6.8E-5	9.1E-7	2.8E-7	7.4E-7	5.0E-5
18	5.0E-5	6.4E-7	1.9E-7	5.1E-7	3.7E-5
19	3.7E-5	4.5E-7	1.2E-7	3.5E-7	2.7E-5
20	2.7E-5	3.2E-7	8.4E-8	2.4E-7	2.0E-5
21	2.0E-5	2.3E-7	5.7E-8	1.7E-7	1.5E-5
22	1.5E-5	1.6E-7	3.9E-8	1.2E-7	1.1E-5
23	1.1E-5	1.1E-7	2.7E-8	8.2E-8	8.4E-6
24	8.0E-6	7.9E-8	1.9E-8	5.8E-8	6.3E-6
25	5.9E-6	5.6E-8	1.3E-8	4.1E-8	4.7E-6
26	4.4E-6	3.9E-8	9.3E-9	2.9E-8	3.5E-6
27	3.2E-6	2.8E-8	6.6E-9	2.1E-8	2.6E-6
28	2.4E-6	2.0E-8	4.7E-9	1.5E-8	1.9E-6
29	1.8E-6	1.4E-8	3.4E-9	1.1E-8	1.4E-6
30	1.3E-6	9.7E-9	2.5E-9	7.6E-9	1.1E-6
31	9.7E-7	6.8E-9	1.8E-9	5.4E-9	8.0E-7
32	7.2E-7	4.8E-9	1.3E-9	3.9E-9	6.0E-7
33	5.3E-7	3.4E-9	9.6E-10	2.8E-9	4.4E-7
34	3.9E-7	2.4E-9	7.1E-10	2.0E-9	3.3E-7
35	2.9E-7	1.7E-9	5.2E-10	1.5E-9	2.5E-7
36	2.2E-7	1.2E-9	3.8E-10	1.1E-9	1.8E-7
37	1.6E-7	8.4E-10	2.8E-10	7.8E-10	1.4E-7
38	1.2E-7	6.0E-10	2.1E-10	5.7E-10	1.0E-7
39	8.9E-8	4.2E-10	1.5E-10	4.1E-10	7.6E-8
40	6.6E-8	3.0E-10	1.1E-10	3.0E-10	5.7E-8
41	4.9E-8	2.1E-10	-	2.2E-10	4.2E-8
42	3.6E-8	1.5E-10	-	1.6E-10	3.2E-8
43	2.7E-8	1.0E-10	-	1.2E-10	2.4E-8
44	2.0E-8	-	-	-	1.8E-8
45	1.5E-8	-	-	-	1.3E-8
46	1.1E-8	-	-	-	9.8E-9
47	8.2E-9	-	-	-	7.3E-9
48	6.1E-9	-	-	-	5.4E-9
49	4.5E-9	-	-	-	4.0E-9
50	3.4E-9	-	-	-	3.0E-9
51	2.5E-9	-	-	-	2.2E-9
52	1.9E-9	-	-	-	1.7E-9
53	1.4E-9	-	-	-	1.2E-9
54	1.0E-9	-	-	-	9.3E-10
55	7.7E-10	-	-	-	6.9E-10
56	5.7E-10	-	-	-	5.2E-10
57	4.3E-10	-	-	-	3.8E-10
58	3.2E-10	-	-	-	2.9E-10
59	2.4E-10	-	-	-	2.1E-10
60	1.8E-10	-	-	-	1.6E-10
61	1.3E-10	-	-	-	1.2E-10
