Radionuclide	Be-7
Route of Intake	Inhalation
Material	Aerosols Type F, fA=5E-3
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	9.2E-1	-	-	1.7E-1	1.3E-1	9.8E-2	2.2E-2
0.083333	8.9E-1	-	-	2.0E-1	3.8E-2	1.3E-1	2.4E-2
0.125	8.6E-1	-	-	2.1E-1	1.3E-2	1.5E-1	2.5E-2
0.25	8.1E-1	-	-	2.4E-1	3.0E-3	1.5E-1	2.5E-2
0.375	7.9E-1	-	-	2.6E-1	2.8E-3	1.6E-1	2.5E-2
0.5	7.7E-1	-	-	2.8E-1	2.8E-3	1.6E-1	2.5E-2
0.625	7.5E-1	-	-	2.8E-1	2.8E-3	1.6E-1	2.5E-2
0.75	7.4E-1	-	-	2.8E-1	2.9E-3	1.6E-1	2.5E-2
0.875	7.2E-1	-	-	2.8E-1	2.9E-3	1.6E-1	2.4E-2
1	7.0E-1	1.1E-1	5.2E-2	2.7E-1	2.9E-3	1.6E-1	2.4E-2
1.125	6.7E-1	-	-	2.6E-1	2.9E-3	1.6E-1	2.3E-2
1.25	6.5E-1	-	-	2.4E-1	2.9E-3	1.6E-1	2.3E-2
1.375	6.3E-1	-	-	2.3E-1	2.9E-3	1.7E-1	2.3E-2
1.5	6.1E-1	-	-	2.1E-1	2.9E-3	1.7E-1	2.2E-2
1.625	5.9E-1	-	-	1.9E-1	2.9E-3	1.7E-1	2.2E-2
1.75	5.7E-1	-	-	1.7E-1	2.9E-3	1.7E-1	2.2E-2
1.875	5.5E-1	-	-	1.6E-1	2.9E-3	1.7E-1	2.1E-2
2	5.3E-1	4.7E-3	1.5E-1	1.4E-1	2.9E-3	1.7E-1	2.1E-2
2.25	4.9E-1	-	-	1.1E-1	2.9E-3	1.7E-1	2.0E-2
2.5	4.7E-1	-	-	8.7E-2	2.9E-3	1.7E-1	1.9E-2
2.75	4.4E-1	-	-	6.6E-2	2.9E-3	1.7E-1	1.9E-2
3	4.2E-1	3.2E-3	9.1E-2	5.1E-2	2.9E-3	1.7E-1	1.8E-2
3.25	4.1E-1	-	-	3.8E-2	2.9E-3	1.7E-1	1.8E-2
3.5	4.0E-1	-	-	2.9E-2	2.9E-3	1.7E-1	1.7E-2
3.75	3.9E-1	-	-	2.2E-2	2.9E-3	1.7E-1	1.7E-2
4	3.8E-1	2.8E-3	3.4E-2	1.7E-2	2.9E-3	1.7E-1	1.6E-2
4.25	3.8E-1	-	-	1.3E-2	2.9E-3	1.7E-1	1.6E-2
4.5	3.7E-1	-	-	1.1E-2	2.9E-3	1.7E-1	1.5E-2
4.75	3.7E-1	-	-	8.9E-3	2.9E-3	1.7E-1	1.5E-2
5	3.6E-1	2.5E-3	9.9E-3	7.6E-3	2.9E-3	1.7E-1	1.5E-2
5.5	3.6E-1	-	-	5.9E-3	2.8E-3	1.7E-1	1.4E-2
6	3.5E-1	2.3E-3	2.9E-3	5.1E-3	2.8E-3	1.7E-1	1.3E-2
6.5	3.5E-1	-	-	4.7E-3	2.8E-3	1.7E-1	1.3E-2
7	3.5E-1	2.2E-3	1.1E-3	4.5E-3	2.8E-3	1.7E-1	1.2E-2
7.5	3.4E-1	-	-	4.3E-3	2.8E-3	1.7E-1	1.2E-2
8	3.4E-1	2.0E-3	6.5E-4	4.2E-3	2.8E-3	1.7E-1	1.2E-2
8.5	3.4E-1	-	-	4.2E-3	2.8E-3	1.7E-1	1.1E-2
9	3.3E-1	1.9E-3	5.3E-4	4.1E-3	2.8E-3	1.7E-1	1.1E-2
9.5	3.3E-1	-	-	4.0E-3	2.8E-3	1.7E-1	1.1E-2
10	3.3E-1	1.7E-3	4.7E-4	3.9E-3	2.8E-3	1.7E-1	1.0E-2
11	3.2E-1	1.6E-3	4.4E-4	3.8E-3	2.8E-3	1.7E-1	9.9E-3
12	3.1E-1	1.5E-3	4.1E-4	3.7E-3	2.8E-3	1.7E-1	9.6E-3
13	3.1E-1	1.4E-3	3.8E-4	3.6E-3	2.7E-3	1.7E-1	9.3E-3
14	3.0E-1	1.3E-3	3.6E-4	3.5E-3	2.7E-3	1.7E-1	9.1E-3
15	3.0E-1	1.2E-3	3.3E-4	3.4E-3	2.7E-3	1.7E-1	8.9E-3
16	2.9E-1	1.2E-3	3.1E-4	3.3E-3	2.7E-3	1.7E-1	8.7E-3
17	2.9E-1	1.1E-3	3.0E-4	3.2E-3	2.7E-3	1.7E-1	8.6E-3
18	2.8E-1	1.0E-3	2.8E-4	3.1E-3	2.7E-3	1.7E-1	8.4E-3
19	2.8E-1	9.8E-4	2.6E-4	3.0E-3	2.7E-3	1.7E-1	8.3E-3
20	2.7E-1	9.2E-4	2.5E-4	3.0E-3	2.6E-3	1.7E-1	8.2E-3
21	2.7E-1	8.7E-4	2.3E-4	2.9E-3	2.6E-3	1.6E-1	8.1E-3
22	2.6E-1	8.2E-4	2.2E-4	2.8E-3	2.6E-3	1.6E-1	8.0E-3
23	2.6E-1	7.8E-4	2.1E-4	2.8E-3	2.6E-3	1.6E-1	7.9E-3
