Radionuclide	Mo-93
Route of Intake	Inhalation
Material	Aerosols Type F, Chloride and ammonium molybdate, fA=0.9
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Liver*
0.041667	9.3E-1	-	-	1.3E-1	1.6E-1	1.2E-1
0.083333	9.0E-1	-	-	9.4E-2	6.7E-2	2.1E-1
0.125	8.7E-1	-	-	7.1E-2	3.8E-2	2.6E-1
0.25	7.9E-1	-	-	4.9E-2	2.0E-2	3.0E-1
0.375	7.5E-1	-	-	4.4E-2	1.4E-2	3.1E-1
0.5	7.3E-1	-	-	4.1E-2	1.1E-2	3.2E-1
0.625	7.0E-1	-	-	3.9E-2	8.2E-3	3.3E-1
0.75	6.8E-1	-	-	3.6E-2	6.5E-3	3.3E-1
0.875	6.6E-1	-	-	3.4E-2	5.2E-3	3.3E-1
1	6.4E-1	2.2E-1	6.3E-3	3.2E-2	4.2E-3	3.4E-1
1.125	6.2E-1	-	-	3.0E-2	3.5E-3	3.4E-1
1.25	6.1E-1	-	-	2.8E-2	3.0E-3	3.4E-1
1.375	5.9E-1	-	-	2.6E-2	2.7E-3	3.4E-1
1.5	5.8E-1	-	-	2.4E-2	2.4E-3	3.4E-1
1.625	5.7E-1	-	-	2.2E-2	2.2E-3	3.4E-1
1.75	5.6E-1	-	-	2.0E-2	2.0E-3	3.4E-1
1.875	5.5E-1	-	-	1.8E-2	1.9E-3	3.4E-1
2	5.5E-1	6.5E-2	1.5E-2	1.7E-2	1.8E-3	3.4E-1
2.25	5.4E-1	-	-	1.4E-2	1.7E-3	3.4E-1
2.5	5.3E-1	-	-	1.2E-2	1.6E-3	3.4E-1
2.75	5.2E-1	-	-	1.0E-2	1.6E-3	3.4E-1
3	5.1E-1	2.3E-2	9.3E-3	9.0E-3	1.6E-3	3.4E-1
3.25	5.1E-1	-	-	8.0E-3	1.6E-3	3.3E-1
3.5	5.1E-1	-	-	7.3E-3	1.5E-3	3.3E-1
3.75	5.0E-1	-	-	6.7E-3	1.5E-3	3.3E-1
