Radionuclide	Ru-106
Route of Intake	Inhalation
Material	Aerosols Type F, Chloride, oxalate, fA=5E-2
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Rh-106)	Urine (24-hour sample) (Rh-106)	Faeces (24-hour sample) (Rh-106)	Alimentary Tract* (Rh-106)	Lungs* (Rh-106)	Skeleton* (Rh-106)	Liver* (Rh-106)
0.041667	8.6E-1	-	-	8.5E-2	2.4E-1	4.5E-2	6.7E-2
0.083333	8.3E-1	-	-	9.8E-2	1.1E-1	6.0E-2	8.9E-2
0.125	8.0E-1	-	-	1.0E-1	7.2E-2	6.5E-2	9.6E-2
0.25	7.5E-1	-	-	1.2E-1	5.6E-2	6.7E-2	9.9E-2
0.375	7.4E-1	-	-	1.2E-1	5.4E-2	6.8E-2	9.9E-2
0.5	7.2E-1	-	-	1.3E-1	5.3E-2	6.8E-2	9.9E-2
0.625	7.1E-1	-	-	1.3E-1	5.2E-2	6.8E-2	9.9E-2
0.75	7.0E-1	-	-	1.3E-1	5.0E-2	6.9E-2	9.9E-2
0.875	6.9E-1	-	-	1.3E-1	4.9E-2	6.9E-2	9.9E-2
1	6.8E-1	1.4E-1	2.1E-2	1.3E-1	4.8E-2	6.9E-2	9.9E-2
1.125	6.7E-1	-	-	1.2E-1	4.7E-2	6.9E-2	9.9E-2
1.25	6.6E-1	-	-	1.1E-1	4.6E-2	6.9E-2	9.8E-2
1.375	6.4E-1	-	-	1.1E-1	4.4E-2	6.9E-2	9.8E-2
1.5	6.3E-1	-	-	1.0E-1	4.3E-2	6.9E-2	9.7E-2
1.625	6.2E-1	-	-	9.3E-2	4.2E-2	6.9E-2	9.7E-2
1.75	6.1E-1	-	-	8.6E-2	4.2E-2	6.9E-2	9.6E-2
1.875	6.0E-1	-	-	7.9E-2	4.1E-2	6.9E-2	9.6E-2
2	5.9E-1	2.5E-2	6.2E-2	7.2E-2	4.0E-2	6.9E-2	9.5E-2
2.25	5.7E-1	-	-	6.0E-2	3.8E-2	6.9E-2	9.4E-2
2.5	5.5E-1	-	-	5.0E-2	3.7E-2	6.9E-2	9.3E-2
2.75	5.4E-1	-	-	4.1E-2	3.5E-2	6.9E-2	9.1E-2
