Radionuclide	Ru-97
Route of Intake	Inhalation
Material	Aerosols Type S, Dioxide, fA=5E-4
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	9.6E-1	-	-	3.2E-1	1.5E-1	2.6E-5	3.9E-5
0.083333	9.4E-1	-	-	3.7E-1	1.3E-1	4.4E-5	6.5E-5
0.125	9.2E-1	-	-	4.0E-1	1.2E-1	5.8E-5	8.6E-5
0.25	8.7E-1	-	-	4.7E-1	9.8E-2	8.8E-5	1.3E-4
0.375	8.2E-1	-	-	5.1E-1	8.8E-2	1.1E-4	1.6E-4
0.5	7.8E-1	-	-	5.3E-1	8.3E-2	1.2E-4	1.7E-4
0.625	7.3E-1	-	-	5.3E-1	7.8E-2	1.2E-4	1.8E-4
0.75	6.9E-1	-	-	5.2E-1	7.4E-2	1.3E-4	1.8E-4
0.875	6.4E-1	-	-	5.0E-1	7.0E-2	1.3E-4	1.8E-4
1	5.9E-1	2.4E-4	8.1E-2	4.7E-1	6.6E-2	1.3E-4	1.8E-4
1.125	5.4E-1	-	-	4.4E-1	6.3E-2	1.2E-4	1.8E-4
1.25	4.9E-1	-	-	4.0E-1	5.9E-2	1.2E-4	1.7E-4
1.375	4.5E-1	-	-	3.7E-1	5.6E-2	1.2E-4	1.7E-4
1.5	4.0E-1	-	-	3.3E-1	5.3E-2	1.2E-4	1.7E-4
1.625	3.6E-1	-	-	3.0E-1	5.1E-2	1.1E-4	1.6E-4
1.75	3.2E-1	-	-	2.6E-1	4.8E-2	1.1E-4	1.6E-4
1.875	2.8E-1	-	-	2.3E-1	4.5E-2	1.1E-4	1.5E-4
2	2.5E-1	5.2E-5	2.0E-1	2.0E-1	4.3E-2	1.0E-4	1.5E-4
2.25	2.0E-1	-	-	1.5E-1	3.9E-2	9.9E-5	1.4E-4
2.5	1.5E-1	-	-	1.1E-1	3.5E-2	9.4E-5	1.3E-4
2.75	1.2E-1	-	-	8.4E-2	3.1E-2	8.8E-5	1.2E-4
3	9.1E-2	2.8E-5	1.1E-1	6.1E-2	2.8E-2	8.3E-5	1.1E-4
3.25	7.1E-2	-	-	4.5E-2	2.5E-2	7.8E-5	1.0E-4
3.5	5.6E-2	-	-	3.3E-2	2.3E-2	7.3E-5	9.6E-5
3.75	4.5E-2	-	-	2.4E-2	2.0E-2	6.9E-5	8.9E-5
4	3.7E-2	1.8E-5	3.4E-2	1.8E-2	1.8E-2	6.5E-5	8.3E-5
4.25	3.1E-2	-	-	1.4E-2	1.7E-2	6.1E-5	7.7E-5
4.5	2.6E-2	-	-	1.1E-2	1.5E-2	5.7E-5	7.2E-5
4.75	2.2E-2	-	-	8.3E-3	1.3E-2	5.3E-5	6.7E-5
5	1.9E-2	1.3E-5	9.9E-3	6.7E-3	1.2E-2	5.0E-5	6.2E-5
5.5	1.5E-2	-	-	4.6E-3	9.8E-3	4.4E-5	5.3E-5
6	1.2E-2	8.9E-6	3.5E-3	3.4E-3	7.9E-3	3.9E-5	4.6E-5
6.5	9.4E-3	-	-	2.6E-3	6.5E-3	3.4E-5	4.0E-5
7	7.6E-3	6.4E-6	1.6E-3	2.0E-3	5.3E-3	3.0E-5	3.4E-5
7.5	6.1E-3	-	-	1.6E-3	4.3E-3	2.6E-5	2.9E-5
8	5.0E-3	4.6E-6	9.6E-4	1.3E-3	3.5E-3	2.3E-5	2.5E-5
8.5	4.1E-3	-	-	1.0E-3	2.9E-3	2.0E-5	2.2E-5
9	3.3E-3	3.4E-6	6.0E-4	8.2E-4	2.3E-3	1.8E-5	1.9E-5
9.5	2.7E-3	-	-	6.6E-4	1.9E-3	1.6E-5	1.6E-5
10	2.2E-3	2.5E-6	3.9E-4	5.3E-4	1.6E-3	1.4E-5	1.4E-5
11	1.5E-3	1.8E-6	2.5E-4	3.4E-4	1.1E-3	1.1E-5	1.0E-5
12	1.0E-3	1.3E-6	1.6E-4	2.2E-4	7.3E-4	8.1E-6	7.7E-6
13	7.1E-4	9.8E-7	1.0E-4	1.4E-4	5.0E-4	6.2E-6	5.7E-6
14	4.9E-4	7.2E-7	6.7E-5	9.2E-5	3.5E-4	4.8E-6	4.3E-6
15	3.4E-4	5.4E-7	4.3E-5	5.9E-5	2.4E-4	3.7E-6	3.2E-6
