Radionuclide	Rh-99
Route of Intake	Inhalation
Material	Aerosols Type S, fA=5E-4
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	6.6E-1	-	-	2.5E-1	1.4E-2	9.1E-6	1.4E-5
0.083333	6.5E-1	-	-	2.7E-1	1.2E-2	1.3E-5	1.9E-5
0.125	6.4E-1	-	-	3.0E-1	1.1E-2	1.7E-5	2.5E-5
0.25	6.1E-1	-	-	3.5E-1	1.0E-2	2.6E-5	3.9E-5
0.375	5.9E-1	-	-	3.9E-1	9.5E-3	3.3E-5	4.9E-5
0.5	5.7E-1	-	-	4.1E-1	9.2E-3	3.8E-5	5.6E-5
0.625	5.5E-1	-	-	4.2E-1	9.1E-3	4.2E-5	6.1E-5
0.75	5.2E-1	-	-	4.3E-1	9.0E-3	4.4E-5	6.4E-5
0.875	5.0E-1	-	-	4.2E-1	8.9E-3	4.6E-5	6.7E-5
1	4.7E-1	9.1E-5	7.1E-2	4.1E-1	8.8E-3	4.7E-5	6.8E-5
1.125	4.4E-1	-	-	3.9E-1	8.7E-3	4.8E-5	6.9E-5
1.25	4.1E-1	-	-	3.7E-1	8.6E-3	4.9E-5	7.0E-5
1.375	3.7E-1	-	-	3.4E-1	8.5E-3	4.9E-5	7.0E-5
1.5	3.4E-1	-	-	3.2E-1	8.4E-3	4.9E-5	7.0E-5
1.625	3.1E-1	-	-	2.9E-1	8.3E-3	4.9E-5	7.0E-5
1.75	2.8E-1	-	-	2.6E-1	8.2E-3	5.0E-5	7.0E-5
1.875	2.5E-1	-	-	2.3E-1	8.1E-3	4.9E-5	6.9E-5
2	2.2E-1	2.6E-5	2.1E-1	2.1E-1	8.1E-3	4.9E-5	6.9E-5
2.25	1.8E-1	-	-	1.6E-1	7.9E-3	4.9E-5	6.7E-5
2.5	1.4E-1	-	-	1.2E-1	7.7E-3	4.8E-5	6.6E-5
2.75	1.0E-1	-	-	9.4E-2	7.6E-3	4.8E-5	6.5E-5
3	7.8E-2	1.6E-5	1.3E-1	6.9E-2	7.4E-3	4.7E-5	6.3E-5
3.25	5.9E-2	-	-	5.1E-2	7.3E-3	4.7E-5	6.2E-5
3.5	4.5E-2	-	-	3.7E-2	7.2E-3	4.6E-5	6.0E-5
3.75	3.4E-2	-	-	2.6E-2	7.0E-3	4.5E-5	5.9E-5
4	2.6E-2	1.2E-5	4.9E-2	1.9E-2	6.9E-3	4.5E-5	5.7E-5
4.25	2.1E-2	-	-	1.3E-2	6.8E-3	4.4E-5	5.6E-5
4.5	1.7E-2	-	-	9.2E-3	6.7E-3	4.3E-5	5.4E-5
4.75	1.4E-2	-	-	6.4E-3	6.6E-3	4.2E-5	5.3E-5
5	1.2E-2	1.0E-5	1.4E-2	4.5E-3	6.5E-3	4.2E-5	5.1E-5
5.5	9.1E-3	-	-	2.2E-3	6.2E-3	4.0E-5	4.9E-5
6	7.8E-3	8.6E-6	3.3E-3	1.1E-3	6.0E-3	3.9E-5	4.6E-5
6.5	7.1E-3	-	-	6.2E-4	5.9E-3	3.8E-5	4.4E-5
7	6.6E-3	7.4E-6	8.1E-4	3.8E-4	5.7E-3	3.7E-5	4.1E-5
7.5	6.3E-3	-	-	2.6E-4	5.5E-3	3.5E-5	3.9E-5
8	6.1E-3	6.5E-6	2.5E-4	2.0E-4	5.4E-3	3.4E-5	3.7E-5
8.5	5.9E-3	-	-	1.7E-4	5.2E-3	3.3E-5	3.5E-5
9	5.7E-3	5.8E-6	1.2E-4	1.4E-4	5.1E-3	3.2E-5	3.3E-5
9.5	5.5E-3	-	-	1.3E-4	4.9E-3	3.1E-5	3.2E-5
10	5.4E-3	5.2E-6	8.2E-5	1.1E-4	4.8E-3	3.0E-5	3.0E-5
11	5.1E-3	4.6E-6	6.3E-5	9.1E-5	4.5E-3	2.8E-5	2.7E-5
12	4.8E-3	4.1E-6	5.1E-5	7.5E-5	4.3E-3	2.6E-5	2.5E-5
13	4.6E-3	3.7E-6	4.1E-5	6.2E-5	4.1E-3	2.4E-5	2.2E-5
14	4.3E-3	3.4E-6	3.4E-5	5.1E-5	3.9E-3	2.3E-5	2.0E-5
15	4.1E-3	3.0E-6	2.8E-5	4.3E-5	3.7E-3	2.1E-5	1.8E-5
16	3.9E-3	2.7E-6	2.3E-5	3.6E-5	3.5E-3	2.0E-5	1.7E-5
17	3.7E-3	2.5E-6	2.0E-5	3.1E-5	3.4E-3	1.9E-5	1.5E-5
18	3.6E-3	2.2E-6	1.7E-5	2.6E-5	3.2E-3	1.8E-5	1.4E-5
19	3.4E-3	2.0E-6	1.4E-5	2.3E-5	3.1E-3	1.6E-5	1.3E-5
20	3.2E-3	1.8E-6	1.2E-5	2.0E-5	2.9E-3	1.5E-5	1.2E-5
21	3.1E-3	1.7E-6	1.1E-5	1.8E-5	2.8E-3	1.5E-5	1.1E-5
22	2.9E-3	1.5E-6	9.3E-6	1.6E-5	2.7E-3	1.4E-5	9.8E-6
23	2.8E-3	1.4E-6	8.3E-6	1.4E-5	2.6E-3	1.3E-5	9.0E-6
24	2.7E-3	1.3E-6	7.4E-6	1.3E-5	2.4E-3	1.2E-5	8.3E-6
25	2.6E-3	1.2E-6	6.6E-6	1.2E-5	2.3E-3	1.1E-5	7.7E-6
26	2.5E-3	1.1E-6	6.0E-6	1.1E-5	2.2E-3	1.1E-5	7.1E-6
27	2.3E-3	9.7E-7	5.5E-6	9.9E-6	2.1E-3	1.0E-5	6.6E-6
28	2.2E-3	8.9E-7	5.1E-6	9.2E-6	2.0E-3	9.7E-6	6.1E-6
29	2.1E-3	8.2E-7	4.7E-6	8.6E-6	1.9E-3	9.1E-6	5.7E-6
30	2.0E-3	7.5E-7	4.4E-6	8.0E-6	1.9E-3	8.7E-6	5.3E-6
31	2.0E-3	6.9E-7	4.1E-6	7.5E-6	1.8E-3	8.2E-6	4.9E-6
32	1.9E-3	6.3E-7	3.8E-6	7.0E-6	1.7E-3	7.8E-6	4.6E-6
33	1.8E-3	5.8E-7	3.6E-6	6.6E-6	1.6E-3	7.4E-6	4.3E-6
34	1.7E-3	5.4E-7	3.4E-6	6.3E-6	1.6E-3	7.0E-6	4.0E-6
35	1.6E-3	5.0E-7	3.2E-6	5.9E-6	1.5E-3	6.6E-6	3.7E-6
36	1.6E-3	4.6E-7	3.0E-6	5.6E-6	1.4E-3	6.3E-6	3.5E-6
37	1.5E-3	4.2E-7	2.8E-6	5.3E-6	1.4E-3	6.0E-6	3.3E-6
38	1.4E-3	3.9E-7	2.7E-6	5.1E-6	1.3E-3	5.7E-6	3.1E-6
39	1.4E-3	3.6E-7	2.6E-6	4.8E-6	1.2E-3	5.4E-6	2.9E-6
40	1.3E-3	3.3E-7	2.4E-6	4.6E-6	1.2E-3	5.1E-6	2.7E-6
41	1.2E-3	3.1E-7	2.3E-6	4.3E-6	1.1E-3	4.9E-6	2.5E-6
42	1.2E-3	2.9E-7	2.2E-6	4.1E-6	1.1E-3	4.7E-6	2.4E-6
43	1.1E-3	2.7E-7	2.1E-6	3.9E-6	1.0E-3	4.4E-6	2.3E-6
44	1.1E-3	2.5E-7	2.0E-6	3.7E-6	9.9E-4	4.2E-6	2.1E-6
45	1.0E-3	2.3E-7	1.9E-6	3.6E-6	9.4E-4	4.0E-6	2.0E-6
46	9.9E-4	2.1E-7	1.8E-6	3.4E-6	9.0E-4	3.8E-6	1.9E-6
47	9.5E-4	2.0E-7	1.7E-6	3.2E-6	8.6E-4	3.7E-6	1.8E-6
48	9.0E-4	1.9E-7	1.6E-6	3.1E-6	8.3E-4	3.5E-6	1.7E-6
49	8.7E-4	1.7E-7	1.6E-6	2.9E-6	7.9E-4	3.3E-6	1.6E-6
50	8.3E-4	1.6E-7	1.5E-6	2.8E-6	7.5E-4	3.2E-6	1.5E-6
51	7.9E-4	1.5E-7	1.4E-6	2.7E-6	7.2E-4	3.0E-6	1.4E-6
52	7.6E-4	1.4E-7	1.4E-6	2.6E-6	6.9E-4	2.9E-6	1.4E-6
53	7.2E-4	1.3E-7	1.3E-6	2.4E-6	6.6E-4	2.8E-6	1.3E-6
54	6.9E-4	1.2E-7	1.2E-6	2.3E-6	6.3E-4	2.6E-6	1.2E-6
55	6.6E-4	1.2E-7	1.2E-6	2.2E-6	6.0E-4	2.5E-6	1.2E-6
56	6.3E-4	1.1E-7	1.1E-6	2.1E-6	5.8E-4	2.4E-6	1.1E-6
57	6.0E-4	1.0E-7	1.1E-6	2.0E-6	5.5E-4	2.3E-6	1.0E-6
58	5.8E-4	9.6E-8	1.0E-6	1.9E-6	5.3E-4	2.2E-6	9.8E-7
59	5.5E-4	9.0E-8	9.8E-7	1.8E-6	5.0E-4	2.1E-6	9.3E-7
60	5.3E-4	8.4E-8	9.3E-7	1.8E-6	4.8E-4	2.0E-6	8.9E-7
61	5.0E-4	7.9E-8	8.9E-7	1.7E-6	4.6E-4	1.9E-6	8.4E-7
62	4.8E-4	7.4E-8	8.5E-7	1.6E-6	4.4E-4	1.8E-6	8.0E-7
63	4.6E-4	7.0E-8	8.1E-7	1.5E-6	4.2E-4	1.8E-6	7.6E-7
64	4.4E-4	6.6E-8	7.7E-7	1.5E-6	4.0E-4	1.7E-6	7.2E-7
