Radionuclide	Sb-122
Route of Intake	Inhalation
Material	Aerosols Type F, Chloride, tartrate, fA=5E-2
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	2.9E-1	-	-	3.6E-2	5.7E-2	3.7E-4	6.6E-3	7.4E-3
0.083333	2.8E-1	-	-	3.9E-2	1.7E-2	5.4E-4	7.9E-3	8.2E-3
0.125	2.7E-1	-	-	4.1E-2	6.6E-3	6.0E-4	8.4E-3	8.5E-3
0.25	2.5E-1	-	-	4.6E-2	2.3E-3	6.7E-4	9.0E-3	8.8E-3
0.375	2.4E-1	-	-	4.9E-2	2.2E-3	7.1E-4	9.4E-3	8.9E-3
0.5	2.3E-1	-	-	5.1E-2	2.1E-3	7.4E-4	9.7E-3	8.9E-3
0.625	2.1E-1	-	-	5.1E-2	2.0E-3	7.7E-4	9.9E-3	8.8E-3
0.75	2.0E-1	-	-	5.0E-2	2.0E-3	8.0E-4	1.0E-2	8.7E-3
0.875	1.9E-1	-	-	4.8E-2	1.9E-3	8.2E-4	1.0E-2	8.5E-3
1	1.8E-1	2.6E-2	7.4E-3	4.5E-2	1.8E-3	8.3E-4	1.0E-2	8.4E-3
1.125	1.7E-1	-	-	4.2E-2	1.7E-3	8.4E-4	1.0E-2	8.2E-3
1.25	1.6E-1	-	-	3.9E-2	1.7E-3	8.5E-4	1.0E-2	7.9E-3
1.375	1.5E-1	-	-	3.6E-2	1.6E-3	8.5E-4	9.8E-3	7.7E-3
1.5	1.4E-1	-	-	3.2E-2	1.5E-3	8.6E-4	9.7E-3	7.4E-3
1.625	1.4E-1	-	-	2.9E-2	1.5E-3	8.5E-4	9.5E-3	7.2E-3
1.75	1.3E-1	-	-	2.6E-2	1.4E-3	8.5E-4	9.4E-3	6.9E-3
1.875	1.2E-1	-	-	2.3E-2	1.3E-3	8.4E-4	9.2E-3	6.7E-3
2	1.1E-1	9.1E-3	1.8E-2	2.0E-2	1.3E-3	8.4E-4	9.0E-3	6.4E-3
2.25	1.0E-1	-	-	1.6E-2	1.2E-3	8.2E-4	8.5E-3	5.9E-3
2.5	8.9E-2	-	-	1.2E-2	1.1E-3	8.0E-4	8.0E-3	5.4E-3
2.75	8.0E-2	-	-	9.5E-3	9.7E-4	7.7E-4	7.6E-3	5.0E-3
3	7.2E-2	5.7E-3	9.6E-3	7.3E-3	8.8E-4	7.4E-4	7.1E-3	4.5E-3
3.25	6.5E-2	-	-	5.7E-3	8.0E-4	7.1E-4	6.6E-3	4.1E-3
3.5	5.9E-2	-	-	4.5E-3	7.3E-4	6.7E-4	6.1E-3	3.7E-3
3.75	5.4E-2	-	-	3.6E-3	6.7E-4	6.4E-4	5.7E-3	3.4E-3
4	4.9E-2	3.6E-3	3.3E-3	3.0E-3	6.1E-4	6.1E-4	5.3E-3	3.1E-3
4.25	4.5E-2	-	-	2.5E-3	5.5E-4	5.8E-4	4.9E-3	2.8E-3
4.5	4.1E-2	-	-	2.1E-3	5.0E-4	5.4E-4	4.5E-3	2.5E-3
4.75	3.8E-2	-	-	1.8E-3	4.6E-4	5.1E-4	4.1E-3	2.3E-3
5	3.5E-2	2.3E-3	1.1E-3	1.6E-3	4.2E-4	4.8E-4	3.8E-3	2.1E-3
5.5	2.9E-2	-	-	1.2E-3	3.5E-4	4.3E-4	3.2E-3	1.7E-3
6	2.5E-2	1.5E-3	4.8E-4	1.0E-3	2.9E-4	3.7E-4	2.7E-3	1.4E-3
6.5	2.1E-2	-	-	8.2E-4	2.4E-4	3.2E-4	2.2E-3	1.2E-3
7	1.8E-2	1.0E-3	2.7E-4	6.8E-4	2.0E-4	2.8E-4	1.9E-3	9.6E-4
7.5	1.5E-2	-	-	5.6E-4	1.7E-4	2.4E-4	1.6E-3	7.9E-4
8	1.3E-2	6.7E-4	1.7E-4	4.7E-4	1.4E-4	2.1E-4	1.3E-3	6.5E-4
8.5	1.1E-2	-	-	3.9E-4	1.2E-4	1.8E-4	1.1E-3	5.4E-4
9	9.6E-3	4.4E-4	1.1E-4	3.3E-4	1.0E-4	1.6E-4	8.9E-4	4.5E-4
9.5	8.2E-3	-	-	2.7E-4	8.8E-5	1.3E-4	7.4E-4	3.8E-4
10	7.0E-3	3.0E-4	7.3E-5	2.3E-4	7.4E-5	1.1E-4	6.1E-4	3.1E-4
11	5.2E-3	2.0E-4	4.8E-5	1.6E-4	5.4E-5	8.3E-5	4.2E-4	2.2E-4
12	3.9E-3	1.4E-4	3.2E-5	1.2E-4	3.9E-5	6.0E-5	2.9E-4	1.5E-4
13	2.9E-3	9.2E-5	2.1E-5	8.3E-5	2.9E-5	4.4E-5	2.0E-4	1.1E-4
14	2.2E-3	6.3E-5	1.4E-5	6.0E-5	2.1E-5	3.1E-5	1.4E-4	7.9E-5
15	1.6E-3	4.3E-5	9.7E-6	4.4E-5	1.6E-5	2.2E-5	9.5E-5	5.7E-5
16	1.2E-3	3.0E-5	6.6E-6	3.2E-5	1.2E-5	1.6E-5	6.6E-5	4.1E-5
17	9.2E-4	2.1E-5	4.5E-6	2.4E-5	8.8E-6	1.1E-5	4.6E-5	3.0E-5
18	7.0E-4	1.4E-5	3.1E-6	1.7E-5	6.6E-6	8.2E-6	3.2E-5	2.2E-5
19	5.3E-4	1.0E-5	2.1E-6	1.3E-5	5.0E-6	5.8E-6	2.3E-5	1.6E-5
20	4.0E-4	7.1E-6	1.5E-6	9.7E-6	3.7E-6	4.2E-6	1.6E-5	1.2E-5
21	3.1E-4	5.0E-6	1.0E-6	7.2E-6	2.8E-6	3.0E-6	1.2E-5	9.1E-6
22	2.3E-4	3.6E-6	7.1E-7	5.4E-6	2.1E-6	2.1E-6	8.3E-6	6.8E-6
23	1.8E-4	2.5E-6	5.0E-7	4.1E-6	1.6E-6	1.5E-6	6.0E-6	5.2E-6
24	1.4E-4	1.8E-6	3.5E-7	3.1E-6	1.2E-6	1.1E-6	4.4E-6	3.9E-6
25	1.0E-4	1.3E-6	2.5E-7	2.3E-6	9.4E-7	7.6E-7	3.2E-6	3.0E-6
26	7.9E-5	9.6E-7	1.8E-7	1.8E-6	7.1E-7	5.4E-7	2.3E-6	2.2E-6
27	6.0E-5	7.0E-7	1.3E-7	1.3E-6	5.4E-7	3.9E-7	1.7E-6	1.7E-6
28	4.6E-5	5.1E-7	9.3E-8	1.0E-6	4.2E-7	2.8E-7	1.3E-6	1.3E-6
29	3.5E-5	3.8E-7	6.7E-8	7.8E-7	3.2E-7	2.0E-7	9.6E-7	1.0E-6
30	2.7E-5	2.8E-7	4.9E-8	5.9E-7	2.4E-7	1.4E-7	7.2E-7	7.7E-7
31	2.1E-5	2.1E-7	3.6E-8	4.5E-7	1.9E-7	1.0E-7	5.4E-7	5.9E-7
32	1.6E-5	1.5E-7	2.6E-8	3.4E-7	1.4E-7	7.4E-8	4.0E-7	4.5E-7
33	1.2E-5	1.2E-7	1.9E-8	2.6E-7	1.1E-7	5.4E-8	3.1E-7	3.5E-7
34	9.4E-6	8.7E-8	1.4E-8	2.0E-7	8.3E-8	3.9E-8	2.3E-7	2.7E-7
35	7.2E-6	6.5E-8	1.1E-8	1.5E-7	6.4E-8	2.8E-8	1.8E-7	2.1E-7
36	5.5E-6	4.9E-8	8.0E-9	1.2E-7	4.9E-8	2.1E-8	1.3E-7	1.6E-7
37	4.2E-6	3.7E-8	6.0E-9	9.0E-8	3.8E-8	1.5E-8	1.0E-7	1.2E-7
38	3.2E-6	2.8E-8	4.5E-9	6.9E-8	2.9E-8	1.1E-8	7.8E-8	9.5E-8
39	2.5E-6	2.1E-8	3.4E-9	5.3E-8	2.2E-8	8.1E-9	6.0E-8	7.4E-8
40	1.9E-6	1.6E-8	2.6E-9	4.1E-8	1.7E-8	6.0E-9	4.6E-8	5.7E-8
41	1.5E-6	1.2E-8	1.9E-9	3.1E-8	1.3E-8	4.4E-9	3.5E-8	4.4E-8
42	1.1E-6	9.3E-9	1.5E-9	2.4E-8	1.0E-8	3.3E-9	2.7E-8	3.4E-8
43	8.7E-7	7.1E-9	1.1E-9	1.8E-8	7.7E-9	2.4E-9	2.1E-8	2.6E-8
44	6.7E-7	5.4E-9	8.5E-10	1.4E-8	5.9E-9	1.8E-9	1.6E-8	2.0E-8
45	5.1E-7	4.1E-9	6.5E-10	1.1E-8	4.5E-9	1.3E-9	1.2E-8	1.6E-8
46	3.9E-7	3.2E-9	4.9E-10	8.3E-9	3.5E-9	1.0E-9	9.4E-9	1.2E-8
47	3.0E-7	2.4E-9	3.7E-10	6.3E-9	2.7E-9	7.5E-10	7.3E-9	9.5E-9
48	2.3E-7	1.8E-9	2.9E-10	4.9E-9	2.0E-9	5.7E-10	5.6E-9	7.4E-9
49	1.8E-7	1.4E-9	2.2E-10	3.7E-9	1.6E-9	4.3E-10	4.3E-9	5.7E-9
50	1.4E-7	1.1E-9	1.7E-10	2.9E-9	1.2E-9	3.2E-10	3.3E-9	4.4E-9
51	1.1E-7	8.3E-10	1.3E-10	2.2E-9	9.2E-10	2.4E-10	2.6E-9	3.4E-9
52	8.1E-8	6.4E-10	-	1.7E-9	7.1E-10	1.8E-10	2.0E-9	2.7E-9
53	6.2E-8	4.9E-10	-	1.3E-9	5.4E-10	1.4E-10	1.5E-9	2.1E-9
