Radionuclide	I-120
Route of Intake	Inhalation
Material	Aerosols Type F, Sodium iodide, caesium chloride vector, silver iodide, all unspecified forms, fA=0.99
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Liver*
0.041667	1.7E-1	-	-	1.9E-2	5.2E-3	5.6E-3	5.9E-3
0.083333	1.0E-1	-	-	1.2E-2	1.8E-3	6.1E-3	3.0E-3
0.125	5.8E-2	-	-	7.3E-3	9.2E-4	5.1E-3	1.6E-3
0.25	1.1E-2	-	-	1.2E-3	1.5E-4	1.8E-3	2.5E-4
0.375	1.9E-3	-	-	2.0E-4	2.3E-5	5.2E-4	3.9E-5
0.5	3.6E-4	-	-	3.4E-5	3.7E-6	1.3E-4	6.3E-6
0.625	6.9E-5	-	-	5.7E-6	5.9E-7	3.1E-5	1.0E-6
0.75	1.3E-5	-	-	9.8E-7	9.6E-8	7.3E-6	1.7E-7
0.875	2.7E-6	-	-	1.7E-7	1.6E-8	1.7E-6	2.8E-8
1	5.4E-7	8.2E-7	1.9E-9	3.0E-8	2.5E-9	3.7E-7	4.8E-9
1.125	1.1E-7	-	-	5.3E-9	4.2E-10	8.2E-8	8.4E-10
1.25	2.3E-8	-	-	9.6E-10	-	1.8E-8	1.5E-10
1.375	4.8E-9	-	-	1.7E-10	-	4.0E-9	-
1.5	1.0E-9	-	-	-	-	8.7E-10	-
1.625	2.1E-10	-	-	-	-	1.9E-10	-
