Radionuclide	Cs-137
Route of Intake	Inhalation
Material	Aerosols Type M, Irradiated fuel fragments, all unspecified forms, fA=0.2
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ba-137m)	Urine (24-hour sample) (Ba-137m)	Faeces (24-hour sample) (Ba-137m)	Alimentary Tract* (Ba-137m)	Lungs* (Ba-137m)	Skeleton* (Ba-137m)	Liver* (Ba-137m)
0.041667	7.2E-1	-	-	2.6E-1	3.6E-2	3.9E-4	4.7E-4
0.083333	7.1E-1	-	-	2.8E-1	3.3E-2	1.1E-3	1.4E-3
0.125	7.0E-1	-	-	3.0E-1	3.1E-2	2.0E-3	2.6E-3
0.25	6.8E-1	-	-	3.4E-1	2.9E-2	4.6E-3	6.1E-3
0.375	6.6E-1	-	-	3.7E-1	2.8E-2	6.8E-3	8.6E-3
0.5	6.4E-1	-	-	3.8E-1	2.8E-2	8.5E-3	1.0E-2
0.625	6.2E-1	-	-	3.9E-1	2.9E-2	9.9E-3	1.1E-2
0.75	5.9E-1	-	-	3.9E-1	2.9E-2	1.1E-2	1.2E-2
0.875	5.7E-1	-	-	3.9E-1	2.9E-2	1.2E-2	1.2E-2
1	5.5E-1	4.4E-3	6.7E-2	3.7E-1	2.9E-2	1.2E-2	1.2E-2
1.125	5.2E-1	-	-	3.6E-1	2.8E-2	1.3E-2	1.2E-2
1.25	4.9E-1	-	-	3.4E-1	2.8E-2	1.3E-2	1.2E-2
1.375	4.6E-1	-	-	3.2E-1	2.8E-2	1.4E-2	1.1E-2
1.5	4.3E-1	-	-	2.9E-1	2.8E-2	1.4E-2	1.1E-2
1.625	4.1E-1	-	-	2.7E-1	2.8E-2	1.4E-2	1.1E-2
1.75	3.8E-1	-	-	2.4E-1	2.8E-2	1.5E-2	1.0E-2
1.875	3.5E-1	-	-	2.2E-1	2.8E-2	1.5E-2	1.0E-2
2	3.3E-1	2.7E-3	2.0E-1	2.0E-1	2.8E-2	1.5E-2	9.8E-3
2.25	2.9E-1	-	-	1.6E-1	2.8E-2	1.5E-2	9.3E-3
2.5	2.5E-1	-	-	1.3E-1	2.7E-2	1.5E-2	8.9E-3
2.75	2.2E-1	-	-	9.8E-2	2.7E-2	1.5E-2	8.6E-3
3	2.0E-1	1.7E-3	1.3E-1	7.6E-2	2.7E-2	1.5E-2	8.4E-3
3.25	1.8E-1	-	-	5.9E-2	2.7E-2	1.5E-2	8.2E-3
3.5	1.7E-1	-	-	4.6E-2	2.6E-2	1.5E-2	8.0E-3
3.75	1.6E-1	-	-	3.6E-2	2.6E-2	1.4E-2	7.8E-3
4	1.5E-1	1.3E-3	4.7E-2	2.9E-2	2.6E-2	1.4E-2	7.7E-3
4.25	1.5E-1	-	-	2.4E-2	2.6E-2	1.4E-2	7.6E-3
4.5	1.4E-1	-	-	2.0E-2	2.6E-2	1.4E-2	7.5E-3
4.75	1.4E-1	-	-	1.8E-2	2.6E-2	1.4E-2	7.5E-3
5	1.4E-1	1.1E-3	1.4E-2	1.6E-2	2.6E-2	1.4E-2	7.4E-3
5.5	1.3E-1	-	-	1.4E-2	2.5E-2	1.4E-2	7.3E-3
6	1.3E-1	9.4E-4	3.7E-3	1.3E-2	2.5E-2	1.3E-2	7.2E-3
6.5	1.3E-1	-	-	1.2E-2	2.5E-2	1.3E-2	7.1E-3
7	1.3E-1	8.7E-4	1.2E-3	1.2E-2	2.5E-2	1.3E-2	7.1E-3
7.5	1.3E-1	-	-	1.2E-2	2.4E-2	1.3E-2	7.0E-3
