Radionuclide	Ba-140
Route of Intake	Inhalation
Material	Aerosols Type M, Barium sulphate, all unspecified forms, fA=4E-2
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*
0.041667	2.9E-1	-	-	4.4E-2	1.8E-1	9.2E-4
0.083333	2.9E-1	-	-	5.1E-2	1.7E-1	2.0E-3
0.125	2.9E-1	-	-	5.7E-2	1.7E-1	3.1E-3
0.25	2.8E-1	-	-	7.0E-2	1.6E-1	5.9E-3
0.375	2.8E-1	-	-	7.9E-2	1.5E-1	7.9E-3
0.5	2.7E-1	-	-	8.6E-2	1.5E-1	9.3E-3
0.625	2.7E-1	-	-	8.9E-2	1.4E-1	1.0E-2
0.75	2.6E-1	-	-	9.1E-2	1.4E-1	1.1E-2
0.875	2.5E-1	-	-	9.0E-2	1.4E-1	1.1E-2
1	2.5E-1	1.9E-3	1.5E-2	8.8E-2	1.3E-1	1.1E-2
1.125	2.4E-1	-	-	8.5E-2	1.3E-1	1.1E-2
1.25	2.3E-1	-	-	8.1E-2	1.3E-1	1.1E-2
1.375	2.2E-1	-	-	7.6E-2	1.3E-1	1.1E-2
1.5	2.2E-1	-	-	7.1E-2	1.3E-1	1.1E-2
1.625	2.1E-1	-	-	6.5E-2	1.2E-1	1.0E-2
1.75	2.0E-1	-	-	6.0E-2	1.2E-1	1.0E-2
1.875	1.9E-1	-	-	5.5E-2	1.2E-1	9.8E-3
2	1.9E-1	5.7E-4	4.6E-2	5.0E-2	1.2E-1	9.6E-3
2.25	1.7E-1	-	-	4.1E-2	1.2E-1	9.1E-3
2.5	1.6E-1	-	-	3.3E-2	1.2E-1	8.6E-3
2.75	1.5E-1	-	-	2.7E-2	1.1E-1	8.2E-3
3	1.4E-1	3.1E-4	3.1E-2	2.2E-2	1.1E-1	7.8E-3
3.25	1.4E-1	-	-	1.8E-2	1.1E-1	7.4E-3
3.5	1.3E-1	-	-	1.5E-2	1.1E-1	7.1E-3
3.75	1.3E-1	-	-	1.2E-2	1.0E-1	6.8E-3
4	1.2E-1	2.2E-4	1.4E-2	1.0E-2	1.0E-1	6.5E-3
4.25	1.2E-1	-	-	9.0E-3	1.0E-1	6.3E-3
4.5	1.1E-1	-	-	7.8E-3	9.9E-2	6.0E-3
4.75	1.1E-1	-	-	6.9E-3	9.7E-2	5.8E-3
5	1.1E-1	1.6E-4	6.6E-3	6.2E-3	9.5E-2	5.6E-3
5.5	1.0E-1	-	-	5.1E-3	9.2E-2	5.3E-3
6	9.9E-2	1.2E-4	3.8E-3	4.3E-3	8.8E-2	4.9E-3
6.5	9.5E-2	-	-	3.8E-3	8.5E-2	4.7E-3
7	9.1E-2	8.9E-5	2.6E-3	3.3E-3	8.2E-2	4.4E-3
7.5	8.7E-2	-	-	2.9E-3	7.9E-2	4.2E-3
8	8.4E-2	7.0E-5	1.9E-3	2.6E-3	7.7E-2	4.1E-3
8.5	8.1E-2	-	-	2.3E-3	7.4E-2	3.9E-3
9	7.8E-2	5.7E-5	1.5E-3	2.0E-3	7.2E-2	3.8E-3
9.5	7.5E-2	-	-	1.8E-3	6.9E-2	3.6E-3
10	7.3E-2	4.8E-5	1.2E-3	1.7E-3	6.7E-2	3.5E-3
11	6.8E-2	4.1E-5	9.8E-4	1.4E-3	6.3E-2	3.3E-3
12	6.3E-2	3.5E-5	8.1E-4	1.1E-3	5.9E-2	3.1E-3
13	5.9E-2	3.1E-5	6.7E-4	9.7E-4	5.5E-2	2.9E-3
14	5.5E-2	2.8E-5	5.7E-4	8.3E-4	5.2E-2	2.8E-3
15	5.2E-2	2.6E-5	4.9E-4	7.2E-4	4.8E-2	2.6E-3
16	4.9E-2	2.4E-5	4.3E-4	6.4E-4	4.5E-2	2.5E-3
17	4.6E-2	2.2E-5	3.8E-4	5.6E-4	4.3E-2	2.4E-3
18	4.3E-2	2.0E-5	3.3E-4	5.1E-4	4.0E-2	2.2E-3
19	4.0E-2	1.9E-5	3.0E-4	4.6E-4	3.8E-2	2.1E-3
20	3.8E-2	1.8E-5	2.7E-4	4.2E-4	3.5E-2	2.0E-3
21	3.6E-2	1.6E-5	2.5E-4	3.8E-4	3.3E-2	1.9E-3
22	3.4E-2	1.5E-5	2.3E-4	3.5E-4	3.1E-2	1.8E-3
23	3.2E-2	1.4E-5	2.1E-4	3.2E-4	2.9E-2	1.7E-3
24	3.0E-2	1.4E-5	1.9E-4	3.0E-4	2.8E-2	1.6E-3
25	2.8E-2	1.3E-5	1.8E-4	2.8E-4	2.6E-2	1.6E-3
26	2.6E-2	1.2E-5	1.6E-4	2.6E-4	2.4E-2	1.5E-3
27	2.5E-2	1.1E-5	1.5E-4	2.4E-4	2.3E-2	1.4E-3
28	2.3E-2	1.1E-5	1.4E-4	2.2E-4	2.2E-2	1.3E-3
29	2.2E-2	1.0E-5	1.3E-4	2.1E-4	2.0E-2	1.3E-3
30	2.1E-2	9.4E-6	1.2E-4	2.0E-4	1.9E-2	1.2E-3
31	1.9E-2	8.8E-6	1.2E-4	1.8E-4	1.8E-2	1.1E-3
32	1.8E-2	8.3E-6	1.1E-4	1.7E-4	1.7E-2	1.1E-3
33	1.7E-2	7.8E-6	1.0E-4	1.6E-4	1.6E-2	1.0E-3
34	1.6E-2	7.3E-6	9.6E-5	1.5E-4	1.5E-2	9.8E-4
35	1.5E-2	6.9E-6	9.0E-5	1.4E-4	1.4E-2	9.3E-4
36	1.4E-2	6.5E-6	8.5E-5	1.3E-4	1.3E-2	8.9E-4
37	1.3E-2	6.1E-6	8.0E-5	1.3E-4	1.2E-2	8.4E-4
38	1.3E-2	5.8E-6	7.5E-5	1.2E-4	1.2E-2	8.0E-4
39	1.2E-2	5.4E-6	7.0E-5	1.1E-4	1.1E-2	7.6E-4
40	1.1E-2	5.1E-6	6.6E-5	1.0E-4	1.0E-2	7.2E-4
41	1.1E-2	4.8E-6	6.2E-5	9.8E-5	9.7E-3	6.8E-4
42	1.0E-2	4.5E-6	5.8E-5	9.2E-5	9.1E-3	6.5E-4
43	9.4E-3	4.2E-6	5.5E-5	8.6E-5	8.6E-3	6.2E-4
44	8.8E-3	4.0E-6	5.2E-5	8.1E-5	8.1E-3	5.9E-4
45	8.3E-3	3.8E-6	4.8E-5	7.6E-5	7.6E-3	5.6E-4
46	7.8E-3	3.5E-6	4.6E-5	7.2E-5	7.2E-3	5.3E-4
47	7.4E-3	3.3E-6	4.3E-5	6.8E-5	6.7E-3	5.0E-4
48	6.9E-3	3.1E-6	4.0E-5	6.4E-5	6.3E-3	4.7E-4
49	6.5E-3	2.9E-6	3.8E-5	6.0E-5	6.0E-3	4.5E-4
50	6.1E-3	2.8E-6	3.6E-5	5.6E-5	5.6E-3	4.3E-4
51	5.8E-3	2.6E-6	3.4E-5	5.3E-5	5.3E-3	4.1E-4
52	5.4E-3	2.5E-6	3.2E-5	5.0E-5	5.0E-3	3.8E-4
53	5.1E-3	2.3E-6	3.0E-5	4.7E-5	4.7E-3	3.6E-4
54	4.8E-3	2.2E-6	2.8E-5	4.4E-5	4.4E-3	3.5E-4
55	4.5E-3	2.0E-6	2.6E-5	4.1E-5	4.1E-3	3.3E-4
56	4.3E-3	1.9E-6	2.5E-5	3.9E-5	3.9E-3	3.1E-4
57	4.0E-3	1.8E-6	2.3E-5	3.7E-5	3.6E-3	3.0E-4
58	3.8E-3	1.7E-6	2.2E-5	3.4E-5	3.4E-3	2.8E-4
59	3.6E-3	1.6E-6	2.1E-5	3.2E-5	3.2E-3	2.7E-4
60	3.3E-3	1.5E-6	1.9E-5	3.0E-5	3.0E-3	2.5E-4
61	3.1E-3	1.4E-6	1.8E-5	2.9E-5	2.9E-3	2.4E-4
62	3.0E-3	1.3E-6	1.7E-5	2.7E-5	2.7E-3	2.3E-4
63	2.8E-3	1.3E-6	1.6E-5	2.5E-5	2.5E-3	2.2E-4
64	2.6E-3	1.2E-6	1.5E-5	2.4E-5	2.4E-3	2.0E-4
65	2.5E-3	1.1E-6	1.4E-5	2.2E-5	2.2E-3	1.9E-4
66	2.3E-3	1.0E-6	1.3E-5	2.1E-5	2.1E-3	1.8E-4
67	2.2E-3	9.9E-7	1.3E-5	2.0E-5	2.0E-3	1.7E-4
68	2.1E-3	9.3E-7	1.2E-5	1.9E-5	1.9E-3	1.6E-4
69	1.9E-3	8.7E-7	1.1E-5	1.8E-5	1.8E-3	1.6E-4
70	1.8E-3	8.2E-7	1.0E-5	1.7E-5	1.6E-3	1.5E-4
71	1.7E-3	7.7E-7	9.9E-6	1.6E-5	1.5E-3	1.4E-4
72	1.6E-3	7.3E-7	9.3E-6	1.5E-5	1.5E-3	1.3E-4
73	1.5E-3	6.9E-7	8.7E-6	1.4E-5	1.4E-3	1.3E-4
74	1.4E-3	6.5E-7	8.2E-6	1.3E-5	1.3E-3	1.2E-4
75	1.3E-3	6.1E-7	7.7E-6	1.2E-5	1.2E-3	1.1E-4
76	1.3E-3	5.7E-7	7.3E-6	1.1E-5	1.1E-3	1.1E-4
77	1.2E-3	5.4E-7	6.8E-6	1.1E-5	1.1E-3	1.0E-4
78	1.1E-3	5.1E-7	6.4E-6	1.0E-5	1.0E-3	9.7E-5
79	1.1E-3	4.8E-7	6.0E-6	9.5E-6	9.5E-4	9.2E-5
80	1.0E-3	4.5E-7	5.7E-6	9.0E-6	8.9E-4	8.7E-5
81	9.4E-4	4.2E-7	5.3E-6	8.4E-6	8.4E-4	8.2E-5
82	8.8E-4	4.0E-7	5.0E-6	7.9E-6	7.9E-4	7.8E-5
83	8.3E-4	3.7E-7	4.7E-6	7.5E-6	7.4E-4	7.4E-5
84	7.8E-4	3.5E-7	4.4E-6	7.0E-6	7.0E-4	7.0E-5
85	7.4E-4	3.3E-7	4.2E-6	6.6E-6	6.6E-4	6.6E-5
86	6.9E-4	3.1E-7	3.9E-6	6.2E-6	6.2E-4	6.3E-5
87	6.5E-4	2.9E-7	3.7E-6	5.9E-6	5.8E-4	6.0E-5
88	6.1E-4	2.8E-7	3.5E-6	5.5E-6	5.5E-4	5.6E-5
89	5.8E-4	2.6E-7	3.3E-6	5.2E-6	5.1E-4	5.3E-5
90	5.4E-4	2.4E-7	3.1E-6	4.9E-6	4.8E-4	5.1E-5
91	5.1E-4	2.3E-7	2.9E-6	4.6E-6	4.6E-4	4.8E-5
92	4.8E-4	2.2E-7	2.7E-6	4.3E-6	4.3E-4	4.5E-5
93	4.5E-4	2.0E-7	2.6E-6	4.1E-6	4.0E-4	4.3E-5
94	4.3E-4	1.9E-7	2.4E-6	3.8E-6	3.8E-4	4.1E-5
95	4.0E-4	1.8E-7	2.3E-6	3.6E-6	3.6E-4	3.9E-5
96	3.8E-4	1.7E-7	2.1E-6	3.4E-6	3.4E-4	3.7E-5
97	3.6E-4	1.6E-7	2.0E-6	3.2E-6	3.2E-4	3.5E-5
98	3.4E-4	1.5E-7	1.9E-6	3.0E-6	3.0E-4	3.3E-5
99	3.2E-4	1.4E-7	1.8E-6	2.8E-6	2.8E-4	3.1E-5
100	3.0E-4	1.3E-7	1.7E-6	2.6E-6	2.6E-4	2.9E-5
