Radionuclide	Ce-137m
Route of Intake	Inhalation
Material	Aerosols Dioxide, fA=5E-7
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	7.9E-1	-	-	2.7E-1	7.4E-2	1.6E-6	2.6E-6
0.083333	7.7E-1	-	-	3.0E-1	6.9E-2	3.0E-6	4.9E-6
0.125	7.4E-1	-	-	3.2E-1	6.5E-2	4.2E-6	6.9E-6
0.25	6.8E-1	-	-	3.6E-1	5.8E-2	7.2E-6	1.2E-5
0.375	6.2E-1	-	-	3.8E-1	5.3E-2	9.6E-6	1.6E-5
0.5	5.7E-1	-	-	3.8E-1	5.0E-2	1.2E-5	1.9E-5
0.625	5.2E-1	-	-	3.7E-1	4.7E-2	1.3E-5	2.2E-5
0.75	4.7E-1	-	-	3.5E-1	4.4E-2	1.5E-5	2.4E-5
0.875	4.2E-1	-	-	3.3E-1	4.1E-2	1.6E-5	2.6E-5
1	3.8E-1	1.1E-6	5.2E-2	3.0E-1	3.8E-2	1.7E-5	2.8E-5
1.125	3.4E-1	-	-	2.7E-1	3.6E-2	1.7E-5	2.9E-5
1.25	3.0E-1	-	-	2.4E-1	3.4E-2	1.8E-5	3.0E-5
1.375	2.6E-1	-	-	2.2E-1	3.2E-2	1.8E-5	3.0E-5
1.5	2.3E-1	-	-	1.9E-1	3.0E-2	1.9E-5	3.1E-5
1.625	2.0E-1	-	-	1.6E-1	2.8E-2	1.9E-5	3.1E-5
1.75	1.7E-1	-	-	1.4E-1	2.6E-2	1.9E-5	3.1E-5
1.875	1.5E-1	-	-	1.2E-1	2.5E-2	1.9E-5	3.1E-5
2	1.3E-1	6.2E-7	1.0E-1	1.0E-1	2.3E-2	1.8E-5	3.1E-5
2.25	9.2E-2	-	-	7.0E-2	2.0E-2	1.8E-5	3.0E-5
2.5	6.7E-2	-	-	4.8E-2	1.8E-2	1.7E-5	2.9E-5
2.75	4.9E-2	-	-	3.2E-2	1.6E-2	1.7E-5	2.8E-5
3	3.6E-2	3.6E-7	4.1E-2	2.2E-2	1.4E-2	1.6E-5	2.6E-5
3.25	2.7E-2	-	-	1.4E-2	1.2E-2	1.5E-5	2.5E-5
3.5	2.0E-2	-	-	9.3E-3	1.1E-2	1.4E-5	2.3E-5
3.75	1.6E-2	-	-	6.0E-3	9.5E-3	1.3E-5	2.2E-5
4	1.2E-2	2.2E-7	9.7E-3	3.9E-3	8.4E-3	1.2E-5	2.0E-5
4.25	1.0E-2	-	-	2.5E-3	7.4E-3	1.1E-5	1.9E-5
4.5	8.2E-3	-	-	1.6E-3	6.5E-3	1.1E-5	1.8E-5
4.75	6.9E-3	-	-	1.0E-3	5.7E-3	9.9E-6	1.6E-5
5	5.8E-3	1.3E-7	1.8E-3	6.9E-4	5.1E-3	9.1E-6	1.5E-5
5.5	4.3E-3	-	-	3.1E-4	3.9E-3	7.7E-6	1.3E-5
6	3.3E-3	8.3E-8	3.1E-4	1.6E-4	3.1E-3	6.5E-6	1.1E-5
6.5	2.5E-3	-	-	8.7E-5	2.4E-3	5.5E-6	9.0E-6
7	2.0E-3	5.2E-8	6.6E-5	5.3E-5	1.9E-3	4.6E-6	7.5E-6
7.5	1.5E-3	-	-	3.5E-5	1.5E-3	3.8E-6	6.2E-6
8	1.2E-3	3.2E-8	2.1E-5	2.4E-5	1.1E-3	3.1E-6	5.2E-6
8.5	9.3E-4	-	-	1.7E-5	8.9E-4	2.6E-6	4.3E-6
9	7.2E-4	2.0E-8	9.1E-6	1.2E-5	7.0E-4	2.1E-6	3.5E-6
9.5	5.6E-4	-	-	8.9E-6	5.4E-4	1.8E-6	2.9E-6
10	4.4E-4	1.2E-8	4.5E-6	6.4E-6	4.3E-4	1.4E-6	2.4E-6
11	2.7E-4	7.8E-9	2.4E-6	3.4E-6	2.6E-4	9.7E-7	1.6E-6
12	1.6E-4	4.8E-9	1.2E-6	1.8E-6	1.6E-4	6.4E-7	1.1E-6
13	1.0E-4	3.0E-9	6.6E-7	9.8E-7	9.8E-5	4.2E-7	6.9E-7
14	6.2E-5	1.9E-9	3.6E-7	5.3E-7	6.0E-5	2.8E-7	4.6E-7
15	3.8E-5	1.2E-9	1.9E-7	2.9E-7	3.7E-5	1.8E-7	3.0E-7
16	2.3E-5	7.1E-10	1.1E-7	1.6E-7	2.3E-5	1.2E-7	1.9E-7
17	1.4E-5	4.4E-10	5.8E-8	9.0E-8	1.4E-5	7.7E-8	1.3E-7
18	8.8E-6	2.7E-10	3.3E-8	5.1E-8	8.5E-6	5.0E-8	8.2E-8
19	5.4E-6	1.7E-10	1.8E-8	2.9E-8	5.2E-6	3.2E-8	5.3E-8
