Radionuclide	C-14
Route of Intake	Inhalation
Material	Aerosols Barium carbonate, fA=0.99
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*
0.041667	2.0E-1	-	-	1.6E-2	9.2E-3	3.6E-3
0.083333	1.4E-1	-	-	9.5E-3	3.6E-3	2.4E-3
0.125	1.1E-1	-	-	6.5E-3	2.2E-3	1.8E-3
0.25	7.0E-2	-	-	3.7E-3	6.9E-4	1.2E-3
0.375	5.4E-2	-	-	3.1E-3	3.8E-4	1.1E-3
0.5	4.3E-2	-	-	2.7E-3	2.9E-4	1.1E-3
0.625	3.6E-2	-	-	2.4E-3	2.4E-4	1.1E-3
0.75	3.0E-2	-	-	2.1E-3	2.0E-4	1.1E-3
0.875	2.5E-2	-	-	1.9E-3	1.7E-4	1.1E-3
1	2.1E-2	4.8E-3	3.6E-4	1.7E-3	1.5E-4	1.1E-3
1.125	1.8E-2	-	-	1.5E-3	1.3E-4	1.1E-3
1.25	1.6E-2	-	-	1.3E-3	1.1E-4	1.1E-3
1.375	1.4E-2	-	-	1.2E-3	9.9E-5	1.1E-3
1.5	1.2E-2	-	-	1.1E-3	8.8E-5	1.1E-3
1.625	1.1E-2	-	-	9.4E-4	8.0E-5	1.1E-3
1.75	1.0E-2	-	-	8.3E-4	7.2E-5	1.1E-3
1.875	9.3E-3	-	-	7.4E-4	6.6E-5	1.1E-3
2	8.6E-3	3.5E-4	6.8E-4	6.5E-4	6.2E-5	1.1E-3
2.25	7.6E-3	-	-	5.1E-4	5.4E-5	1.1E-3
2.5	6.9E-3	-	-	4.0E-4	4.9E-5	1.1E-3
2.75	6.3E-3	-	-	3.1E-4	4.5E-5	1.1E-3
3	6.0E-3	9.5E-5	3.5E-4	2.5E-4	4.2E-5	1.1E-3
3.25	5.7E-3	-	-	2.0E-4	4.0E-5	1.1E-3
3.5	5.5E-3	-	-	1.7E-4	3.8E-5	1.1E-3
3.75	5.3E-3	-	-	1.4E-4	3.6E-5	1.1E-3
4	5.2E-3	3.6E-5	1.2E-4	1.2E-4	3.5E-5	1.1E-3
4.25	5.0E-3	-	-	1.1E-4	3.4E-5	1.1E-3
4.5	4.9E-3	-	-	9.6E-5	3.4E-5	1.1E-3
4.75	4.9E-3	-	-	8.8E-5	3.3E-5	1.1E-3
5	4.8E-3	1.9E-5	3.2E-5	8.3E-5	3.2E-5	1.1E-3
5.5	4.7E-3	-	-	7.5E-5	3.1E-5	1.1E-3
6	4.5E-3	1.3E-5	8.5E-6	7.1E-5	3.0E-5	1.1E-3
6.5	4.4E-3	-	-	6.8E-5	2.9E-5	1.0E-3
7	4.4E-3	1.1E-5	2.6E-6	6.6E-5	2.9E-5	1.0E-3
7.5	4.3E-3	-	-	6.4E-5	2.8E-5	1.0E-3
8	4.2E-3	8.9E-6	1.1E-6	6.2E-5	2.7E-5	1.0E-3
8.5	4.1E-3	-	-	6.1E-5	2.7E-5	1.0E-3
9	4.1E-3	7.6E-6	7.5E-7	6.0E-5	2.6E-5	1.0E-3
9.5	4.0E-3	-	-	5.9E-5	2.6E-5	1.0E-3
10	3.9E-3	6.7E-6	6.0E-7	5.8E-5	2.5E-5	9.9E-4
11	3.8E-3	5.9E-6	5.1E-7	5.6E-5	2.4E-5	9.8E-4
12	3.7E-3	5.2E-6	4.5E-7	5.4E-5	2.4E-5	9.6E-4
13	3.6E-3	4.7E-6	4.0E-7	5.2E-5	2.3E-5	9.5E-4
14	3.6E-3	4.3E-6	3.6E-7	5.1E-5	2.2E-5	9.3E-4
15	3.5E-3	4.0E-6	3.3E-7	5.0E-5	2.2E-5	9.2E-4
16	3.4E-3	3.7E-6	3.1E-7	4.9E-5	2.1E-5	9.0E-4
17	3.3E-3	3.5E-6	2.9E-7	4.8E-5	2.1E-5	8.9E-4
18	3.3E-3	3.3E-6	2.7E-7	4.7E-5	2.1E-5	8.8E-4
19	3.2E-3	3.1E-6	2.6E-7	4.6E-5	2.0E-5	8.6E-4
20	3.2E-3	3.0E-6	2.4E-7	4.5E-5	2.0E-5	8.5E-4
21	3.1E-3	2.8E-6	2.3E-7	4.4E-5	1.9E-5	8.4E-4
22	3.0E-3	2.7E-6	2.2E-7	4.3E-5	1.9E-5	8.2E-4
23	3.0E-3	2.7E-6	2.2E-7	4.2E-5	1.9E-5	8.1E-4
24	2.9E-3	2.6E-6	2.1E-7	4.2E-5	1.8E-5	8.0E-4
25	2.9E-3	2.5E-6	2.0E-7	4.1E-5	1.8E-5	7.9E-4
26	2.8E-3	2.4E-6	2.0E-7	4.0E-5	1.8E-5	7.7E-4
27	2.8E-3	2.4E-6	1.9E-7	3.9E-5	1.7E-5	7.6E-4
28	2.7E-3	2.3E-6	1.9E-7	3.9E-5	1.7E-5	7.5E-4
29	2.7E-3	2.3E-6	1.8E-7	3.8E-5	1.7E-5	7.4E-4
30	2.7E-3	2.2E-6	1.8E-7	3.7E-5	1.6E-5	7.3E-4
31	2.6E-3	2.2E-6	1.8E-7	3.7E-5	1.6E-5	7.2E-4
32	2.6E-3	2.1E-6	1.7E-7	3.6E-5	1.6E-5	7.0E-4
33	2.5E-3	2.1E-6	1.7E-7	3.6E-5	1.6E-5	6.9E-4
34	2.5E-3	2.1E-6	1.7E-7	3.5E-5	1.5E-5	6.8E-4
35	2.4E-3	2.0E-6	1.6E-7	3.4E-5	1.5E-5	6.7E-4
36	2.4E-3	2.0E-6	1.6E-7	3.4E-5	1.5E-5	6.6E-4
37	2.4E-3	2.0E-6	1.6E-7	3.3E-5	1.5E-5	6.5E-4
38	2.3E-3	1.9E-6	1.6E-7	3.3E-5	1.4E-5	6.4E-4
39	2.3E-3	1.9E-6	1.5E-7	3.2E-5	1.4E-5	6.3E-4
40	2.2E-3	1.9E-6	1.5E-7	3.2E-5	1.4E-5	6.2E-4
41	2.2E-3	1.8E-6	1.5E-7	3.1E-5	1.4E-5	6.1E-4
42	2.2E-3	1.8E-6	1.4E-7	3.0E-5	1.3E-5	6.1E-4
43	2.1E-3	1.8E-6	1.4E-7	3.0E-5	1.3E-5	6.0E-4
44	2.1E-3	1.7E-6	1.4E-7	2.9E-5	1.3E-5	5.9E-4
45	2.1E-3	1.7E-6	1.4E-7	2.9E-5	1.3E-5	5.8E-4
