Radionuclide	Tb-148
Route of Intake	Inhalation
Material	Aerosols Type M, Oxide, fA=1E-4
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	4.7E-1	-	-	1.0E-1	2.2E-1	4.5E-4	1.4E-4
0.083333	2.3E-1	-	-	6.0E-2	1.0E-1	5.4E-4	1.0E-4
0.125	1.2E-1	-	-	3.4E-2	4.9E-2	4.3E-4	6.6E-5
0.25	1.4E-2	-	-	5.2E-3	5.7E-3	1.1E-4	1.3E-5
0.375	1.7E-3	-	-	7.3E-4	6.8E-4	2.0E-5	2.1E-6
0.5	2.1E-4	-	-	9.8E-5	8.2E-5	3.1E-6	3.2E-7
0.625	2.6E-5	-	-	1.3E-5	9.9E-6	4.7E-7	4.7E-8
0.75	3.2E-6	-	-	1.6E-6	1.2E-6	6.8E-8	6.6E-9
0.875	3.9E-7	-	-	2.0E-7	1.5E-7	9.5E-9	9.2E-10
1	4.7E-8	4.4E-10	4.1E-9	2.5E-8	1.8E-8	1.3E-9	1.2E-10
1.125	5.7E-9	-	-	3.0E-9	2.2E-9	1.8E-10	-
1.25	6.8E-10	-	-	3.6E-10	2.6E-10	-	-
