Radionuclide	Tb-158
Route of Intake	Inhalation
Material	Aerosols Dioxide, fA=5E-7
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	5.1E-1	-	-	1.4E-1	1.3E-1	2.9E-6	8.9E-7
0.083333	5.0E-1	-	-	1.6E-1	1.3E-1	6.8E-6	1.3E-6
0.125	5.0E-1	-	-	1.8E-1	1.3E-1	1.1E-5	1.7E-6
0.25	4.8E-1	-	-	2.1E-1	1.2E-1	2.2E-5	2.7E-6
0.375	4.7E-1	-	-	2.4E-1	1.2E-1	3.3E-5	3.6E-6
0.5	4.6E-1	-	-	2.5E-1	1.2E-1	4.4E-5	4.6E-6
0.625	4.5E-1	-	-	2.6E-1	1.2E-1	5.5E-5	5.5E-6
0.75	4.4E-1	-	-	2.6E-1	1.2E-1	6.5E-5	6.5E-6
0.875	4.2E-1	-	-	2.6E-1	1.2E-1	7.5E-5	7.4E-6
1	4.1E-1	2.8E-5	4.4E-2	2.6E-1	1.2E-1	8.5E-5	8.3E-6
1.125	3.9E-1	-	-	2.5E-1	1.2E-1	9.5E-5	9.2E-6
1.25	3.7E-1	-	-	2.3E-1	1.2E-1	1.0E-4	1.0E-5
1.375	3.5E-1	-	-	2.2E-1	1.2E-1	1.1E-4	1.1E-5
1.5	3.3E-1	-	-	2.0E-1	1.2E-1	1.2E-4	1.2E-5
1.625	3.1E-1	-	-	1.9E-1	1.2E-1	1.3E-4	1.3E-5
1.75	2.9E-1	-	-	1.7E-1	1.2E-1	1.4E-4	1.3E-5
1.875	2.8E-1	-	-	1.5E-1	1.2E-1	1.5E-4	1.4E-5
2	2.6E-1	2.8E-5	1.4E-1	1.4E-1	1.2E-1	1.6E-4	1.5E-5
2.25	2.3E-1	-	-	1.1E-1	1.2E-1	1.8E-4	1.6E-5
2.5	2.0E-1	-	-	8.6E-2	1.2E-1	1.9E-4	1.8E-5
2.75	1.8E-1	-	-	6.6E-2	1.2E-1	2.1E-4	1.9E-5
3	1.7E-1	2.5E-5	9.2E-2	5.0E-2	1.2E-1	2.3E-4	2.1E-5
3.25	1.5E-1	-	-	3.8E-2	1.1E-1	2.4E-4	2.2E-5
3.5	1.4E-1	-	-	2.8E-2	1.1E-1	2.6E-4	2.4E-5
3.75	1.4E-1	-	-	2.1E-2	1.1E-1	2.7E-4	2.5E-5
4	1.3E-1	2.3E-5	3.6E-2	1.6E-2	1.1E-1	2.9E-4	2.6E-5
4.25	1.3E-1	-	-	1.2E-2	1.1E-1	3.0E-4	2.8E-5
4.5	1.2E-1	-	-	9.4E-3	1.1E-1	3.2E-4	2.9E-5
4.75	1.2E-1	-	-	7.3E-3	1.1E-1	3.3E-4	3.1E-5
5	1.2E-1	2.3E-5	1.2E-2	5.9E-3	1.1E-1	3.5E-4	3.2E-5
5.5	1.2E-1	-	-	4.0E-3	1.1E-1	3.8E-4	3.5E-5
6	1.1E-1	2.2E-5	4.1E-3	3.1E-3	1.1E-1	4.1E-4	3.7E-5
6.5	1.1E-1	-	-	2.5E-3	1.1E-1	4.4E-4	4.0E-5
7	1.1E-1	2.2E-5	2.0E-3	2.2E-3	1.1E-1	4.7E-4	4.2E-5
7.5	1.1E-1	-	-	1.9E-3	1.1E-1	5.0E-4	4.5E-5
8	1.1E-1	2.2E-5	1.3E-3	1.8E-3	1.1E-1	5.2E-4	4.7E-5
8.5	1.1E-1	-	-	1.6E-3	1.1E-1	5.5E-4	5.0E-5
9	1.1E-1	2.2E-5	1.1E-3	1.5E-3	1.1E-1	5.8E-4	5.2E-5
9.5	1.1E-1	-	-	1.4E-3	1.1E-1	6.1E-4	5.5E-5
10	1.1E-1	2.2E-5	8.9E-4	1.3E-3	1.1E-1	6.4E-4	5.7E-5
11	1.1E-1	2.2E-5	7.6E-4	1.1E-3	1.1E-1	6.9E-4	6.2E-5
12	1.1E-1	2.1E-5	6.6E-4	9.7E-4	1.1E-1	7.5E-4	6.7E-5
13	1.1E-1	2.1E-5	5.8E-4	8.6E-4	1.0E-1	8.1E-4	7.2E-5
14	1.1E-1	2.1E-5	5.1E-4	7.7E-4	1.0E-1	8.6E-4	7.7E-5
15	1.1E-1	2.1E-5	4.5E-4	6.9E-4	1.0E-1	9.2E-4	8.2E-5
16	1.1E-1	2.1E-5	4.1E-4	6.3E-4	1.0E-1	9.7E-4	8.7E-5
17	1.1E-1	2.1E-5	3.7E-4	5.8E-4	1.0E-1	1.0E-3	9.1E-5
18	1.0E-1	2.1E-5	3.4E-4	5.4E-4	1.0E-1	1.1E-3	9.6E-5
19	1.0E-1	2.1E-5	3.1E-4	5.0E-4	1.0E-1	1.1E-3	1.0E-4
20	1.0E-1	2.1E-5	2.9E-4	4.8E-4	1.0E-1	1.2E-3	1.1E-4
21	1.0E-1	2.1E-5	2.8E-4	4.5E-4	1.0E-1	1.2E-3	1.1E-4
22	1.0E-1	2.1E-5	2.6E-4	4.3E-4	1.0E-1	1.3E-3	1.2E-4
23	1.0E-1	2.1E-5	2.5E-4	4.2E-4	1.0E-1	1.4E-3	1.2E-4
24	1.0E-1	2.1E-5	2.4E-4	4.0E-4	1.0E-1	1.4E-3	1.2E-4
25	1.0E-1	2.1E-5	2.3E-4	3.9E-4	1.0E-1	1.5E-3	1.3E-4
26	1.0E-1	2.1E-5	2.2E-4	3.8E-4	1.0E-1	1.5E-3	1.3E-4
27	1.0E-1	2.1E-5	2.2E-4	3.8E-4	1.0E-1	1.6E-3	1.4E-4
28	1.0E-1	2.1E-5	2.1E-4	3.7E-4	9.9E-2	1.6E-3	1.4E-4
29	1.0E-1	2.1E-5	2.1E-4	3.6E-4	9.9E-2	1.7E-3	1.5E-4
30	1.0E-1	2.1E-5	2.1E-4	3.6E-4	9.9E-2	1.7E-3	1.5E-4
31	1.0E-1	2.1E-5	2.0E-4	3.6E-4	9.8E-2	1.8E-3	1.6E-4
32	1.0E-1	2.1E-5	2.0E-4	3.5E-4	9.8E-2	1.8E-3	1.6E-4
33	1.0E-1	2.1E-5	2.0E-4	3.5E-4	9.8E-2	1.9E-3	1.7E-4
34	1.0E-1	2.1E-5	2.0E-4	3.5E-4	9.7E-2	2.0E-3	1.7E-4
35	1.0E-1	2.1E-5	2.0E-4	3.4E-4	9.7E-2	2.0E-3	1.7E-4
36	1.0E-1	2.1E-5	1.9E-4	3.4E-4	9.7E-2	2.1E-3	1.8E-4
37	1.0E-1	2.1E-5	1.9E-4	3.4E-4	9.7E-2	2.1E-3	1.8E-4
38	1.0E-1	2.1E-5	1.9E-4	3.4E-4	9.6E-2	2.2E-3	1.9E-4
39	1.0E-1	2.1E-5	1.9E-4	3.4E-4	9.6E-2	2.2E-3	1.9E-4
40	9.9E-2	2.1E-5	1.9E-4	3.4E-4	9.6E-2	2.3E-3	2.0E-4
41	9.9E-2	2.1E-5	1.9E-4	3.3E-4	9.5E-2	2.3E-3	2.0E-4
42	9.9E-2	2.1E-5	1.9E-4	3.3E-4	9.5E-2	2.4E-3	2.1E-4
43	9.9E-2	2.1E-5	1.9E-4	3.3E-4	9.5E-2	2.4E-3	2.1E-4
44	9.9E-2	2.1E-5	1.8E-4	3.3E-4	9.5E-2	2.5E-3	2.1E-4
45	9.8E-2	2.1E-5	1.8E-4	3.3E-4	9.4E-2	2.5E-3	2.2E-4
46	9.8E-2	2.1E-5	1.8E-4	3.3E-4	9.4E-2	2.6E-3	2.2E-4
47	9.8E-2	2.1E-5	1.8E-4	3.3E-4	9.4E-2	2.6E-3	2.3E-4
48	9.8E-2	2.1E-5	1.8E-4	3.3E-4	9.4E-2	2.7E-3	2.3E-4
49	9.8E-2	2.1E-5	1.8E-4	3.2E-4	9.3E-2	2.7E-3	2.4E-4
50	9.7E-2	2.1E-5	1.8E-4	3.2E-4	9.3E-2	2.8E-3	2.4E-4
51	9.7E-2	2.1E-5	1.8E-4	3.2E-4	9.3E-2	2.9E-3	2.4E-4
52	9.7E-2	2.1E-5	1.8E-4	3.2E-4	9.2E-2	2.9E-3	2.5E-4
53	9.7E-2	2.1E-5	1.8E-4	3.2E-4	9.2E-2	3.0E-3	2.5E-4
54	9.7E-2	2.1E-5	1.8E-4	3.2E-4	9.2E-2	3.0E-3	2.6E-4
55	9.6E-2	2.0E-5	1.8E-4	3.2E-4	9.2E-2	3.1E-3	2.6E-4
56	9.6E-2	2.0E-5	1.8E-4	3.2E-4	9.1E-2	3.1E-3	2.7E-4
57	9.6E-2	2.0E-5	1.7E-4	3.2E-4	9.1E-2	3.2E-3	2.7E-4
58	9.6E-2	2.0E-5	1.7E-4	3.2E-4	9.1E-2	3.2E-3	2.7E-4
59	9.6E-2	2.0E-5	1.7E-4	3.2E-4	9.1E-2	3.3E-3	2.8E-4
60	9.5E-2	2.0E-5	1.7E-4	3.1E-4	9.0E-2	3.3E-3	2.8E-4
61	9.5E-2	2.0E-5	1.7E-4	3.1E-4	9.0E-2	3.4E-3	2.9E-4
62	9.5E-2	2.0E-5	1.7E-4	3.1E-4	9.0E-2	3.4E-3	2.9E-4
63	9.5E-2	2.0E-5	1.7E-4	3.1E-4	9.0E-2	3.5E-3	2.9E-4
64	9.5E-2	2.0E-5	1.7E-4	3.1E-4	8.9E-2	3.5E-3	3.0E-4
65	9.5E-2	2.0E-5	1.7E-4	3.1E-4	8.9E-2	3.6E-3	3.0E-4
66	9.4E-2	2.0E-5	1.7E-4	3.1E-4	8.9E-2	3.6E-3	3.1E-4
67	9.4E-2	2.0E-5	1.7E-4	3.1E-4	8.9E-2	3.7E-3	3.1E-4
68	9.4E-2	2.0E-5	1.7E-4	3.1E-4	8.8E-2	3.7E-3	3.1E-4
69	9.4E-2	2.0E-5	1.7E-4	3.1E-4	8.8E-2	3.8E-3	3.2E-4
70	9.4E-2	2.0E-5	1.7E-4	3.0E-4	8.8E-2	3.8E-3	3.2E-4
71	9.3E-2	2.0E-5	1.7E-4	3.0E-4	8.8E-2	3.9E-3	3.3E-4
72	9.3E-2	2.0E-5	1.6E-4	3.0E-4	8.7E-2	3.9E-3	3.3E-4
73	9.3E-2	2.0E-5	1.6E-4	3.0E-4	8.7E-2	4.0E-3	3.3E-4
74	9.3E-2	2.0E-5	1.6E-4	3.0E-4	8.7E-2	4.0E-3	3.4E-4
75	9.3E-2	2.0E-5	1.6E-4	3.0E-4	8.7E-2	4.1E-3	3.4E-4
76	9.2E-2	2.0E-5	1.6E-4	3.0E-4	8.6E-2	4.1E-3	3.5E-4
77	9.2E-2	2.0E-5	1.6E-4	3.0E-4	8.6E-2	4.2E-3	3.5E-4
78	9.2E-2	2.0E-5	1.6E-4	3.0E-4	8.6E-2	4.2E-3	3.5E-4
79	9.2E-2	2.0E-5	1.6E-4	3.0E-4	8.6E-2	4.3E-3	3.6E-4
80	9.2E-2	2.0E-5	1.6E-4	3.0E-4	8.5E-2	4.3E-3	3.6E-4
81	9.2E-2	2.0E-5	1.6E-4	2.9E-4	8.5E-2	4.4E-3	3.6E-4
82	9.1E-2	2.0E-5	1.6E-4	2.9E-4	8.5E-2	4.4E-3	3.7E-4
83	9.1E-2	2.0E-5	1.6E-4	2.9E-4	8.5E-2	4.5E-3	3.7E-4
