Radionuclide	Tm-172
Route of Intake	Inhalation
Material	Aerosols Water soluble forms, including chloride and citrate, fA=2.5E-4
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	6.5E-1	-	-	2.4E-1	1.4E-2	3.7E-4	8.8E-5
0.083333	6.4E-1	-	-	2.7E-1	1.2E-2	5.9E-4	8.7E-5
0.125	6.2E-1	-	-	2.9E-1	1.1E-2	7.4E-4	9.4E-5
0.25	5.8E-1	-	-	3.3E-1	8.5E-3	1.1E-3	1.2E-4
0.375	5.4E-1	-	-	3.6E-1	7.5E-3	1.3E-3	1.4E-4
0.5	5.1E-1	-	-	3.7E-1	6.8E-3	1.5E-3	1.5E-4
0.625	4.8E-1	-	-	3.7E-1	6.3E-3	1.7E-3	1.7E-4
0.75	4.4E-1	-	-	3.6E-1	5.8E-3	1.8E-3	1.7E-4
0.875	4.1E-1	-	-	3.5E-1	5.4E-3	1.9E-3	1.8E-4
1	3.8E-1	6.9E-4	5.7E-2	3.3E-1	5.0E-3	2.0E-3	1.9E-4
1.125	3.4E-1	-	-	3.0E-1	4.7E-3	2.0E-3	1.9E-4
1.25	3.1E-1	-	-	2.8E-1	4.4E-3	2.1E-3	1.9E-4
1.375	2.8E-1	-	-	2.5E-1	4.1E-3	2.1E-3	2.0E-4
1.5	2.5E-1	-	-	2.3E-1	3.9E-3	2.1E-3	2.0E-4
1.625	2.2E-1	-	-	2.0E-1	3.7E-3	2.1E-3	1.9E-4
1.75	1.9E-1	-	-	1.8E-1	3.5E-3	2.1E-3	1.9E-4
1.875	1.7E-1	-	-	1.5E-1	3.3E-3	2.1E-3	1.9E-4
2	1.4E-1	2.1E-4	1.4E-1	1.3E-1	3.1E-3	2.1E-3	1.9E-4
2.25	1.1E-1	-	-	9.9E-2	2.8E-3	2.0E-3	1.8E-4
2.5	7.9E-2	-	-	7.2E-2	2.6E-3	1.9E-3	1.8E-4
2.75	5.7E-2	-	-	5.1E-2	2.3E-3	1.9E-3	1.7E-4
3	4.1E-2	7.4E-5	6.9E-2	3.6E-2	2.2E-3	1.8E-3	1.6E-4
3.25	3.0E-2	-	-	2.5E-2	2.0E-3	1.7E-3	1.5E-4
3.5	2.1E-2	-	-	1.7E-2	1.8E-3	1.6E-3	1.4E-4
3.75	1.6E-2	-	-	1.1E-2	1.7E-3	1.5E-3	1.4E-4
4	1.1E-2	2.7E-5	2.0E-2	7.6E-3	1.6E-3	1.4E-3	1.3E-4
4.25	8.6E-3	-	-	5.1E-3	1.4E-3	1.3E-3	1.2E-4
4.5	6.7E-3	-	-	3.4E-3	1.3E-3	1.3E-3	1.1E-4
4.75	5.3E-3	-	-	2.2E-3	1.2E-3	1.2E-3	1.1E-4
5	4.3E-3	1.1E-5	4.5E-3	1.4E-3	1.2E-3	1.1E-3	1.0E-4
5.5	3.1E-3	-	-	6.2E-4	1.0E-3	9.9E-4	8.8E-5
6	2.5E-3	4.8E-6	8.6E-4	2.7E-4	8.7E-4	8.7E-4	7.8E-5
6.5	2.0E-3	-	-	1.3E-4	7.5E-4	7.6E-4	6.8E-5
7	1.7E-3	2.5E-6	1.6E-4	6.3E-5	6.5E-4	6.7E-4	6.0E-5
7.5	1.5E-3	-	-	3.6E-5	5.7E-4	5.9E-4	5.3E-5
8	1.3E-3	1.5E-6	3.3E-5	2.3E-5	4.9E-4	5.2E-4	4.6E-5
8.5	1.1E-3	-	-	1.7E-5	4.3E-4	4.6E-4	4.1E-5
9	9.9E-4	1.0E-6	1.0E-5	1.3E-5	3.7E-4	4.0E-4	3.6E-5
9.5	8.6E-4	-	-	1.0E-5	3.3E-4	3.5E-4	3.1E-5
10	7.5E-4	7.0E-7	4.8E-6	8.2E-6	2.8E-4	3.1E-4	2.8E-5
11	5.8E-4	5.0E-7	2.9E-6	5.5E-6	2.2E-4	2.4E-4	2.1E-5
12	4.4E-4	3.6E-7	1.8E-6	3.8E-6	1.6E-4	1.8E-4	1.6E-5
13	3.4E-4	2.7E-7	1.2E-6	2.6E-6	1.3E-4	1.4E-4	1.3E-5
14	2.6E-4	1.9E-7	7.9E-7	1.8E-6	9.6E-5	1.1E-4	9.7E-6
15	2.0E-4	1.4E-7	5.3E-7	1.3E-6	7.3E-5	8.5E-5	7.5E-6
16	1.5E-4	1.1E-7	3.5E-7	9.1E-7	5.6E-5	6.6E-5	5.7E-6
17	1.2E-4	7.8E-8	2.4E-7	6.6E-7	4.3E-5	5.1E-5	4.4E-6
18	9.0E-5	5.7E-8	1.6E-7	4.8E-7	3.3E-5	3.9E-5	3.4E-6
19	6.9E-5	4.3E-8	1.1E-7	3.5E-7	2.5E-5	3.0E-5	2.6E-6
20	5.3E-5	3.2E-8	7.7E-8	2.6E-7	1.9E-5	2.3E-5	2.0E-6
21	4.1E-5	2.4E-8	5.4E-8	1.9E-7	1.5E-5	1.8E-5	1.6E-6
22	3.1E-5	1.8E-8	3.8E-8	1.4E-7	1.1E-5	1.4E-5	1.2E-6
23	2.4E-5	1.3E-8	2.7E-8	1.1E-7	8.6E-6	1.1E-5	9.2E-7
24	1.9E-5	9.8E-9	2.0E-8	7.9E-8	6.6E-6	8.2E-6	7.1E-7
25	1.4E-5	7.3E-9	1.4E-8	5.9E-8	5.1E-6	6.4E-6	5.5E-7
26	1.1E-5	5.5E-9	1.0E-8	4.5E-8	3.9E-6	4.9E-6	4.2E-7
27	8.4E-6	4.1E-9	7.6E-9	3.4E-8	3.0E-6	3.8E-6	3.2E-7
28	6.5E-6	3.1E-9	5.7E-9	2.6E-8	2.3E-6	2.9E-6	2.5E-7
29	5.0E-6	2.3E-9	4.2E-9	2.0E-8	1.8E-6	2.3E-6	1.9E-7
30	3.8E-6	1.8E-9	3.1E-9	1.5E-8	1.3E-6	1.7E-6	1.5E-7
31	2.9E-6	1.3E-9	2.4E-9	1.1E-8	1.0E-6	1.3E-6	1.1E-7
32	2.3E-6	1.0E-9	1.8E-9	8.7E-9	7.9E-7	1.0E-6	8.8E-8
33	1.7E-6	7.6E-10	1.3E-9	6.6E-9	6.0E-7	8.0E-7	6.8E-8
34	1.3E-6	5.7E-10	1.0E-9	5.1E-9	4.6E-7	6.2E-7	5.2E-8
35	1.0E-6	4.3E-10	7.7E-10	3.9E-9	3.6E-7	4.8E-7	4.0E-8
36	7.9E-7	3.3E-10	5.8E-10	3.0E-9	2.7E-7	3.7E-7	3.1E-8
37	6.1E-7	2.5E-10	4.4E-10	2.3E-9	2.1E-7	2.8E-7	2.4E-8
38	4.7E-7	1.9E-10	3.4E-10	1.7E-9	1.6E-7	2.2E-7	1.8E-8
39	3.6E-7	1.4E-10	2.6E-10	1.3E-9	1.2E-7	1.7E-7	1.4E-8
40	2.8E-7	1.1E-10	2.0E-10	1.0E-9	9.4E-8	1.3E-7	1.1E-8
41	2.1E-7	-	1.5E-10	7.8E-10	7.2E-8	1.0E-7	8.3E-9
42	1.6E-7	-	1.1E-10	6.0E-10	5.5E-8	7.7E-8	6.4E-9
43	1.3E-7	-	-	4.6E-10	4.2E-8	6.0E-8	4.9E-9
44	9.7E-8	-	-	3.5E-10	3.3E-8	4.6E-8	3.8E-9
45	7.5E-8	-	-	2.7E-10	2.5E-8	3.5E-8	2.9E-9
46	5.7E-8	-	-	2.1E-10	1.9E-8	2.7E-8	2.3E-9
47	4.4E-8	-	-	1.6E-10	1.5E-8	2.1E-8	1.7E-9
48	3.4E-8	-	-	1.2E-10	1.1E-8	1.6E-8	1.3E-9
49	2.6E-8	-	-	-	8.6E-9	1.3E-8	1.0E-9
50	2.0E-8	-	-	-	6.6E-9	9.7E-9	7.9E-10
51	1.5E-8	-	-	-	5.1E-9	7.5E-9	6.1E-10
52	1.2E-8	-	-	-	3.9E-9	5.7E-9	4.7E-10
53	9.1E-9	-	-	-	3.0E-9	4.4E-9	3.6E-10
54	7.0E-9	-	-	-	2.3E-9	3.4E-9	2.8E-10
55	5.4E-9	-	-	-	1.8E-9	2.6E-9	2.1E-10
56	4.2E-9	-	-	-	1.3E-9	2.0E-9	1.7E-10
57	3.2E-9	-	-	-	1.0E-9	1.6E-9	1.3E-10
58	2.5E-9	-	-	-	7.9E-10	1.2E-9	-
59	1.9E-9	-	-	-	6.1E-10	9.3E-10	-
60	1.5E-9	-	-	-	4.7E-10	7.2E-10	-
61	1.1E-9	-	-	-	3.6E-10	5.5E-10	-
62	8.6E-10	-	-	-	2.7E-10	4.3E-10	-
63	6.6E-10	-	-	-	2.1E-10	3.3E-10	-
64	5.1E-10	-	-	-	1.6E-10	2.5E-10	-
65	3.9E-10	-	-	-	1.2E-10	2.0E-10	-
66	3.0E-10	-	-	-	-	1.5E-10	-
67	2.3E-10	-	-	-	-	1.2E-10	-
68	1.8E-10	-	-	-	-	-	-
69	1.4E-10	-	-	-	-	-	-
70	1.1E-10	-	-	-	-	-	-
