Radionuclide	Yb-164
Route of Intake	Ingestion
Material	All compounds, fA=5E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	5.8E-1	-	-	5.8E-1	3.9E-6	1.6E-6
0.083333	3.3E-1	-	-	3.3E-1	9.3E-6	2.3E-6
0.125	1.9E-1	-	-	1.9E-1	1.1E-5	1.9E-6
0.25	3.7E-2	-	-	3.7E-2	4.7E-6	5.5E-7
0.375	7.1E-3	-	-	7.1E-3	1.2E-6	1.2E-7
0.5	1.3E-3	-	-	1.3E-3	2.7E-7	2.6E-8
0.625	2.5E-4	-	-	2.5E-4	5.6E-8	5.2E-9
0.75	4.6E-5	-	-	4.6E-5	1.1E-8	1.0E-9
0.875	8.4E-6	-	-	8.4E-6	2.2E-9	2.1E-10
1	1.5E-6	1.6E-10	4.1E-7	1.5E-6	4.5E-10	-
1.125	2.7E-7	-	-	2.7E-7	-	-
1.25	4.7E-8	-	-	4.7E-8	-	-
1.375	8.1E-9	-	-	8.1E-9	-	-
1.5	1.4E-9	-	-	1.4E-9	-	-
1.625	2.4E-10	-	-	2.4E-10	-	-
