Radionuclide	Re-184
Route of Intake	Inhalation
Material	Aerosols Type M, fA=0.18
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	8.7E-1	-	-	7.8E-2	6.6E-1	4.1E-4	6.0E-4	1.4E-3
0.083333	8.7E-1	-	-	9.5E-2	6.4E-1	7.0E-4	1.1E-3	2.9E-3
0.125	8.7E-1	-	-	1.1E-1	6.3E-1	9.2E-4	1.6E-3	4.5E-3
0.25	8.5E-1	-	-	1.4E-1	5.9E-1	1.3E-3	3.1E-3	8.3E-3
0.375	8.4E-1	-	-	1.6E-1	5.6E-1	1.5E-3	4.5E-3	1.0E-2
0.5	8.3E-1	-	-	1.7E-1	5.4E-1	1.5E-3	5.6E-3	1.0E-2
0.625	8.2E-1	-	-	1.8E-1	5.3E-1	1.4E-3	6.4E-3	9.8E-3
0.75	8.1E-1	-	-	1.9E-1	5.2E-1	1.4E-3	7.1E-3	8.9E-3
0.875	7.9E-1	-	-	1.9E-1	5.1E-1	1.3E-3	7.6E-3	7.9E-3
1	7.8E-1	2.8E-2	2.5E-2	1.9E-1	5.0E-1	1.2E-3	7.9E-3	6.9E-3
1.125	7.6E-1	-	-	1.9E-1	4.9E-1	1.1E-3	8.0E-3	6.0E-3
1.25	7.5E-1	-	-	1.9E-1	4.9E-1	1.0E-3	8.1E-3	5.3E-3
1.375	7.3E-1	-	-	1.8E-1	4.8E-1	9.2E-4	8.1E-3	4.7E-3
1.5	7.2E-1	-	-	1.7E-1	4.8E-1	8.5E-4	8.1E-3	4.2E-3
1.625	7.0E-1	-	-	1.7E-1	4.7E-1	7.9E-4	8.0E-3	3.8E-3
1.75	6.9E-1	-	-	1.6E-1	4.7E-1	7.3E-4	7.8E-3	3.4E-3
1.875	6.7E-1	-	-	1.5E-1	4.6E-1	6.8E-4	7.7E-3	3.2E-3
2	6.6E-1	1.4E-2	8.9E-2	1.4E-1	4.6E-1	6.3E-4	7.5E-3	3.0E-3
2.25	6.3E-1	-	-	1.3E-1	4.5E-1	5.6E-4	7.2E-3	2.7E-3
2.5	6.0E-1	-	-	1.1E-1	4.4E-1	5.0E-4	6.8E-3	2.5E-3
