Radionuclide	Pt-197
Route of Intake	Inhalation
Material	Aerosols Type F, fA=1E-2
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	3.1E-1	-	-	2.9E-2	8.1E-2	1.1E-2	2.6E-2
0.083333	2.8E-1	-	-	3.3E-2	2.8E-2	1.4E-2	3.3E-2
0.125	2.6E-1	-	-	3.4E-2	1.4E-2	1.4E-2	3.4E-2
0.25	2.1E-1	-	-	3.4E-2	7.2E-3	1.3E-2	3.2E-2
0.375	1.9E-1	-	-	3.3E-2	6.1E-3	1.1E-2	2.9E-2
0.5	1.6E-1	-	-	3.1E-2	5.2E-3	1.0E-2	2.6E-2
0.625	1.5E-1	-	-	2.8E-2	4.5E-3	9.2E-3	2.3E-2
0.75	1.3E-1	-	-	2.6E-2	3.8E-3	8.2E-3	2.1E-2
0.875	1.1E-1	-	-	2.3E-2	3.3E-3	7.4E-3	1.9E-2
1	1.0E-1	3.3E-2	3.3E-3	2.0E-2	2.8E-3	6.6E-3	1.7E-2
1.125	8.9E-2	-	-	1.7E-2	2.4E-3	5.9E-3	1.5E-2
1.25	7.8E-2	-	-	1.5E-2	2.1E-3	5.3E-3	1.4E-2
1.375	6.9E-2	-	-	1.2E-2	1.8E-3	4.7E-3	1.2E-2
1.5	6.1E-2	-	-	1.0E-2	1.5E-3	4.2E-3	1.1E-2
1.625	5.3E-2	-	-	8.8E-3	1.3E-3	3.8E-3	9.7E-3
1.75	4.7E-2	-	-	7.3E-3	1.1E-3	3.4E-3	8.7E-3
1.875	4.2E-2	-	-	6.0E-3	9.6E-4	3.0E-3	7.8E-3
2	3.7E-2	2.4E-3	4.3E-3	5.0E-3	8.2E-4	2.7E-3	6.9E-3
2.25	2.9E-2	-	-	3.4E-3	6.1E-4	2.2E-3	5.6E-3
2.5	2.2E-2	-	-	2.3E-3	4.5E-4	1.8E-3	4.4E-3
2.75	1.7E-2	-	-	1.5E-3	3.4E-4	1.4E-3	3.5E-3
3	1.4E-2	8.3E-4	1.3E-3	1.0E-3	2.5E-4	1.1E-3	2.8E-3
3.25	1.1E-2	-	-	7.0E-4	1.9E-4	9.1E-4	2.3E-3
3.5	8.6E-3	-	-	4.9E-4	1.4E-4	7.3E-4	1.8E-3
3.75	6.8E-3	-	-	3.4E-4	1.1E-4	5.9E-4	1.4E-3
4	5.4E-3	3.0E-4	2.4E-4	2.5E-4	8.2E-5	4.7E-4	1.1E-3
4.25	4.3E-3	-	-	1.8E-4	6.2E-5	3.8E-4	9.1E-4
4.5	3.4E-3	-	-	1.3E-4	4.8E-5	3.0E-4	7.3E-4
4.75	2.7E-3	-	-	1.0E-4	3.6E-5	2.4E-4	5.8E-4
5	2.2E-3	1.1E-4	4.9E-5	7.7E-5	2.8E-5	2.0E-4	4.6E-4
5.5	1.4E-3	-	-	4.6E-5	1.7E-5	1.3E-4	2.9E-4
6	8.9E-4	4.4E-5	1.3E-5	2.8E-5	1.0E-5	8.2E-5	1.9E-4
6.5	5.7E-4	-	-	1.7E-5	6.1E-6	5.3E-5	1.2E-4
7	3.6E-4	1.7E-5	4.4E-6	1.1E-5	3.7E-6	3.4E-5	7.5E-5
7.5	2.3E-4	-	-	6.8E-6	2.3E-6	2.2E-5	4.8E-5
8	1.5E-4	6.7E-6	1.6E-6	4.3E-6	1.4E-6	1.4E-5	3.0E-5
8.5	9.6E-5	-	-	2.7E-6	9.0E-7	9.3E-6	1.9E-5
9	6.1E-5	2.6E-6	6.4E-7	1.7E-6	5.7E-7	6.0E-6	1.2E-5
9.5	3.9E-5	-	-	1.1E-6	3.6E-7	3.9E-6	7.7E-6
10	2.5E-5	1.1E-6	2.5E-7	7.0E-7	2.3E-7	2.5E-6	4.9E-6
11	1.0E-5	4.2E-7	1.0E-7	2.8E-7	9.2E-8	1.1E-6	2.0E-6
12	4.3E-6	1.7E-7	4.0E-8	1.2E-7	3.8E-8	4.4E-7	8.0E-7
13	1.8E-6	6.8E-8	1.6E-8	4.7E-8	1.6E-8	1.9E-7	3.3E-7
14	7.4E-7	2.7E-8	6.4E-9	1.9E-8	6.4E-9	7.9E-8	1.3E-7
15	3.1E-7	1.1E-8	2.6E-9	7.9E-9	2.6E-9	3.3E-8	5.4E-8
16	1.3E-7	4.4E-9	1.0E-9	3.2E-9	1.1E-9	1.4E-8	2.2E-8
17	5.3E-8	1.8E-9	4.1E-10	1.3E-9	4.5E-10	5.9E-9	9.0E-9
18	2.2E-8	7.2E-10	1.7E-10	5.4E-10	1.9E-10	2.5E-9	3.7E-9
19	9.2E-9	2.9E-10	-	2.2E-10	-	1.0E-9	1.5E-9
20	3.9E-9	1.2E-10	-	-	-	4.4E-10	6.2E-10
21	1.6E-9	-	-	-	-	1.9E-10	2.5E-10
22	6.8E-10	-	-	-	-	-	1.0E-10
23	2.8E-10	-	-	-	-	-	-
24	1.2E-10	-	-	-	-	-	-
