Radionuclide	Po-209
Route of Intake	Injection
Material	Injection, fA=0.1
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.0E+0	-	-	1.2E-2	5.0E-2	2.8E-1
0.083333	1.0E+0	-	-	1.2E-2	5.0E-2	2.9E-1
0.125	1.0E+0	-	-	1.3E-2	5.0E-2	2.9E-1
0.25	9.9E-1	-	-	1.5E-2	5.0E-2	2.8E-1
0.375	9.9E-1	-	-	1.7E-2	4.9E-2	2.8E-1
0.5	9.8E-1	-	-	1.9E-2	4.9E-2	2.8E-1
0.625	9.8E-1	-	-	2.1E-2	4.9E-2	2.8E-1
0.75	9.7E-1	-	-	2.3E-2	4.9E-2	2.8E-1
0.875	9.7E-1	-	-	2.5E-2	4.9E-2	2.8E-1
1	9.6E-1	3.5E-2	1.2E-3	2.6E-2	4.9E-2	2.8E-1
1.125	9.6E-1	-	-	2.8E-2	4.9E-2	2.7E-1
1.25	9.5E-1	-	-	2.9E-2	4.9E-2	2.7E-1
1.375	9.5E-1	-	-	3.0E-2	4.9E-2	2.7E-1
1.5	9.4E-1	-	-	3.1E-2	4.9E-2	2.7E-1
1.625	9.4E-1	-	-	3.2E-2	4.9E-2	2.7E-1
1.75	9.3E-1	-	-	3.3E-2	4.9E-2	2.7E-1
1.875	9.3E-1	-	-	3.3E-2	4.9E-2	2.7E-1
2	9.2E-1	3.3E-2	8.3E-3	3.4E-2	4.9E-2	2.6E-1
2.25	9.1E-1	-	-	3.4E-2	4.9E-2	2.6E-1
2.5	9.0E-1	-	-	3.5E-2	4.9E-2	2.6E-1
2.75	8.9E-1	-	-	3.5E-2	4.9E-2	2.6E-1
3	8.8E-1	2.8E-2	1.4E-2	3.5E-2	4.8E-2	2.5E-1
3.25	8.7E-1	-	-	3.5E-2	4.8E-2	2.5E-1
3.5	8.6E-1	-	-	3.4E-2	4.8E-2	2.5E-1
3.75	8.5E-1	-	-	3.4E-2	4.8E-2	2.5E-1
4	8.4E-1	2.4E-2	1.5E-2	3.4E-2	4.8E-2	2.4E-1
4.25	8.3E-1	-	-	3.4E-2	4.8E-2	2.4E-1
4.5	8.2E-1	-	-	3.3E-2	4.8E-2	2.4E-1
4.75	8.1E-1	-	-	3.3E-2	4.8E-2	2.4E-1
5	8.0E-1	2.1E-2	1.5E-2	3.2E-2	4.8E-2	2.3E-1
5.5	7.9E-1	-	-	3.2E-2	4.7E-2	2.3E-1
6	7.7E-1	1.8E-2	1.4E-2	3.1E-2	4.7E-2	2.3E-1
6.5	7.6E-1	-	-	3.0E-2	4.7E-2	2.2E-1
7	7.4E-1	1.5E-2	1.3E-2	3.0E-2	4.7E-2	2.2E-1
7.5	7.3E-1	-	-	2.9E-2	4.7E-2	2.1E-1
8	7.2E-1	1.3E-2	1.3E-2	2.8E-2	4.6E-2	2.1E-1
8.5	7.0E-1	-	-	2.8E-2	4.6E-2	2.1E-1
9	6.9E-1	1.2E-2	1.2E-2	2.7E-2	4.6E-2	2.0E-1
9.5	6.8E-1	-	-	2.7E-2	4.6E-2	2.0E-1
10	6.7E-1	1.0E-2	1.1E-2	2.6E-2	4.5E-2	2.0E-1
11	6.5E-1	8.9E-3	1.1E-2	2.5E-2	4.5E-2	1.9E-1
12	6.3E-1	7.9E-3	1.0E-2	2.4E-2	4.5E-2	1.8E-1
13	6.1E-1	6.9E-3	9.9E-3	2.4E-2	4.4E-2	1.8E-1
14	6.0E-1	6.2E-3	9.5E-3	2.3E-2	4.4E-2	1.7E-1
15	5.8E-1	5.5E-3	9.2E-3	2.2E-2	4.3E-2	1.7E-1
16	5.7E-1	5.0E-3	8.8E-3	2.1E-2	4.3E-2	1.6E-1
17	5.6E-1	4.5E-3	8.5E-3	2.1E-2	4.2E-2	1.6E-1
18	5.4E-1	4.1E-3	8.2E-3	2.0E-2	4.2E-2	1.5E-1
19	5.3E-1	3.7E-3	8.0E-3	1.9E-2	4.1E-2	1.5E-1
20	5.2E-1	3.4E-3	7.7E-3	1.9E-2	4.1E-2	1.5E-1
21	5.1E-1	3.2E-3	7.4E-3	1.8E-2	4.0E-2	1.4E-1
22	5.0E-1	2.9E-3	7.2E-3	1.8E-2	4.0E-2	1.4E-1
23	4.9E-1	2.7E-3	7.0E-3	1.7E-2	3.9E-2	1.3E-1
24	4.8E-1	2.6E-3	6.8E-3	1.7E-2	3.9E-2	1.3E-1
25	4.7E-1	2.4E-3	6.6E-3	1.6E-2	3.9E-2	1.3E-1
26	4.6E-1	2.3E-3	6.4E-3	1.6E-2	3.8E-2	1.2E-1
27	4.5E-1	2.2E-3	6.2E-3	1.5E-2	3.8E-2	1.2E-1
28	4.4E-1	2.1E-3	6.0E-3	1.5E-2	3.7E-2	1.2E-1
29	4.3E-1	2.0E-3	5.9E-3	1.5E-2	3.7E-2	1.2E-1
30	4.2E-1	1.9E-3	5.7E-3	1.4E-2	3.6E-2	1.1E-1
31	4.2E-1	1.8E-3	5.6E-3	1.4E-2	3.6E-2	1.1E-1
32	4.1E-1	1.7E-3	5.4E-3	1.4E-2	3.5E-2	1.1E-1
33	4.0E-1	1.7E-3	5.3E-3	1.3E-2	3.5E-2	1.0E-1
34	3.9E-1	1.6E-3	5.1E-3	1.3E-2	3.5E-2	1.0E-1
35	3.9E-1	1.6E-3	5.0E-3	1.3E-2	3.4E-2	9.9E-2
36	3.8E-1	1.5E-3	4.9E-3	1.2E-2	3.4E-2	9.7E-2
37	3.7E-1	1.5E-3	4.8E-3	1.2E-2	3.3E-2	9.4E-2
38	3.7E-1	1.4E-3	4.6E-3	1.2E-2	3.3E-2	9.2E-2
39	3.6E-1	1.4E-3	4.5E-3	1.1E-2	3.2E-2	9.0E-2
40	3.5E-1	1.3E-3	4.4E-3	1.1E-2	3.2E-2	8.8E-2
41	3.5E-1	1.3E-3	4.3E-3	1.1E-2	3.2E-2	8.6E-2
42	3.4E-1	1.3E-3	4.2E-3	1.1E-2	3.1E-2	8.4E-2
43	3.4E-1	1.2E-3	4.1E-3	1.0E-2	3.1E-2	8.2E-2
44	3.3E-1	1.2E-3	4.0E-3	1.0E-2	3.0E-2	8.0E-2
45	3.2E-1	1.2E-3	3.9E-3	9.9E-3	3.0E-2	7.8E-2
46	3.2E-1	1.1E-3	3.8E-3	9.6E-3	3.0E-2	7.6E-2
47	3.1E-1	1.1E-3	3.7E-3	9.4E-3	2.9E-2	7.4E-2
48	3.1E-1	1.1E-3	3.7E-3	9.2E-3	2.9E-2	7.3E-2
49	3.0E-1	1.1E-3	3.6E-3	9.0E-3	2.8E-2	7.1E-2
50	3.0E-1	1.0E-3	3.5E-3	8.8E-3	2.8E-2	6.9E-2
51	2.9E-1	1.0E-3	3.4E-3	8.6E-3	2.8E-2	6.8E-2
52	2.9E-1	9.8E-4	3.3E-3	8.4E-3	2.7E-2	6.6E-2
53	2.8E-1	9.6E-4	3.3E-3	8.2E-3	2.7E-2	6.5E-2
54	2.8E-1	9.4E-4	3.2E-3	8.0E-3	2.6E-2	6.3E-2
55	2.7E-1	9.2E-4	3.1E-3	7.8E-3	2.6E-2	6.2E-2
56	2.7E-1	9.0E-4	3.0E-3	7.6E-3	2.6E-2	6.0E-2
57	2.7E-1	8.8E-4	3.0E-3	7.5E-3	2.5E-2	5.9E-2
58	2.6E-1	8.6E-4	2.9E-3	7.3E-3	2.5E-2	5.8E-2
59	2.6E-1	8.4E-4	2.8E-3	7.1E-3	2.5E-2	5.7E-2
60	2.5E-1	8.2E-4	2.8E-3	7.0E-3	2.4E-2	5.5E-2
61	2.5E-1	8.0E-4	2.7E-3	6.8E-3	2.4E-2	5.4E-2
62	2.4E-1	7.9E-4	2.7E-3	6.7E-3	2.4E-2	5.3E-2
63	2.4E-1	7.7E-4	2.6E-3	6.5E-3	2.3E-2	5.2E-2
64	2.4E-1	7.5E-4	2.5E-3	6.4E-3	2.3E-2	5.1E-2
65	2.3E-1	7.4E-4	2.5E-3	6.3E-3	2.3E-2	5.0E-2
66	2.3E-1	7.2E-4	2.4E-3	6.1E-3	2.2E-2	4.8E-2
67	2.3E-1	7.0E-4	2.4E-3	6.0E-3	2.2E-2	4.7E-2
68	2.2E-1	6.9E-4	2.3E-3	5.9E-3	2.2E-2	4.6E-2
69	2.2E-1	6.8E-4	2.3E-3	5.7E-3	2.1E-2	4.5E-2
70	2.2E-1	6.6E-4	2.2E-3	5.6E-3	2.1E-2	4.4E-2
71	2.1E-1	6.5E-4	2.2E-3	5.5E-3	2.1E-2	4.3E-2
72	2.1E-1	6.3E-4	2.1E-3	5.4E-3	2.0E-2	4.3E-2
73	2.1E-1	6.2E-4	2.1E-3	5.3E-3	2.0E-2	4.2E-2
74	2.0E-1	6.1E-4	2.0E-3	5.2E-3	2.0E-2	4.1E-2
75	2.0E-1	6.0E-4	2.0E-3	5.1E-3	2.0E-2	4.0E-2
76	2.0E-1	5.8E-4	2.0E-3	4.9E-3	1.9E-2	3.9E-2
77	1.9E-1	5.7E-4	1.9E-3	4.8E-3	1.9E-2	3.8E-2
78	1.9E-1	5.6E-4	1.9E-3	4.7E-3	1.9E-2	3.8E-2
79	1.9E-1	5.5E-4	1.8E-3	4.6E-3	1.8E-2	3.7E-2
80	1.9E-1	5.4E-4	1.8E-3	4.6E-3	1.8E-2	3.6E-2
81	1.8E-1	5.3E-4	1.8E-3	4.5E-3	1.8E-2	3.5E-2
82	1.8E-1	5.2E-4	1.7E-3	4.4E-3	1.8E-2	3.5E-2
83	1.8E-1	5.1E-4	1.7E-3	4.3E-3	1.7E-2	3.4E-2
84	1.7E-1	5.0E-4	1.7E-3	4.2E-3	1.7E-2	3.3E-2
85	1.7E-1	4.9E-4	1.6E-3	4.1E-3	1.7E-2	3.2E-2
86	1.7E-1	4.8E-4	1.6E-3	4.0E-3	1.7E-2	3.2E-2
87	1.7E-1	4.7E-4	1.6E-3	3.9E-3	1.6E-2	3.1E-2
88	1.6E-1	4.6E-4	1.5E-3	3.9E-3	1.6E-2	3.1E-2
89	1.6E-1	4.5E-4	1.5E-3	3.8E-3	1.6E-2	3.0E-2
90	1.6E-1	4.4E-4	1.5E-3	3.7E-3	1.6E-2	2.9E-2
91	1.6E-1	4.3E-4	1.4E-3	3.6E-3	1.5E-2	2.9E-2
92	1.6E-1	4.2E-4	1.4E-3	3.6E-3	1.5E-2	2.8E-2
93	1.5E-1	4.1E-4	1.4E-3	3.5E-3	1.5E-2	2.8E-2
94	1.5E-1	4.1E-4	1.4E-3	3.4E-3	1.5E-2	2.7E-2
95	1.5E-1	4.0E-4	1.3E-3	3.4E-3	1.5E-2	2.7E-2
96	1.5E-1	3.9E-4	1.3E-3	3.3E-3	1.4E-2	2.6E-2
97	1.4E-1	3.8E-4	1.3E-3	3.2E-3	1.4E-2	2.6E-2
98	1.4E-1	3.8E-4	1.3E-3	3.2E-3	1.4E-2	2.5E-2
99	1.4E-1	3.7E-4	1.2E-3	3.1E-3	1.4E-2	2.5E-2
100	1.4E-1	3.6E-4	1.2E-3	3.1E-3	1.4E-2	2.4E-2
110	1.2E-1	3.0E-4	1.0E-3	2.5E-3	1.2E-2	2.0E-2
120	1.1E-1	2.5E-4	8.4E-4	2.1E-3	1.0E-2	1.7E-2
130	9.2E-2	2.1E-4	7.1E-4	1.8E-3	8.6E-3	1.4E-2
140	8.1E-2	1.8E-4	6.0E-4	1.5E-3	7.4E-3	1.2E-2
150	7.1E-2	1.5E-4	5.1E-4	1.3E-3	6.4E-3	1.0E-2
160	6.2E-2	1.3E-4	4.4E-4	1.1E-3	5.5E-3	8.6E-3
170	5.5E-2	1.1E-4	3.7E-4	9.4E-4	4.8E-3	7.4E-3
180	4.9E-2	9.8E-5	3.2E-4	8.1E-4	4.1E-3	6.4E-3
190	4.3E-2	8.5E-5	2.8E-4	7.0E-4	3.6E-3	5.5E-3
200	3.8E-2	7.4E-5	2.4E-4	6.1E-4	3.1E-3	4.8E-3
210	3.4E-2	6.4E-5	2.1E-4	5.3E-4	2.7E-3	4.2E-3
220	3.0E-2	5.6E-5	1.8E-4	4.7E-4	2.3E-3	3.7E-3
230	2.7E-2	4.9E-5	1.6E-4	4.1E-4	2.0E-3	3.2E-3
240	2.4E-2	4.3E-5	1.4E-4	3.6E-4	1.8E-3	2.8E-3
250	2.1E-2	3.8E-5	1.2E-4	3.1E-4	1.5E-3	2.5E-3
260	1.9E-2	3.4E-5	1.1E-4	2.8E-4	1.3E-3	2.2E-3
270	1.7E-2	3.0E-5	9.7E-5	2.4E-4	1.2E-3	1.9E-3
280	1.5E-2	2.6E-5	8.6E-5	2.2E-4	1.0E-3	1.7E-3
290	1.3E-2	2.3E-5	7.6E-5	1.9E-4	8.9E-4	1.5E-3
300	1.2E-2	2.0E-5	6.7E-5	1.7E-4	7.8E-4	1.3E-3
310	1.0E-2	1.8E-5	5.9E-5	1.5E-4	6.9E-4	1.2E-3
320	9.3E-3	1.6E-5	5.3E-5	1.3E-4	6.1E-4	1.0E-3
330	8.2E-3	1.4E-5	4.7E-5	1.2E-4	5.3E-4	9.2E-4
340	7.3E-3	1.3E-5	4.1E-5	1.0E-4	4.7E-4	8.2E-4
350	6.5E-3	1.1E-5	3.7E-5	9.2E-5	4.1E-4	7.3E-4
360	5.8E-3	1.0E-5	3.3E-5	8.2E-5	3.7E-4	6.5E-4
365	5.5E-3	9.4E-6	3.1E-5	7.7E-5	3.4E-4	6.1E-4
370	5.2E-3	8.9E-6	2.9E-5	7.3E-5	3.2E-4	5.7E-4
380	4.6E-3	7.9E-6	2.6E-5	6.5E-5	2.9E-4	5.1E-4
390	4.1E-3	7.0E-6	2.3E-5	5.8E-5	2.5E-4	4.5E-4
400	3.7E-3	6.2E-6	2.0E-5	5.1E-5	2.2E-4	4.0E-4
410	3.3E-3	5.5E-6	1.8E-5	4.6E-5	2.0E-4	3.6E-4
420	2.9E-3	4.9E-6	1.6E-5	4.1E-5	1.8E-4	3.2E-4
430	2.6E-3	4.4E-6	1.4E-5	3.6E-5	1.6E-4	2.8E-4
440	2.3E-3	3.9E-6	1.3E-5	3.2E-5	1.4E-4	2.5E-4
450	2.1E-3	3.5E-6	1.1E-5	2.9E-5	1.2E-4	2.3E-4
460	1.8E-3	3.1E-6	1.0E-5	2.5E-5	1.1E-4	2.0E-4
470	1.6E-3	2.8E-6	9.0E-6	2.3E-5	9.6E-5	1.8E-4
480	1.5E-3	2.5E-6	8.0E-6	2.0E-5	8.6E-5	1.6E-4
490	1.3E-3	2.2E-6	7.2E-6	1.8E-5	7.6E-5	1.4E-4
500	1.2E-3	2.0E-6	6.4E-6	1.6E-5	6.8E-5	1.3E-4
510	1.0E-3	1.7E-6	5.7E-6	1.4E-5	6.0E-5	1.1E-4
520	9.3E-4	1.6E-6	5.1E-6	1.3E-5	5.3E-5	1.0E-4
530	8.3E-4	1.4E-6	4.5E-6	1.1E-5	4.8E-5	8.9E-5
540	7.4E-4	1.2E-6	4.0E-6	1.0E-5	4.2E-5	8.0E-5
550	6.6E-4	1.1E-6	3.6E-6	9.0E-6	3.8E-5	7.1E-5
560	5.9E-4	9.8E-7	3.2E-6	8.0E-6	3.4E-5	6.3E-5
570	5.2E-4	8.7E-7	2.8E-6	7.2E-6	3.0E-5	5.6E-5
580	4.7E-4	7.8E-7	2.5E-6	6.4E-6	2.7E-5	5.0E-5
590	4.2E-4	6.9E-7	2.3E-6	5.7E-6	2.4E-5	4.5E-5
600	3.7E-4	6.2E-7	2.0E-6	5.1E-6	2.1E-5	4.0E-5
610	3.3E-4	5.5E-7	1.8E-6	4.5E-6	1.9E-5	3.6E-5
620	3.0E-4	4.9E-7	1.6E-6	4.0E-6	1.7E-5	3.2E-5
630	2.6E-4	4.4E-7	1.4E-6	3.6E-6	1.5E-5	2.8E-5
640	2.3E-4	3.9E-7	1.3E-6	3.2E-6	1.3E-5	2.5E-5
650	2.1E-4	3.5E-7	1.1E-6	2.9E-6	1.2E-5	2.3E-5
660	1.9E-4	3.1E-7	1.0E-6	2.6E-6	1.1E-5	2.0E-5
670	1.7E-4	2.8E-7	9.0E-7	2.3E-6	9.4E-6	1.8E-5
680	1.5E-4	2.5E-7	8.1E-7	2.0E-6	8.4E-6	1.6E-5
690	1.3E-4	2.2E-7	7.2E-7	1.8E-6	7.5E-6	1.4E-5
700	1.2E-4	2.0E-7	6.4E-7	1.6E-6	6.7E-6	1.3E-5
710	1.1E-4	1.8E-7	5.7E-7	1.4E-6	5.9E-6	1.1E-5
720	9.4E-5	1.6E-7	5.1E-7	1.3E-6	5.3E-6	1.0E-5
730	8.4E-5	1.4E-7	4.6E-7	1.1E-6	4.7E-6	9.0E-6
740	7.5E-5	1.2E-7	4.1E-7	1.0E-6	4.2E-6	8.0E-6
750	6.7E-5	1.1E-7	3.6E-7	9.1E-7	3.8E-6	7.2E-6
760	5.9E-5	9.9E-8	3.2E-7	8.1E-7	3.4E-6	6.4E-6
770	5.3E-5	8.8E-8	2.9E-7	7.2E-7	3.0E-6	5.7E-6
780	4.7E-5	7.9E-8	2.6E-7	6.5E-7	2.7E-6	5.1E-6
790	4.2E-5	7.0E-8	2.3E-7	5.8E-7	2.4E-6	4.5E-6
800	3.8E-5	6.3E-8	2.0E-7	5.1E-7	2.1E-6	4.0E-6
810	3.4E-5	5.6E-8	1.8E-7	4.6E-7	1.9E-6	3.6E-6
820	3.0E-5	5.0E-8	1.6E-7	4.1E-7	1.7E-6	3.2E-6
830	2.7E-5	4.4E-8	1.4E-7	3.6E-7	1.5E-6	2.9E-6
840	2.4E-5	4.0E-8	1.3E-7	3.3E-7	1.3E-6	2.6E-6
850	2.1E-5	3.5E-8	1.2E-7	2.9E-7	1.2E-6	2.3E-6
860	1.9E-5	3.1E-8	1.0E-7	2.6E-7	1.1E-6	2.0E-6
870	1.7E-5	2.8E-8	9.2E-8	2.3E-7	9.5E-7	1.8E-6
880	1.5E-5	2.5E-8	8.2E-8	2.1E-7	8.5E-7	1.6E-6
890	1.3E-5	2.2E-8	7.3E-8	1.8E-7	7.6E-7	1.4E-6
900	1.2E-5	2.0E-8	6.5E-8	1.6E-7	6.7E-7	1.3E-6
910	1.1E-5	1.8E-8	5.8E-8	1.5E-7	6.0E-7	1.1E-6
920	9.5E-6	1.6E-8	5.2E-8	1.3E-7	5.4E-7	1.0E-6
