Radionuclide	Ra-228
Route of Intake	Inhalation
Material	Aerosols Type M, All unspecified forms, fA=4E-2
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Lungs* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	8.1E-2	-	-	2.9E-2	4.0E-3	5.5E-5	4.4E-5
0.083333	1.5E-1	-	-	6.2E-2	6.9E-3	2.0E-4	1.3E-4
0.125	2.1E-1	-	-	9.6E-2	9.0E-3	4.1E-4	2.5E-4
0.25	3.5E-1	-	-	1.9E-1	1.4E-2	1.4E-3	7.2E-4
0.375	4.4E-1	-	-	2.8E-1	1.7E-2	2.7E-3	1.2E-3
0.5	5.0E-1	-	-	3.5E-1	1.9E-2	4.1E-3	1.6E-3
0.625	5.3E-1	-	-	4.0E-1	2.0E-2	5.3E-3	2.0E-3
0.75	5.5E-1	-	-	4.3E-1	2.1E-2	6.4E-3	2.3E-3
0.875	5.5E-1	-	-	4.4E-1	2.1E-2	7.2E-3	2.4E-3
1	5.3E-1	4.1E-4	8.3E-2	4.4E-1	2.2E-2	7.9E-3	2.6E-3
1.125	5.1E-1	-	-	4.3E-1	2.2E-2	8.5E-3	2.6E-3
1.25	4.9E-1	-	-	4.2E-1	2.2E-2	8.9E-3	2.6E-3
1.375	4.6E-1	-	-	3.9E-1	2.2E-2	9.1E-3	2.6E-3
1.5	4.2E-1	-	-	3.7E-1	2.2E-2	9.3E-3	2.6E-3
1.625	3.9E-1	-	-	3.4E-1	2.2E-2	9.4E-3	2.5E-3
1.75	3.6E-1	-	-	3.1E-1	2.2E-2	9.4E-3	2.5E-3
1.875	3.3E-1	-	-	2.8E-1	2.2E-2	9.4E-3	2.4E-3
2	3.0E-1	1.6E-4	2.6E-1	2.5E-1	2.2E-2	9.3E-3	2.3E-3
2.25	2.4E-1	-	-	2.0E-1	2.2E-2	9.1E-3	2.2E-3
2.5	1.9E-1	-	-	1.6E-1	2.2E-2	8.8E-3	2.0E-3
2.75	1.5E-1	-	-	1.2E-1	2.2E-2	8.5E-3	1.9E-3
3	1.2E-1	8.2E-5	1.7E-1	9.0E-2	2.1E-2	8.1E-3	1.7E-3
3.25	1.0E-1	-	-	6.7E-2	2.1E-2	7.8E-3	1.6E-3
3.5	8.2E-2	-	-	5.0E-2	2.1E-2	7.5E-3	1.4E-3
3.75	6.8E-2	-	-	3.7E-2	2.1E-2	7.2E-3	1.3E-3
4	5.8E-2	5.5E-5	6.6E-2	2.7E-2	2.1E-2	7.0E-3	1.2E-3
4.25	5.0E-2	-	-	2.0E-2	2.1E-2	6.7E-3	1.1E-3
4.5	4.4E-2	-	-	1.5E-2	2.1E-2	6.5E-3	1.0E-3
4.75	4.0E-2	-	-	1.1E-2	2.0E-2	6.3E-3	9.6E-4
5	3.7E-2	3.9E-5	2.1E-2	8.4E-3	2.0E-2	6.1E-3	8.9E-4
5.5	3.3E-2	-	-	5.1E-3	2.0E-2	5.8E-3	7.6E-4
6	3.0E-2	2.9E-5	6.5E-3	3.4E-3	2.0E-2	5.5E-3	6.5E-4
6.5	2.9E-2	-	-	2.4E-3	2.0E-2	5.2E-3	5.6E-4
7	2.8E-2	2.1E-5	2.6E-3	1.9E-3	1.9E-2	5.0E-3	4.8E-4
7.5	2.7E-2	-	-	1.6E-3	1.9E-2	4.8E-3	4.2E-4
8	2.6E-2	1.6E-5	1.4E-3	1.3E-3	1.9E-2	4.7E-3	3.6E-4
8.5	2.6E-2	-	-	1.2E-3	1.9E-2	4.6E-3	3.2E-4
9	2.5E-2	1.2E-5	9.8E-4	1.0E-3	1.9E-2	4.5E-3	2.8E-4
9.5	2.5E-2	-	-	9.1E-4	1.9E-2	4.4E-3	2.5E-4
10	2.4E-2	9.6E-6	7.4E-4	8.1E-4	1.8E-2	4.3E-3	2.2E-4
11	2.4E-2	7.8E-6	5.9E-4	6.6E-4	1.8E-2	4.1E-3	1.8E-4
12	2.3E-2	6.5E-6	4.8E-4	5.5E-4	1.8E-2	4.0E-3	1.5E-4
13	2.3E-2	5.6E-6	4.0E-4	4.7E-4	1.8E-2	3.9E-3	1.3E-4
14	2.3E-2	5.0E-6	3.4E-4	4.0E-4	1.8E-2	3.9E-3	1.2E-4
15	2.2E-2	4.5E-6	2.9E-4	3.6E-4	1.7E-2	3.8E-3	1.1E-4
16	2.2E-2	4.2E-6	2.6E-4	3.2E-4	1.7E-2	3.8E-3	1.0E-4
17	2.2E-2	3.9E-6	2.3E-4	2.9E-4	1.7E-2	3.7E-3	9.5E-5
18	2.1E-2	3.7E-6	2.1E-4	2.7E-4	1.7E-2	3.7E-3	9.1E-5
19	2.1E-2	3.6E-6	2.0E-4	2.5E-4	1.7E-2	3.6E-3	8.8E-5
20	2.1E-2	3.5E-6	1.9E-4	2.4E-4	1.7E-2	3.6E-3	8.6E-5
21	2.1E-2	3.4E-6	1.8E-4	2.3E-4	1.7E-2	3.5E-3	8.5E-5
22	2.1E-2	3.3E-6	1.7E-4	2.2E-4	1.6E-2	3.5E-3	8.3E-5
23	2.1E-2	3.2E-6	1.6E-4	2.1E-4	1.6E-2	3.5E-3	8.2E-5
24	2.0E-2	3.2E-6	1.6E-4	2.1E-4	1.6E-2	3.4E-3	8.2E-5
25	2.0E-2	3.1E-6	1.6E-4	2.0E-4	1.6E-2	3.4E-3	8.1E-5
26	2.0E-2	3.1E-6	1.5E-4	2.0E-4	1.6E-2	3.4E-3	8.0E-5
27	2.0E-2	3.1E-6	1.5E-4	1.9E-4	1.6E-2	3.3E-3	8.0E-5
28	2.0E-2	3.0E-6	1.5E-4	1.9E-4	1.6E-2	3.3E-3	7.9E-5
29	2.0E-2	3.0E-6	1.4E-4	1.9E-4	1.6E-2	3.3E-3	7.9E-5
30	1.9E-2	3.0E-6	1.4E-4	1.8E-4	1.5E-2	3.3E-3	7.8E-5
31	1.9E-2	2.9E-6	1.4E-4	1.8E-4	1.5E-2	3.2E-3	7.8E-5
32	1.9E-2	2.9E-6	1.4E-4	1.8E-4	1.5E-2	3.2E-3	7.7E-5
