Radionuclide	U-232
Route of Intake	Inhalation
Material	Aerosols Intermediate Type F/M: Uranyl nitrate, uranium peroxide hydrate, ammonium diuranate, uranium trioxide, fA=1.6E-2
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	6.6E-1	-	-	2.4E-1	1.4E-2	2.5E-4	1.3E-4
0.083333	6.5E-1	-	-	2.7E-1	1.2E-2	4.0E-4	1.3E-4
0.125	6.4E-1	-	-	2.9E-1	1.1E-2	5.5E-4	1.5E-4
0.25	6.2E-1	-	-	3.5E-1	8.4E-3	9.9E-4	1.9E-4
0.375	6.0E-1	-	-	3.9E-1	7.4E-3	1.4E-3	2.2E-4
0.5	5.8E-1	-	-	4.1E-1	6.6E-3	1.7E-3	2.4E-4
0.625	5.6E-1	-	-	4.3E-1	6.0E-3	1.9E-3	2.5E-4
0.75	5.3E-1	-	-	4.3E-1	5.5E-3	2.1E-3	2.6E-4
0.875	5.1E-1	-	-	4.3E-1	5.0E-3	2.3E-3	2.7E-4
1	4.8E-1	1.0E-2	7.2E-2	4.2E-1	4.6E-3	2.4E-3	2.8E-4
1.125	4.5E-1	-	-	4.0E-1	4.3E-3	2.5E-3	2.8E-4
1.25	4.2E-1	-	-	3.8E-1	4.0E-3	2.6E-3	2.8E-4
1.375	3.9E-1	-	-	3.5E-1	3.7E-3	2.6E-3	2.9E-4
1.5	3.6E-1	-	-	3.3E-1	3.4E-3	2.7E-3	2.9E-4
1.625	3.2E-1	-	-	3.0E-1	3.2E-3	2.7E-3	2.9E-4
1.75	2.9E-1	-	-	2.7E-1	3.0E-3	2.7E-3	2.9E-4
1.875	2.7E-1	-	-	2.5E-1	2.9E-3	2.8E-3	2.9E-4
2	2.4E-1	2.9E-3	2.3E-1	2.2E-1	2.7E-3	2.8E-3	2.9E-4
2.25	1.9E-1	-	-	1.7E-1	2.5E-3	2.8E-3	2.8E-4
2.5	1.5E-1	-	-	1.4E-1	2.3E-3	2.8E-3	2.8E-4
2.75	1.1E-1	-	-	1.0E-1	2.1E-3	2.8E-3	2.8E-4
3	8.6E-2	1.0E-3	1.5E-1	7.7E-2	2.0E-3	2.8E-3	2.7E-4
3.25	6.5E-2	-	-	5.6E-2	1.9E-3	2.8E-3	2.7E-4
3.5	5.0E-2	-	-	4.1E-2	1.9E-3	2.7E-3	2.6E-4
3.75	3.8E-2	-	-	3.0E-2	1.8E-3	2.7E-3	2.6E-4
4	2.9E-2	5.6E-4	5.6E-2	2.1E-2	1.7E-3	2.7E-3	2.5E-4
4.25	2.3E-2	-	-	1.5E-2	1.7E-3	2.7E-3	2.5E-4
4.5	1.8E-2	-	-	1.1E-2	1.7E-3	2.7E-3	2.5E-4
4.75	1.5E-2	-	-	7.3E-3	1.6E-3	2.6E-3	2.4E-4
5	1.3E-2	4.0E-4	1.6E-2	5.1E-3	1.6E-3	2.6E-3	2.4E-4
5.5	1.0E-2	-	-	2.5E-3	1.6E-3	2.6E-3	2.3E-4
6	8.5E-3	3.3E-4	4.0E-3	1.2E-3	1.5E-3	2.5E-3	2.2E-4
6.5	7.8E-3	-	-	5.8E-4	1.5E-3	2.5E-3	2.1E-4
7	7.3E-3	2.9E-4	9.1E-4	3.0E-4	1.5E-3	2.4E-3	2.0E-4
7.5	7.1E-3	-	-	1.7E-4	1.4E-3	2.4E-3	2.0E-4
8	6.9E-3	2.6E-4	2.1E-4	1.2E-4	1.4E-3	2.4E-3	1.9E-4
8.5	6.7E-3	-	-	8.7E-5	1.4E-3	2.3E-3	1.8E-4
9	6.6E-3	2.4E-4	6.2E-5	7.2E-5	1.4E-3	2.3E-3	1.7E-4
9.5	6.4E-3	-	-	6.4E-5	1.4E-3	2.3E-3	1.7E-4
10	6.3E-3	2.2E-4	2.9E-5	5.8E-5	1.4E-3	2.2E-3	1.6E-4
11	6.1E-3	2.0E-4	2.0E-5	5.1E-5	1.3E-3	2.2E-3	1.5E-4
12	5.9E-3	1.9E-4	1.6E-5	4.6E-5	1.3E-3	2.2E-3	1.4E-4
13	5.7E-3	1.7E-4	1.3E-5	4.2E-5	1.3E-3	2.1E-3	1.3E-4
14	5.5E-3	1.6E-4	1.1E-5	3.9E-5	1.3E-3	2.1E-3	1.2E-4
15	5.4E-3	1.5E-4	9.7E-6	3.6E-5	1.2E-3	2.0E-3	1.2E-4
16	5.2E-3	1.4E-4	8.4E-6	3.4E-5	1.2E-3	2.0E-3	1.1E-4
17	5.1E-3	1.3E-4	7.3E-6	3.2E-5	1.2E-3	2.0E-3	1.0E-4
18	4.9E-3	1.2E-4	6.4E-6	3.0E-5	1.2E-3	2.0E-3	9.7E-5
19	4.8E-3	1.1E-4	5.7E-6	2.8E-5	1.2E-3	1.9E-3	9.1E-5
20	4.7E-3	1.1E-4	5.1E-6	2.7E-5	1.2E-3	1.9E-3	8.6E-5
21	4.6E-3	1.0E-4	4.6E-6	2.6E-5	1.1E-3	1.9E-3	8.2E-5
22	4.5E-3	9.5E-5	4.2E-6	2.5E-5	1.1E-3	1.9E-3	7.7E-5
23	4.4E-3	8.9E-5	3.8E-6	2.4E-5	1.1E-3	1.8E-3	7.4E-5
24	4.3E-3	8.4E-5	3.5E-6	2.3E-5	1.1E-3	1.8E-3	7.0E-5
25	4.2E-3	8.0E-5	3.3E-6	2.2E-5	1.1E-3	1.8E-3	6.7E-5
26	4.2E-3	7.6E-5	3.1E-6	2.1E-5	1.1E-3	1.8E-3	6.4E-5
27	4.1E-3	7.2E-5	2.9E-6	2.1E-5	1.1E-3	1.8E-3	6.2E-5
28	4.0E-3	6.8E-5	2.8E-6	2.0E-5	1.0E-3	1.8E-3	5.9E-5
29	3.9E-3	6.5E-5	2.7E-6	2.0E-5	1.0E-3	1.8E-3	5.7E-5
30	3.9E-3	6.2E-5	2.6E-6	1.9E-5	1.0E-3	1.7E-3	5.5E-5
31	3.8E-3	5.9E-5	2.5E-6	1.9E-5	1.0E-3	1.7E-3	5.3E-5
32	3.8E-3	5.7E-5	2.4E-6	1.8E-5	1.0E-3	1.7E-3	5.1E-5
33	3.7E-3	5.4E-5	2.3E-6	1.8E-5	9.8E-4	1.7E-3	5.0E-5
34	3.7E-3	5.2E-5	2.3E-6	1.7E-5	9.7E-4	1.7E-3	4.8E-5
35	3.6E-3	5.0E-5	2.2E-6	1.7E-5	9.6E-4	1.7E-3	4.7E-5
36	3.5E-3	4.8E-5	2.2E-6	1.6E-5	9.5E-4	1.7E-3	4.6E-5
37	3.5E-3	4.6E-5	2.1E-6	1.6E-5	9.4E-4	1.7E-3	4.5E-5
38	3.5E-3	4.4E-5	2.1E-6	1.6E-5	9.3E-4	1.7E-3	4.4E-5
39	3.4E-3	4.3E-5	2.1E-6	1.5E-5	9.2E-4	1.7E-3	4.3E-5
40	3.4E-3	4.1E-5	2.0E-6	1.5E-5	9.0E-4	1.6E-3	4.2E-5
41	3.3E-3	4.0E-5	2.0E-6	1.5E-5	8.9E-4	1.6E-3	4.1E-5
42	3.3E-3	3.9E-5	2.0E-6	1.4E-5	8.8E-4	1.6E-3	4.0E-5
43	3.2E-3	3.8E-5	1.9E-6	1.4E-5	8.7E-4	1.6E-3	4.0E-5
44	3.2E-3	3.6E-5	1.9E-6	1.4E-5	8.6E-4	1.6E-3	3.9E-5
45	3.2E-3	3.5E-5	1.9E-6	1.3E-5	8.5E-4	1.6E-3	3.9E-5
46	3.1E-3	3.4E-5	1.8E-6	1.3E-5	8.4E-4	1.6E-3	3.8E-5
47	3.1E-3	3.3E-5	1.8E-6	1.3E-5	8.3E-4	1.6E-3	3.8E-5
48	3.1E-3	3.2E-5	1.8E-6	1.2E-5	8.2E-4	1.6E-3	3.7E-5
49	3.0E-3	3.2E-5	1.8E-6	1.2E-5	8.1E-4	1.6E-3	3.7E-5
50	3.0E-3	3.1E-5	1.7E-6	1.2E-5	8.0E-4	1.6E-3	3.6E-5
51	3.0E-3	3.0E-5	1.7E-6	1.2E-5	7.9E-4	1.6E-3	3.6E-5
