Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Type M, Uranyl acetylacetonate; depleted uranium aerosols from use of kinetic energy penetrators; vaporised uranium metal; all unspecified forms, fA=4E-3
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	1.1E-3	-	-	2.4E-4	5.1E-4	1.3E-6	1.1E-6
0.083333	2.2E-3	-	-	5.8E-4	9.6E-4	5.6E-6	3.5E-6
0.125	3.3E-3	-	-	9.7E-4	1.4E-3	1.3E-5	6.6E-6
0.25	6.4E-3	-	-	2.4E-3	2.5E-3	5.1E-5	1.7E-5
0.375	9.4E-3	-	-	4.0E-3	3.5E-3	1.1E-4	2.8E-5
0.5	1.2E-2	-	-	5.6E-3	4.4E-3	1.8E-4	3.7E-5
0.625	1.5E-2	-	-	7.3E-3	5.3E-3	2.6E-4	4.5E-5
0.75	1.7E-2	-	-	8.9E-3	6.2E-3	3.4E-4	5.2E-5
0.875	2.0E-2	-	-	1.0E-2	7.0E-3	4.2E-4	5.8E-5
1	2.2E-2	4.9E-2	6.8E-2	1.2E-2	7.8E-3	5.0E-4	6.3E-5
1.125	2.3E-2	-	-	1.2E-2	8.6E-3	5.8E-4	6.8E-5
1.25	2.5E-2	-	-	1.3E-2	9.3E-3	6.5E-4	7.3E-5
1.375	2.6E-2	-	-	1.4E-2	1.0E-2	7.2E-4	7.7E-5
1.5	2.7E-2	-	-	1.4E-2	1.1E-2	7.9E-4	8.2E-5
1.625	2.8E-2	-	-	1.4E-2	1.1E-2	8.6E-4	8.6E-5
1.75	2.9E-2	-	-	1.4E-2	1.2E-2	9.2E-4	9.1E-5
1.875	2.9E-2	-	-	1.4E-2	1.3E-2	9.9E-4	9.5E-5
2	2.9E-2	7.0E-3	2.2E-1	1.4E-2	1.3E-2	1.0E-3	1.0E-4
2.25	3.0E-2	-	-	1.3E-2	1.4E-2	1.2E-3	1.1E-4
2.5	3.0E-2	-	-	1.2E-2	1.6E-2	1.3E-3	1.2E-4
2.75	3.0E-2	-	-	1.0E-2	1.7E-2	1.4E-3	1.3E-4
3	3.0E-2	2.6E-3	1.6E-1	9.3E-3	1.7E-2	1.5E-3	1.4E-4
3.25	3.0E-2	-	-	8.4E-3	1.8E-2	1.6E-3	1.5E-4
3.5	3.0E-2	-	-	7.6E-3	1.9E-2	1.7E-3	1.6E-4
3.75	3.0E-2	-	-	6.9E-3	2.0E-2	1.8E-3	1.7E-4
4	3.1E-2	2.2E-3	7.6E-2	6.4E-3	2.0E-2	1.9E-3	1.8E-4
4.25	3.1E-2	-	-	6.0E-3	2.1E-2	2.1E-3	1.9E-4
4.5	3.1E-2	-	-	5.6E-3	2.2E-2	2.2E-3	1.9E-4
4.75	3.2E-2	-	-	5.3E-3	2.2E-2	2.3E-3	2.0E-4
5	3.2E-2	2.0E-3	3.8E-2	5.1E-3	2.3E-2	2.4E-3	2.1E-4
5.5	3.3E-2	-	-	4.8E-3	2.4E-2	2.6E-3	2.3E-4
6	3.4E-2	1.8E-3	2.4E-2	4.6E-3	2.5E-2	2.8E-3	2.5E-4
6.5	3.5E-2	-	-	4.4E-3	2.5E-2	3.0E-3	2.6E-4
7	3.6E-2	1.7E-3	1.7E-2	4.2E-3	2.6E-2	3.2E-3	2.8E-4
7.5	3.7E-2	-	-	4.0E-3	2.7E-2	3.4E-3	2.9E-4
8	3.7E-2	1.5E-3	1.4E-2	3.9E-3	2.7E-2	3.6E-3	3.1E-4
8.5	3.8E-2	-	-	3.7E-3	2.8E-2	3.8E-3	3.2E-4
9	3.9E-2	1.4E-3	1.1E-2	3.5E-3	2.8E-2	4.0E-3	3.3E-4
9.5	3.9E-2	-	-	3.3E-3	2.9E-2	4.1E-3	3.5E-4
10	4.0E-2	1.3E-3	9.1E-3	3.1E-3	2.9E-2	4.3E-3	3.6E-4
11	4.1E-2	1.2E-3	7.4E-3	2.8E-3	3.0E-2	4.7E-3	3.8E-4
12	4.2E-2	1.2E-3	6.1E-3	2.5E-3	3.1E-2	5.0E-3	4.0E-4
13	4.3E-2	1.1E-3	5.0E-3	2.2E-3	3.2E-2	5.3E-3	4.2E-4
14	4.4E-2	1.0E-3	4.1E-3	1.9E-3	3.3E-2	5.6E-3	4.4E-4
15	4.5E-2	9.8E-4	3.4E-3	1.7E-3	3.4E-2	5.9E-3	4.6E-4
16	4.6E-2	9.3E-4	2.8E-3	1.4E-3	3.5E-2	6.2E-3	4.8E-4
17	4.7E-2	8.9E-4	2.3E-3	1.3E-3	3.6E-2	6.5E-3	4.9E-4
18	4.8E-2	8.5E-4	1.9E-3	1.1E-3	3.6E-2	6.8E-3	5.1E-4
19	4.9E-2	8.1E-4	1.6E-3	9.6E-4	3.7E-2	7.1E-3	5.2E-4
20	5.0E-2	7.8E-4	1.3E-3	8.4E-4	3.8E-2	7.3E-3	5.3E-4
21	5.1E-2	7.5E-4	1.1E-3	7.4E-4	3.9E-2	7.6E-3	5.4E-4
22	5.2E-2	7.2E-4	9.3E-4	6.5E-4	4.0E-2	7.8E-3	5.6E-4
23	5.3E-2	7.0E-4	7.8E-4	5.8E-4	4.1E-2	8.1E-3	5.7E-4
24	5.4E-2	6.7E-4	6.7E-4	5.2E-4	4.1E-2	8.3E-3	5.8E-4
25	5.4E-2	6.5E-4	5.7E-4	4.7E-4	4.2E-2	8.5E-3	5.8E-4
26	5.5E-2	6.3E-4	5.0E-4	4.2E-4	4.3E-2	8.7E-3	5.9E-4
27	5.6E-2	6.2E-4	4.3E-4	3.9E-4	4.3E-2	9.0E-3	6.0E-4
28	5.7E-2	6.0E-4	3.8E-4	3.5E-4	4.4E-2	9.2E-3	6.1E-4
29	5.8E-2	5.8E-4	3.4E-4	3.3E-4	4.5E-2	9.4E-3	6.2E-4
30	5.9E-2	5.7E-4	3.0E-4	3.1E-4	4.5E-2	9.6E-3	6.2E-4
31	5.9E-2	5.6E-4	2.8E-4	2.9E-4	4.6E-2	9.7E-3	6.3E-4
32	6.0E-2	5.4E-4	2.5E-4	2.8E-4	4.6E-2	9.9E-3	6.4E-4
33	6.1E-2	5.3E-4	2.3E-4	2.7E-4	4.7E-2	1.0E-2	6.4E-4
34	6.1E-2	5.2E-4	2.2E-4	2.6E-4	4.7E-2	1.0E-2	6.5E-4
35	6.2E-2	5.1E-4	2.0E-4	2.5E-4	4.8E-2	1.0E-2	6.5E-4
36	6.3E-2	5.0E-4	1.9E-4	2.4E-4	4.8E-2	1.1E-2	6.6E-4
37	6.3E-2	4.9E-4	1.8E-4	2.4E-4	4.9E-2	1.1E-2	6.6E-4
38	6.4E-2	4.9E-4	1.8E-4	2.3E-4	4.9E-2	1.1E-2	6.7E-4
39	6.4E-2	4.8E-4	1.7E-4	2.3E-4	4.9E-2	1.1E-2	6.7E-4
40	6.5E-2	4.7E-4	1.6E-4	2.3E-4	5.0E-2	1.1E-2	6.7E-4
41	6.5E-2	4.6E-4	1.6E-4	2.2E-4	5.0E-2	1.1E-2	6.8E-4
