Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Intermediate Type F/M: Uranyl nitrate, uranium peroxide hydrate, ammonium diuranate, uranium trioxide, fA=1.6E-2
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	9.1E-4	-	-	3.3E-4	4.5E-5	4.3E-7	3.2E-7
0.083333	1.8E-3	-	-	7.4E-4	8.0E-5	1.5E-6	7.9E-7
0.125	2.7E-3	-	-	1.2E-3	1.1E-4	3.2E-6	1.4E-6
0.25	5.1E-3	-	-	2.8E-3	1.9E-4	1.2E-5	3.7E-6
0.375	7.4E-3	-	-	4.7E-3	2.5E-4	2.7E-5	6.5E-6
0.5	9.6E-3	-	-	6.7E-3	3.0E-4	4.6E-5	9.6E-6
0.625	1.2E-2	-	-	8.7E-3	3.4E-4	6.9E-5	1.3E-5
0.75	1.3E-2	-	-	1.0E-2	3.7E-4	9.6E-5	1.6E-5
0.875	1.5E-2	-	-	1.2E-2	4.0E-4	1.3E-4	1.9E-5
1	1.6E-2	1.7E-2	8.2E-2	1.3E-2	4.2E-4	1.6E-4	2.3E-5
1.125	1.7E-2	-	-	1.4E-2	4.3E-4	1.9E-4	2.6E-5
1.25	1.7E-2	-	-	1.5E-2	4.5E-4	2.2E-4	2.9E-5
1.375	1.8E-2	-	-	1.6E-2	4.6E-4	2.6E-4	3.2E-5
1.5	1.8E-2	-	-	1.6E-2	4.7E-4	2.9E-4	3.5E-5
1.625	1.8E-2	-	-	1.6E-2	4.7E-4	3.3E-4	3.8E-5
1.75	1.7E-2	-	-	1.5E-2	4.8E-4	3.7E-4	4.1E-5
1.875	1.7E-2	-	-	1.5E-2	4.9E-4	4.0E-4	4.4E-5
