Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Type M, Uranyl acetylacetonate; depleted uranium aerosols from use of kinetic energy penetrators; vaporised uranium metal; all unspecified forms, fA=4E-3
AMTD/AMAD, µm	3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	9.2E-4	-	-	3.0E-4	1.2E-4	4.7E-7	3.7E-7
0.083333	1.8E-3	-	-	6.9E-4	2.3E-4	1.8E-6	1.0E-6
0.125	2.7E-3	-	-	1.1E-3	3.2E-4	3.9E-6	1.8E-6
0.25	5.2E-3	-	-	2.7E-3	5.9E-4	1.5E-5	4.6E-6
0.375	7.6E-3	-	-	4.4E-3	8.5E-4	3.0E-5	7.5E-6
0.5	9.8E-3	-	-	6.3E-3	1.1E-3	5.0E-5	1.0E-5
0.625	1.2E-2	-	-	8.1E-3	1.3E-3	7.2E-5	1.2E-5
0.75	1.4E-2	-	-	9.8E-3	1.6E-3	9.5E-5	1.4E-5
0.875	1.5E-2	-	-	1.1E-2	1.8E-3	1.2E-4	1.6E-5
1	1.7E-2	1.4E-2	7.7E-2	1.3E-2	2.0E-3	1.4E-4	1.8E-5
1.125	1.8E-2	-	-	1.4E-2	2.3E-3	1.6E-4	1.9E-5
1.25	1.8E-2	-	-	1.4E-2	2.5E-3	1.8E-4	2.1E-5
1.375	1.9E-2	-	-	1.5E-2	2.7E-3	2.1E-4	2.2E-5
1.5	1.9E-2	-	-	1.5E-2	2.9E-3	2.3E-4	2.3E-5
1.625	1.9E-2	-	-	1.5E-2	3.2E-3	2.4E-4	2.5E-5
1.75	1.9E-2	-	-	1.4E-2	3.4E-3	2.6E-4	2.6E-5
1.875	1.9E-2	-	-	1.4E-2	3.6E-3	2.8E-4	2.8E-5
2	1.8E-2	2.2E-3	2.4E-1	1.3E-2	3.8E-3	3.0E-4	2.9E-5
2.25	1.7E-2	-	-	1.2E-2	4.3E-3	3.4E-4	3.2E-5
2.5	1.6E-2	-	-	1.0E-2	4.7E-3	3.7E-4	3.5E-5
2.75	1.4E-2	-	-	8.4E-3	5.1E-3	4.0E-4	3.8E-5
3	1.3E-2	8.0E-4	1.6E-1	6.9E-3	5.5E-3	4.4E-4	4.0E-5
3.25	1.2E-2	-	-	5.5E-3	5.9E-3	4.7E-4	4.3E-5
