Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Uranium aluminide, fA=2E-3
AMTD/AMAD, µm	3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	9.2E-4	-	-	3.0E-4	1.2E-4	9.1E-10	7.6E-10
0.083333	1.8E-3	-	-	6.9E-4	2.4E-4	9.1E-9	5.1E-9
0.125	2.7E-3	-	-	1.1E-3	3.4E-4	3.1E-8	1.3E-8
0.25	5.2E-3	-	-	2.7E-3	6.6E-4	2.0E-7	4.7E-8
0.375	7.6E-3	-	-	4.5E-3	9.7E-4	5.1E-7	8.9E-8
0.5	9.8E-3	-	-	6.3E-3	1.3E-3	9.2E-7	1.4E-7
0.625	1.2E-2	-	-	8.2E-3	1.6E-3	1.4E-6	1.9E-7
0.75	1.4E-2	-	-	9.9E-3	1.9E-3	2.0E-6	2.4E-7
0.875	1.5E-2	-	-	1.1E-2	2.2E-3	2.6E-6	3.0E-7
1	1.7E-2	5.9E-4	7.8E-2	1.3E-2	2.5E-3	3.2E-6	3.6E-7
1.125	1.8E-2	-	-	1.4E-2	2.8E-3	3.8E-6	4.2E-7
1.25	1.9E-2	-	-	1.4E-2	3.1E-3	4.5E-6	4.8E-7
1.375	1.9E-2	-	-	1.5E-2	3.4E-3	5.2E-6	5.4E-7
1.5	1.9E-2	-	-	1.5E-2	3.7E-3	5.9E-6	6.1E-7
1.625	2.0E-2	-	-	1.5E-2	4.0E-3	6.6E-6	6.7E-7
1.75	1.9E-2	-	-	1.5E-2	4.3E-3	7.3E-6	7.4E-7
1.875	1.9E-2	-	-	1.4E-2	4.5E-3	8.0E-6	8.0E-7
2	1.9E-2	1.5E-4	2.4E-1	1.3E-2	4.8E-3	8.7E-6	8.7E-7
2.25	1.8E-2	-	-	1.2E-2	5.4E-3	1.0E-5	1.0E-6
2.5	1.6E-2	-	-	1.0E-2	5.9E-3	1.1E-5	1.1E-6
2.75	1.5E-2	-	-	8.6E-3	6.5E-3	1.3E-5	1.3E-6
3	1.4E-2	4.6E-5	1.6E-1	7.0E-3	7.0E-3	1.4E-5	1.4E-6
3.25	1.3E-2	-	-	5.6E-3	7.5E-3	1.6E-5	1.5E-6
3.5	1.3E-2	-	-	4.5E-3	8.0E-3	1.7E-5	1.7E-6
3.75	1.2E-2	-	-	3.5E-3	8.5E-3	1.9E-5	1.8E-6
4	1.2E-2	3.2E-5	6.2E-2	2.7E-3	9.0E-3	2.0E-5	1.9E-6
4.25	1.2E-2	-	-	2.1E-3	9.5E-3	2.2E-5	2.0E-6
4.5	1.2E-2	-	-	1.7E-3	1.0E-2	2.3E-5	2.2E-6
4.75	1.2E-2	-	-	1.3E-3	1.1E-2	2.4E-5	2.3E-6
5	1.2E-2	2.9E-5	1.9E-2	1.0E-3	1.1E-2	2.6E-5	2.4E-6
5.5	1.3E-2	-	-	6.8E-4	1.2E-2	2.9E-5	2.7E-6
6	1.3E-2	2.8E-5	5.6E-3	5.0E-4	1.3E-2	3.2E-5	2.9E-6
6.5	1.4E-2	-	-	4.0E-4	1.4E-2	3.5E-5	3.2E-6
7	1.5E-2	2.7E-5	2.1E-3	3.5E-4	1.5E-2	3.8E-5	3.4E-6
7.5	1.6E-2	-	-	3.2E-4	1.5E-2	4.1E-5	3.6E-6
8	1.7E-2	2.7E-5	1.2E-3	3.0E-4	1.6E-2	4.4E-5	3.9E-6
8.5	1.8E-2	-	-	2.9E-4	1.7E-2	4.7E-5	4.1E-6
9	1.8E-2	2.6E-5	8.7E-4	2.8E-4	1.8E-2	5.0E-5	4.4E-6
9.5	1.9E-2	-	-	2.7E-4	1.9E-2	5.4E-5	4.6E-6
10	2.0E-2	2.6E-5	7.2E-4	2.6E-4	2.0E-2	5.7E-5	4.9E-6
11	2.2E-2	2.6E-5	6.1E-4	2.4E-4	2.1E-2	6.4E-5	5.4E-6
12	2.3E-2	2.6E-5	5.3E-4	2.3E-4	2.3E-2	7.1E-5	5.9E-6
13	2.4E-2	2.6E-5	4.6E-4	2.1E-4	2.4E-2	7.8E-5	6.4E-6
14	2.6E-2	2.6E-5	4.0E-4	2.0E-4	2.5E-2	8.5E-5	6.9E-6
15	2.7E-2	2.6E-5	3.6E-4	1.9E-4	2.7E-2	9.3E-5	7.5E-6
16	2.8E-2	2.7E-5	3.2E-4	1.8E-4	2.8E-2	1.0E-4	8.0E-6
17	3.0E-2	2.7E-5	2.9E-4	1.7E-4	2.9E-2	1.1E-4	8.6E-6
18	3.1E-2	2.7E-5	2.6E-4	1.7E-4	3.0E-2	1.2E-4	9.2E-6
19	3.2E-2	2.8E-5	2.4E-4	1.6E-4	3.2E-2	1.3E-4	9.8E-6
20	3.3E-2	2.8E-5	2.2E-4	1.6E-4	3.3E-2	1.4E-4	1.0E-5
21	3.4E-2	2.9E-5	2.1E-4	1.5E-4	3.4E-2	1.5E-4	1.1E-5
22	3.5E-2	2.9E-5	2.0E-4	1.5E-4	3.5E-2	1.6E-4	1.2E-5
23	3.7E-2	3.0E-5	1.9E-4	1.5E-4	3.6E-2	1.7E-4	1.3E-5
24	3.8E-2	3.0E-5	1.8E-4	1.5E-4	3.7E-2	1.8E-4	1.3E-5
25	3.8E-2	3.1E-5	1.7E-4	1.5E-4	3.8E-2	1.9E-4	1.4E-5
26	3.9E-2	3.1E-5	1.7E-4	1.5E-4	3.9E-2	2.0E-4	1.5E-5
27	4.0E-2	3.2E-5	1.6E-4	1.5E-4	4.0E-2	2.1E-4	1.6E-5
28	4.1E-2	3.2E-5	1.6E-4	1.5E-4	4.0E-2	2.3E-4	1.6E-5
29	4.2E-2	3.3E-5	1.6E-4	1.5E-4	4.1E-2	2.4E-4	1.7E-5
30	4.3E-2	3.4E-5	1.5E-4	1.5E-4	4.2E-2	2.5E-4	1.8E-5
31	4.4E-2	3.4E-5	1.5E-4	1.5E-4	4.3E-2	2.7E-4	1.9E-5
32	4.4E-2	3.5E-5	1.5E-4	1.5E-4	4.4E-2	2.8E-4	2.0E-5
