Radionuclide	Np-234
Route of Intake	Ingestion
Material	All forms, fA=5E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	9.9E-1	-	-	9.9E-1	2.9E-6	3.6E-6
0.083333	9.9E-1	-	-	9.9E-1	9.8E-6	1.0E-5
0.125	9.8E-1	-	-	9.8E-1	1.8E-5	1.7E-5
0.25	9.6E-1	-	-	9.6E-1	4.6E-5	3.0E-5
0.375	9.3E-1	-	-	9.3E-1	7.1E-5	3.5E-5
0.5	9.0E-1	-	-	9.0E-1	9.1E-5	3.7E-5
0.625	8.5E-1	-	-	8.5E-1	1.1E-4	3.6E-5
0.75	8.0E-1	-	-	8.0E-1	1.2E-4	3.6E-5
0.875	7.4E-1	-	-	7.3E-1	1.2E-4	3.5E-5
1	6.7E-1	8.3E-5	1.8E-1	6.7E-1	1.3E-4	3.4E-5
1.125	6.0E-1	-	-	6.0E-1	1.3E-4	3.4E-5
1.25	5.4E-1	-	-	5.4E-1	1.3E-4	3.3E-5
1.375	4.8E-1	-	-	4.8E-1	1.3E-4	3.3E-5
1.5	4.2E-1	-	-	4.2E-1	1.4E-4	3.3E-5
1.625	3.6E-1	-	-	3.6E-1	1.4E-4	3.2E-5
1.75	3.1E-1	-	-	3.1E-1	1.3E-4	3.2E-5
1.875	2.7E-1	-	-	2.7E-1	1.3E-4	3.2E-5
2	2.3E-1	2.3E-5	3.4E-1	2.3E-1	1.3E-4	3.1E-5
2.25	1.6E-1	-	-	1.6E-1	1.3E-4	3.1E-5
2.5	1.1E-1	-	-	1.1E-1	1.3E-4	3.0E-5
2.75	7.9E-2	-	-	7.9E-2	1.3E-4	2.9E-5
3	5.4E-2	7.7E-6	1.4E-1	5.4E-2	1.2E-4	2.8E-5
3.25	3.7E-2	-	-	3.7E-2	1.2E-4	2.7E-5
3.5	2.5E-2	-	-	2.4E-2	1.2E-4	2.7E-5
3.75	1.6E-2	-	-	1.6E-2	1.1E-4	2.6E-5
4	1.1E-2	4.1E-6	3.6E-2	1.1E-2	1.1E-4	2.5E-5
4.25	7.1E-3	-	-	7.0E-3	1.1E-4	2.4E-5
4.5	4.7E-3	-	-	4.5E-3	1.0E-4	2.3E-5
4.75	3.1E-3	-	-	2.9E-3	1.0E-4	2.3E-5
5	2.0E-3	2.3E-6	7.2E-3	1.9E-3	9.8E-5	2.2E-5
5.5	9.1E-4	-	-	7.7E-4	9.1E-5	2.0E-5
6	4.4E-4	1.3E-6	1.3E-3	3.1E-4	8.5E-5	1.9E-5
6.5	2.4E-4	-	-	1.2E-4	7.9E-5	1.8E-5
7	1.6E-4	7.5E-7	2.1E-4	4.8E-5	7.3E-5	1.6E-5
7.5	1.2E-4	-	-	1.9E-5	6.8E-5	1.5E-5
8	1.0E-4	4.5E-7	3.4E-5	7.5E-6	6.3E-5	1.4E-5
8.5	9.1E-5	-	-	3.1E-6	5.9E-5	1.3E-5
9	8.2E-5	2.7E-7	5.1E-6	1.3E-6	5.4E-5	1.2E-5
9.5	7.5E-5	-	-	6.6E-7	5.0E-5	1.1E-5
10	6.9E-5	1.7E-7	7.5E-7	3.9E-7	4.6E-5	1.0E-5
11	5.9E-5	1.1E-7	1.1E-7	2.2E-7	4.0E-5	8.8E-6
12	5.0E-5	7.9E-8	1.7E-8	1.7E-7	3.4E-5	7.6E-6
13	4.3E-5	5.6E-8	3.9E-9	1.4E-7	2.9E-5	6.5E-6
14	3.7E-5	4.2E-8	1.6E-9	1.2E-7	2.5E-5	5.5E-6
15	3.1E-5	3.2E-8	1.1E-9	1.0E-7	2.1E-5	4.7E-6
16	2.7E-5	2.5E-8	8.1E-10	8.5E-8	1.8E-5	4.0E-6
17	2.3E-5	2.0E-8	6.5E-10	7.2E-8	1.6E-5	3.5E-6
18	1.9E-5	1.6E-8	5.3E-10	6.1E-8	1.3E-5	3.0E-6
19	1.7E-5	1.3E-8	4.4E-10	5.2E-8	1.1E-5	2.5E-6
20	1.4E-5	1.1E-8	3.7E-10	4.4E-8	9.7E-6	2.2E-6
21	1.2E-5	8.7E-9	3.1E-10	3.7E-8	8.3E-6	1.8E-6
22	1.0E-5	7.2E-9	2.7E-10	3.2E-8	7.1E-6	1.6E-6
23	8.8E-6	5.9E-9	2.3E-10	2.7E-8	6.1E-6	1.3E-6
24	7.5E-6	4.9E-9	1.9E-10	2.3E-8	5.2E-6	1.1E-6
25	6.4E-6	4.1E-9	1.6E-10	2.0E-8	4.4E-6	9.8E-7
26	5.5E-6	3.4E-9	1.4E-10	1.7E-8	3.8E-6	8.4E-7
27	4.7E-6	2.8E-9	1.2E-10	1.4E-8	3.2E-6	7.2E-7
28	4.0E-6	2.3E-9	1.0E-10	1.2E-8	2.8E-6	6.1E-7
29	3.4E-6	1.9E-9	-	1.0E-8	2.4E-6	5.2E-7
30	2.9E-6	1.6E-9	-	8.7E-9	2.0E-6	4.5E-7
31	2.5E-6	1.3E-9	-	7.4E-9	1.7E-6	3.8E-7
32	2.1E-6	1.1E-9	-	6.3E-9	1.5E-6	3.3E-7
33	1.8E-6	9.2E-10	-	5.3E-9	1.3E-6	2.8E-7
34	1.5E-6	7.7E-10	-	4.5E-9	1.1E-6	2.4E-7
35	1.3E-6	6.4E-10	-	3.9E-9	9.2E-7	2.0E-7
36	1.1E-6	5.3E-10	-	3.3E-9	7.9E-7	1.7E-7
37	9.6E-7	4.4E-10	-	2.8E-9	6.7E-7	1.5E-7
38	8.2E-7	3.7E-10	-	2.4E-9	5.8E-7	1.3E-7
