Radionuclide	Es-249
Route of Intake	Inhalation
Material	Aerosols Type F, Chloride, fA=5E-4
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	5.4E-1	-	-	1.9E-1	5.0E-2	2.8E-4	1.6E-4
0.083333	3.5E-1	-	-	1.4E-1	3.1E-2	4.0E-4	1.7E-4
0.125	2.3E-1	-	-	1.0E-1	1.9E-2	4.1E-4	1.6E-4
0.25	6.6E-2	-	-	3.5E-2	5.2E-3	2.5E-4	8.0E-5
0.375	1.9E-2	-	-	1.2E-2	1.4E-3	1.1E-4	3.3E-5
0.5	5.5E-3	-	-	3.7E-3	4.0E-4	4.2E-5	1.2E-5
0.625	1.6E-3	-	-	1.1E-3	1.1E-4	1.5E-5	4.4E-6
0.75	4.4E-4	-	-	3.3E-4	3.1E-5	5.3E-6	1.5E-6
0.875	1.3E-4	-	-	9.8E-5	8.6E-6	1.8E-6	5.1E-7
1	3.5E-5	1.3E-7	4.9E-6	2.8E-5	2.4E-6	5.9E-7	1.7E-7
1.125	9.8E-6	-	-	8.0E-6	6.8E-7	1.9E-7	5.5E-8
1.25	2.7E-6	-	-	2.2E-6	1.9E-7	6.3E-8	1.8E-8
1.375	7.4E-7	-	-	6.1E-7	5.3E-8	2.0E-8	5.6E-9
1.5	2.0E-7	-	-	1.7E-7	1.5E-8	6.3E-9	1.8E-9
1.625	5.5E-8	-	-	4.6E-8	4.1E-9	2.0E-9	5.6E-10
1.75	1.5E-8	-	-	1.2E-8	1.2E-9	6.2E-10	1.7E-10
1.875	4.0E-9	-	-	3.3E-9	3.2E-10	1.9E-10	-
2	1.1E-9	-	8.8E-10	8.6E-10	-	-	-
