  T/S      O-cavity       O-mucosa       Teeth-S        Teeth-V        Tongue         Tonsils        Oesophag-s     Oesophag-f     Oesophag-w     St-cont        St-mucosa      St-wall        SI-cont        SI-mucosa      SI-wall        SI-villi       RC-cont        RC-mucosa      RC-wall        LC-cont        LC-mucosa      LC-wall        RS-cont        RS-mucosa      RS-wall        ET1-sur        ET2-sur        ET2-bnd        ET2-seq        LN-ET          Bronchi        Bronchi-b      Bronchi-q      Brchiole       Brchiole-b     Brchiole-q     ALV            LN-Th          Lungs          Adrenals       Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       C-marrow       T-marrow       R-marrow       Y-marrow       Brain          Breast         Eye-lens       GB-wall        GB-cont        Ht-wall        Kidneys        Liver          LN-Sys         Ovaries        Pancreas       P-gland        Prostate       S-glands       Skin           Spleen         Testes         Thymus         Thyroid        Ureters        UB-wall        UB-cont        Uterus         Adipose        Cartilage      Muscle         ET1-wall       ET2-wall       Lung-Tis       RT-air
O-mucosa   4.49861498E-13 1.79458338E-12 1.37067691E-12 1.09711570E-13 8.52208950E-13 1.51600922E-14 9.07967476E-16 9.07967476E-16 9.07967476E-16 9.80324396E-17 9.46929465E-17 9.46929465E-17 3.81041100E-17 2.70134914E-17 2.70139715E-17 2.70134914E-17 4.49474826E-17 3.84056889E-17 3.84098030E-17 5.80520154E-17 4.86692112E-17 4.86887764E-17 8.30021029E-18 6.00581701E-18 6.00581701E-18 8.75909887E-15 3.01979170E-14 3.01979170E-14 3.01979170E-14 1.89992623E-14 4.74675580E-16 4.74675580E-16 4.74675580E-16 3.09329172E-16 3.09329172E-16 3.09329172E-16 3.09376380E-16 8.02426091E-16 2.98374167E-16 6.64030680E-17 1.14358790E-15 1.24006870E-15 1.24006870E-15 9.94599857E-16 9.94599857E-16 2.48675890E-17 6.21979192E-16 8.35331179E-16 4.39982340E-16 2.07306446E-15 2.51249821E-16 4.88154553E-15 7.80067066E-17 7.93292186E-17 2.47866823E-16 4.59971596E-17 1.12945837E-16 3.32864790E-16 0.00000000E+00 6.27549785E-17 6.30610632E-15 2.82449081E-18 6.04528677E-15 2.82624146E-16 9.27550730E-17 1.18079364E-18 7.93538170E-16 1.59030148E-15 2.10660817E-17 4.77810727E-18 5.30986215E-18 0.00000000E+00 3.63232216E-16 9.85781047E-16 5.02205934E-16 3.01979170E-14 3.01979170E-14 3.14541409E-16 5.72146477E-16
Oesophagus 9.10252005E-16 9.10252005E-16 6.23855528E-16 6.23855528E-16 1.04650997E-15 6.29043017E-16 3.89735334E-12 8.66115181E-13 1.11044521E-12 2.37897422E-15 3.17624102E-15 3.17624102E-15 5.89204147E-16 3.35977452E-16 3.35977452E-16 3.35977452E-16 3.52029847E-16 2.90490562E-16 2.90490562E-16 5.34630406E-16 4.60881765E-16 4.60881765E-16 5.84598967E-17 4.40755199E-17 4.40755199E-17 2.87755153E-16 7.85594079E-15 7.85594079E-15 7.85594079E-15 7.40432558E-15 1.05617472E-14 1.05617472E-14 1.05617472E-14 3.39859816E-15 3.39859816E-15 3.39859816E-15 3.39859816E-15 3.70081147E-14 3.47099139E-15 1.51685824E-15 4.43866534E-15 1.04533110E-15 1.04533110E-15 6.37475956E-16 6.37475956E-16 1.15440974E-16 9.88986866E-16 1.93144174E-15 4.50941717E-16 2.10546213E-16 7.46998488E-16 2.39020234E-16 1.09329938E-15 1.03061504E-15 1.04719806E-14 7.53366827E-16 1.84908443E-15 5.24207028E-15 0.00000000E+00 1.20771557E-15 3.37787466E-16 2.09343321E-17 1.11780334E-15 2.60563058E-16 1.63407117E-15 7.76865618E-18 6.87411463E-15 2.01636220E-14 2.68902419E-16 3.59546598E-17 3.71053111E-17 0.00000000E+00 7.40067113E-16 9.05587151E-16 4.42127958E-16 7.85594079E-15 7.85594079E-15 3.62308931E-15 3.50737283E-15
St-stem    9.82732210E-17 9.82732210E-17 1.00094838E-16 1.00094838E-16 1.04203896E-16 6.07511477E-17 3.18896937E-15 3.18896937E-15 3.18896937E-15 1.51652815E-13 5.91352659E-12 2.79099893E-13 3.81079417E-15 2.02977296E-15 2.02977296E-15 2.02977296E-15 1.45259466E-15 1.05353222E-15 1.05353222E-15 6.65787532E-15 5.75718702E-15 5.75718702E-15 2.31411535E-16 1.54319873E-16 1.54319873E-16 8.40017835E-17 9.63937304E-17 9.63937304E-17 9.63937304E-17 1.50757306E-16 1.27458261E-15 1.27458261E-15 1.27458261E-15 1.50751110E-15 1.50751110E-15 1.50751110E-15 1.50751110E-15 6.65081142E-16 1.49277670E-15 3.04493102E-15 4.07412993E-15 3.07319279E-16 3.07319279E-16 3.40064001E-16 3.40064001E-16 1.20530704E-16 3.98929851E-16 7.57105600E-16 1.98061044E-16 3.15130182E-17 1.52736261E-15 5.52677267E-17 2.46946677E-15 2.28556162E-15 4.50006864E-15 1.95734230E-15 3.04033477E-15 6.49566434E-15 0.00000000E+00 8.11153844E-15 4.51773223E-17 7.14635236E-17 9.36012502E-17 2.78580469E-16 5.03017112E-15 2.38286132E-17 5.04635226E-16 2.73685869E-16 9.84440642E-16 1.22476740E-16 1.32684361E-16 0.00000000E+00 9.45611958E-16 3.50054495E-16 3.45256394E-16 9.63937304E-17 9.63937304E-17 1.50028611E-15 1.49200907E-15
SI-stem    2.80157716E-17 2.80157716E-17 2.89151560E-17 2.89151560E-17 2.92825438E-17 1.71220127E-17 3.37865322E-16 3.37865322E-16 3.37865322E-16 1.86071978E-15 2.02809133E-15 2.02809133E-15 3.12241668E-14 6.59771443E-13 6.69631930E-14 1.35260570E-13 3.11543370E-15 3.85096831E-15 3.85096831E-15 3.40302921E-15 4.64719556E-15 4.64719556E-15 2.92639713E-15 2.31413442E-15 2.31413442E-15 2.60045874E-17 2.56543330E-17 2.56543330E-17 2.56543330E-17 3.90443289E-17 2.34140677E-16 2.34140677E-16 2.34140677E-16 2.75642511E-16 2.75642511E-16 2.75642511E-16 2.75642511E-16 1.46538739E-16 2.76848128E-16 1.46558563E-15 3.78008038E-15 4.04411006E-16 4.04411006E-16 4.49740630E-16 4.49740630E-16 7.69474131E-17 6.23637730E-16 1.08634033E-15 3.45574097E-16 1.00911029E-17 2.82934810E-16 1.71092486E-17 1.75821829E-15 1.76698681E-15 4.24346747E-16 2.17953936E-15 9.01713803E-16 4.51841727E-15 0.00000000E+00 4.64376240E-15 1.28843768E-17 8.18667889E-16 2.64823631E-17 2.75319289E-16 1.14688065E-15 1.66533218E-16 1.09570548E-16 6.66227858E-17 6.46626189E-15 2.28631415E-15 2.54057765E-15 0.00000000E+00 1.29649092E-15 5.46933942E-16 5.25882828E-16 2.56543330E-17 2.56543330E-17 2.74363627E-16 2.72849533E-16
RC-stem    3.85853491E-17 3.85853491E-17 3.94913853E-17 3.94913853E-17 3.95540266E-17 2.28251862E-17 2.89530153E-16 2.89530153E-16 2.89530153E-16 8.28061639E-16 1.04571252E-15 1.04571252E-15 3.65656001E-15 3.84783625E-15 3.84783625E-15 3.84783625E-15 4.00834540E-14 1.18989123E-12 2.92612312E-13 1.76937922E-15 1.52638532E-15 1.52638532E-15 4.80010085E-16 4.42804399E-16 4.42804399E-16 3.55365811E-17 3.47305303E-17 3.47305303E-17 3.47305303E-17 5.24419487E-17 2.39570190E-16 2.39570190E-16 2.39570190E-16 2.90775508E-16 2.90775508E-16 2.90775508E-16 2.90775508E-16 1.60511706E-16 2.87436011E-16 1.16285566E-15 3.82173379E-15 3.19769405E-16 3.19769405E-16 3.66065873E-16 3.66065873E-16 8.32011176E-17 4.52619721E-16 7.85861331E-16 2.52370377E-16 1.33410081E-17 3.56259792E-16 2.45986269E-17 6.05011585E-15 6.32049990E-15 3.56852907E-16 2.69072887E-15 2.38973702E-15 2.73824912E-15 0.00000000E+00 3.66842804E-15 1.75618033E-17 2.84893932E-16 3.48390675E-17 2.90986034E-16 3.46032422E-16 7.92645918E-17 1.34056022E-16 8.15718834E-17 2.79606542E-15 5.05228970E-16 5.46352188E-16 0.00000000E+00 1.07992533E-15 4.11868880E-16 5.27622919E-16 3.47305303E-17 3.47305303E-17 2.89145254E-16 2.87828530E-16
LC-stem    5.11342712E-17 5.11342712E-17 5.18648114E-17 5.18648114E-17 5.30509853E-17 3.08649476E-17 4.62476681E-16 4.62476681E-16 4.62476681E-16 4.79274511E-15 5.76424280E-15 5.76424280E-15 5.98467577E-15 4.64068828E-15 4.64068828E-15 4.64068828E-15 1.76467544E-15 1.51880545E-15 1.51880545E-15 4.75000065E-14 1.27319350E-12 2.95645517E-13 1.61849390E-15 6.87891045E-16 6.87891045E-16 4.76912523E-17 4.68967624E-17 4.68967624E-17 4.68967624E-17 6.97895363E-17 4.46192159E-16 4.46192159E-16 4.46192159E-16 4.97650233E-16 4.97650233E-16 4.97650233E-16 4.97650233E-16 2.29783181E-16 4.92459114E-16 1.54849977E-15 3.81755843E-15 2.55159439E-16 2.55159439E-16 3.79974771E-16 3.79974771E-16 1.10285728E-16 3.92191251E-16 7.01818035E-16 2.08714580E-16 1.66707946E-17 6.09224550E-16 3.30244613E-17 1.08401631E-15 1.05521534E-15 7.68504555E-16 2.22500533E-15 8.46750105E-16 3.12791713E-15 0.00000000E+00 2.95411813E-15 2.30076463E-17 1.59766298E-16 4.95616381E-17 3.22482428E-16 3.13302999E-15 4.89968578E-17 1.84615650E-16 1.14843192E-16 1.57543928E-15 2.83181666E-16 3.04467821E-16 0.00000000E+00 1.10849602E-15 3.91656055E-16 4.35453828E-16 4.68967624E-17 4.68967624E-17 4.96031615E-16 4.92848415E-16
RS-stem    6.01320915E-18 6.01320915E-18 6.38676356E-18 6.38676356E-18 6.02729778E-18 3.95630300E-18 4.33686199E-17 4.33686199E-17 4.33686199E-17 1.45302575E-16 1.52181523E-16 1.52181523E-16 9.83100395E-16 2.31259698E-15 2.31259698E-15 2.31259698E-15 3.46767993E-16 4.43232127E-16 4.43232127E-16 3.37370836E-16 6.82609652E-16 6.82609652E-16 8.58258847E-14 2.11699201E-12 6.12800359E-13 5.98741709E-18 5.20233907E-18 5.20233907E-18 5.20233907E-18 7.89571966E-18 3.84117782E-17 3.84117782E-17 3.84117782E-17 4.42230355E-17 4.42230355E-17 4.42230355E-17 4.42230355E-17 2.58062445E-17 4.41272408E-17 1.61080407E-16 3.37717890E-15 5.94075357E-16 5.94075357E-16 5.92655136E-16 5.92655136E-16 8.49403033E-17 8.38314770E-16 1.28323705E-15 5.35481983E-16 2.10833792E-18 4.68334461E-17 4.16567790E-18 1.75523287E-16 1.74601495E-16 5.40119106E-17 2.64801004E-16 1.19052959E-16 5.65605694E-15 0.00000000E+00 2.42319620E-16 3.04131281E-18 7.89851897E-15 5.47801928E-18 2.92693579E-16 1.14939173E-16 6.40315226E-16 1.88542324E-17 1.26040766E-17 2.22061851E-15 9.44948144E-15 7.80904929E-15 0.00000000E+00 1.21664790E-15 6.99436829E-16 7.22307536E-16 5.20233907E-18 5.20233907E-18 4.40374025E-17 4.37914371E-17
ET1-bas    8.72891834E-15 8.72891834E-15 1.21076729E-14 1.21076729E-14 6.95330323E-15 3.22323614E-15 2.76776102E-16 2.76776102E-16 2.76776102E-16 7.43303347E-17 8.13030862E-17 8.13030862E-17 3.47932707E-17 2.10419840E-17 2.10419840E-17 2.10419840E-17 4.01275650E-17 3.26186895E-17 3.26186895E-17 5.19484771E-17 4.28007566E-17 4.28007566E-17 7.44105109E-18 4.76284126E-18 4.76284126E-18 7.11497210E-11 3.29466950E-14 3.29466950E-14 3.29466950E-14 1.64557315E-15 2.41108516E-16 2.41108516E-16 2.41108516E-16 1.68177731E-16 1.68177731E-16 1.68177731E-16 1.68177731E-16 2.86656406E-16 1.67106143E-16 4.21173734E-17 5.64496296E-16 1.52819391E-15 1.52819391E-15 4.55213952E-16 4.55213952E-16 2.06244282E-17 2.97027612E-16 3.70717855E-16 2.30505314E-16 1.90911060E-15 2.41497206E-16 1.83741799E-14 6.85314322E-17 6.09228185E-17 1.50080443E-16 3.75123526E-17 8.63427283E-17 1.22683589E-16 0.00000000E+00 5.19769645E-17 4.15210037E-15 3.95599086E-18 1.66555868E-15 7.41050275E-16 6.28581225E-17 1.36330790E-18 3.56481556E-16 4.74114824E-16 1.79018583E-17 4.58570260E-18 5.11485584E-18 0.00000000E+00 6.16424501E-16 2.82005172E-15 1.26719329E-16 6.20240640E-12 3.29466950E-14 1.70448008E-16 4.55537687E-16
ET2-bas    3.02130033E-14 3.02130033E-14 9.28403883E-15 9.28403883E-15 2.31764619E-14 2.66954835E-14 7.84762997E-15 7.84762997E-15 7.84762997E-15 9.51323184E-17 9.29216914E-17 9.29216914E-17 3.78473359E-17 2.44300683E-17 2.44300683E-17 2.44300683E-17 4.07913180E-17 3.32114277E-17 3.32114277E-17 5.17712926E-17 4.58274424E-17 4.58274424E-17 8.01404120E-18 5.04266338E-18 5.04266338E-18 3.29270561E-14 2.21862885E-12 6.24300221E-12 4.82404765E-12 2.36369324E-13 2.22948114E-15 2.22948114E-15 2.22948114E-15 3.76435219E-16 3.76435219E-16 3.76435219E-16 3.76435219E-16 2.57562794E-15 3.66796419E-16 7.09166259E-17 6.35515914E-16 1.36383674E-15 1.36383674E-15 7.18723201E-16 7.18723201E-16 2.49774271E-17 5.84085875E-16 8.57959710E-16 3.88637811E-16 4.02816469E-15 2.15002235E-16 7.84054402E-15 7.38301884E-17 7.59310447E-17 2.94817335E-16 5.00790238E-17 1.08584247E-16 4.25889701E-16 0.00000000E+00 5.81066779E-17 6.92726899E-14 3.26711255E-18 5.74853757E-15 2.88827130E-16 1.02836229E-16 1.02781890E-18 1.37289487E-15 4.12020235E-15 1.99303685E-17 4.26507105E-18 4.53644103E-18 0.00000000E+00 7.28329114E-16 2.25473236E-15 4.84535494E-16 3.29466950E-14 6.20240640E-12 4.34481229E-16 2.42382835E-14
LN-ET      1.89082221E-14 1.89082221E-14 5.50196021E-15 5.50196021E-15 1.79752098E-14 5.23026991E-15 7.37771563E-15 7.37771563E-15 7.37771563E-15 1.51704813E-16 1.48039543E-16 1.48112131E-16 4.57124683E-17 3.18944068E-17 3.90443289E-17 3.18944068E-17 5.98915504E-17 5.26897805E-17 5.27071534E-17 8.12161990E-17 6.86283838E-17 6.86572295E-17 8.67616187E-18 6.20363055E-18 7.89536297E-18 1.74017291E-15 2.36399002E-13 2.36399002E-13 2.36399002E-13 4.07822155E-12 5.08448661E-15 5.08448661E-15 5.08448661E-15 6.70519148E-16 6.70519148E-16 6.70519148E-16 6.70754044E-16 6.91644591E-15 6.52572205E-16 1.15681664E-16 9.44507974E-16 7.54607114E-16 7.54607114E-16 9.32886936E-16 9.32886936E-16 2.91930158E-17 6.39097910E-16 1.00731767E-15 3.95966060E-16 1.01211768E-15 2.96048519E-16 1.31852754E-15 1.02338571E-16 1.03451596E-16 5.13721333E-16 7.71253639E-17 1.66307718E-16 8.26462892E-16 0.00000000E+00 9.19856397E-17 2.33302012E-15 4.35529044E-18 9.28577517E-15 3.39667049E-16 1.62603210E-16 1.80890663E-18 2.85378446E-15 9.46134997E-15 3.24909288E-17 6.99259974E-18 7.39327439E-18 0.00000000E+00 7.39587291E-16 3.24419340E-15 7.70892998E-16 2.36399002E-13 2.36399002E-13 8.08955869E-16 2.77704760E-15
