  T/S      O-cavity       O-mucosa       Teeth-S        Teeth-V        Tongue         Tonsils        Oesophag-s     Oesophag-f     Oesophag-w     St-cont        St-mucosa      St-wall        SI-cont        SI-mucosa      SI-wall        SI-villi       RC-cont        RC-mucosa      RC-wall        LC-cont        LC-mucosa      LC-wall        RS-cont        RS-mucosa      RS-wall        ET1-sur        ET2-sur        ET2-bnd        ET2-seq        LN-ET          Bronchi        Bronchi-b      Bronchi-q      Brchiole       Brchiole-b     Brchiole-q     ALV            LN-Th          Lungs          Adrenals       Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       C-marrow       T-marrow       R-marrow       Y-marrow       Brain          Breast         Eye-lens       GB-wall        GB-cont        Ht-wall        Kidneys        Liver          LN-Sys         Ovaries        Pancreas       P-gland        Prostate       S-glands       Skin           Spleen         Testes         Thymus         Thyroid        Ureters        UB-wall        UB-cont        Uterus         Adipose        Cartilage      Muscle         ET1-wall       ET2-wall       Lung-Tis       RT-air
O-mucosa   2.60300660E-13 6.71530361E-13 3.43729925E-13 1.59587555E-13 3.92473058E-13 4.10163998E-14 2.55651417E-15 2.55651417E-15 2.55651417E-15 3.05168706E-16 2.94307218E-16 2.94307218E-16 1.25083831E-16 9.04714298E-17 9.04714581E-17 9.04714298E-17 1.45094237E-16 1.25641467E-16 1.25641496E-16 1.90526718E-16 1.60389940E-16 1.60390179E-16 3.27811769E-17 2.13378005E-17 2.13378005E-17 2.44608326E-14 4.81360052E-14 4.81360052E-14 4.81360052E-14 3.65323595E-14 1.37005297E-15 1.37005297E-15 1.37005297E-15 9.17808277E-16 9.17808277E-16 9.17808277E-16 9.17799743E-16 2.29226668E-15 8.73191609E-16 2.11998058E-16 1.69291624E-15 2.85736311E-15 2.85736311E-15 2.42490185E-15 2.42490185E-15 7.94198660E-17 1.55795298E-15 2.14490499E-15 1.07127276E-15 5.75385871E-15 7.22134956E-16 1.36353457E-14 2.47454519E-16 2.49978093E-16 7.39058658E-16 1.52810540E-16 3.48533105E-16 9.61976326E-16 0.00000000E+00 1.98358989E-16 1.70906904E-14 1.15826660E-17 1.67212745E-14 8.05042495E-16 2.93828545E-16 4.76000884E-18 2.29790405E-15 4.50630979E-15 7.22344890E-17 1.82943805E-17 2.03764215E-17 0.00000000E+00 8.90626608E-16 2.45719983E-15 1.10367113E-15 4.81360052E-14 4.81360052E-14 9.32195326E-16 1.33798653E-15
Oesophagus 2.56376925E-15 2.56376925E-15 1.80285784E-15 1.80285784E-15 2.92184213E-15 1.80372228E-15 8.82652894E-13 2.20706989E-13 4.34155300E-13 6.48664157E-15 6.96943962E-15 6.96943962E-15 1.64155096E-15 9.61258957E-16 9.61258957E-16 9.61258957E-16 1.00270508E-15 8.36825474E-16 8.36825474E-16 1.52477188E-15 1.30082080E-15 1.30082080E-15 1.84156978E-16 1.43639312E-16 1.43639312E-16 8.68699255E-16 1.09893393E-14 1.09893393E-14 1.09893393E-14 1.88400429E-14 1.88435637E-14 1.88435637E-14 1.88435637E-14 8.94205017E-15 8.94205017E-15 8.94205017E-15 8.94205017E-15 4.98065746E-14 9.19343019E-15 4.15425113E-15 5.04823473E-15 2.55432115E-15 2.55432115E-15 1.76328288E-15 1.76328288E-15 3.28435128E-16 2.68543398E-15 5.24427036E-15 1.25639484E-15 6.32519861E-16 2.11712350E-15 7.25031630E-16 2.99951151E-15 2.84260072E-15 2.18905564E-14 2.09772234E-15 4.92406439E-15 7.66965852E-15 0.00000000E+00 3.31717310E-15 9.86278388E-16 6.90772014E-17 3.14937114E-15 7.51147921E-16 4.46152901E-15 2.94737476E-17 1.87293917E-14 3.95751181E-14 7.74676873E-16 1.17800238E-16 1.21848843E-16 0.00000000E+00 1.53764447E-15 2.19165506E-15 1.19662661E-15 1.09893393E-14 1.09893393E-14 9.25172527E-15 9.05249587E-15
St-stem    3.02559080E-16 3.02559080E-16 3.07306868E-16 3.07306868E-16 3.18884390E-16 1.95519715E-16 6.99101207E-15 6.99101207E-15 6.99101207E-15 6.82896352E-14 2.61829164E-12 1.26246182E-13 1.01472150E-14 5.21534329E-15 5.21534329E-15 5.21534329E-15 4.00507313E-15 2.92418888E-15 2.92418888E-15 1.74951558E-14 1.40106951E-14 1.40106951E-14 6.93569049E-16 4.68473181E-16 4.68473181E-16 2.60753781E-16 3.02100238E-16 3.02100238E-16 3.02100238E-16 4.59726554E-16 3.51524462E-15 3.51524462E-15 3.51524462E-15 4.00775612E-15 4.00775612E-15 4.00775612E-15 4.00775612E-15 1.87000006E-15 3.97766018E-15 8.28119249E-15 4.63022622E-15 8.65058992E-16 8.65058992E-16 9.58673637E-16 9.58673637E-16 3.50478339E-16 1.11698307E-15 2.10301610E-15 5.62044260E-16 1.07173340E-16 4.28565950E-15 1.79065344E-16 6.72877472E-15 6.23304605E-15 1.07289829E-14 5.36132084E-15 7.70427411E-15 7.93664180E-15 0.00000000E+00 1.98868659E-14 1.48654056E-16 2.28770860E-16 2.93454681E-16 8.03156674E-16 1.36317863E-14 8.50356015E-17 1.44373550E-15 8.00849335E-16 2.71604116E-15 3.81593471E-16 4.12040813E-16 0.00000000E+00 2.08117034E-15 9.84330643E-16 9.52038676E-16 3.02100238E-16 3.02100238E-16 3.99221752E-15 3.96836330E-15
SI-stem    9.34796500E-17 9.34796500E-17 9.56037415E-17 9.56037415E-17 9.68106212E-17 5.86448058E-17 9.56760443E-16 9.56760443E-16 9.56760443E-16 4.99349218E-15 5.21159513E-15 5.21159513E-15 2.32079998E-14 3.20393517E-13 3.54980757E-14 3.48686356E-14 8.19738088E-15 9.29670420E-15 9.29670420E-15 9.17684908E-15 1.09689677E-14 1.09689677E-14 7.73699314E-15 5.88393807E-15 5.88393807E-15 8.64530475E-17 8.58869755E-17 8.58869755E-17 8.58869755E-17 1.26442728E-16 6.84420474E-16 6.84420474E-16 6.84420474E-16 7.96559754E-16 7.96559754E-16 7.96559754E-16 7.96559754E-16 4.35158265E-16 7.99546217E-16 3.97479336E-15 3.31413316E-15 1.12975322E-15 1.12975322E-15 1.25271851E-15 1.25271851E-15 2.35350114E-16 1.72608644E-15 2.99626408E-15 9.65987547E-16 3.58983586E-17 8.37786863E-16 5.94639012E-17 4.67023406E-15 4.71563044E-15 1.20149345E-15 5.89588200E-15 2.48252471E-15 6.86765910E-15 0.00000000E+00 1.05984769E-14 4.50774544E-17 2.27429002E-15 8.86983202E-17 7.96477557E-16 3.10690632E-15 5.05405544E-16 3.34594988E-16 2.08760446E-16 1.53270614E-14 5.93935802E-15 6.73466789E-15 0.00000000E+00 2.82696208E-15 1.51946497E-15 1.42614839E-15 8.58869755E-17 8.58869755E-17 7.93195106E-16 7.88772502E-16
RC-stem    1.26741352E-16 1.26741352E-16 1.30194266E-16 1.30194266E-16 1.29167330E-16 7.75775687E-17 8.34693083E-16 8.34693083E-16 8.34693083E-16 2.31802263E-15 2.89415529E-15 2.89415529E-15 9.44644895E-15 9.30331719E-15 9.30331719E-15 9.30331719E-15 6.34072701E-14 5.21336944E-13 1.34063236E-13 4.71600728E-15 3.53464631E-15 3.53464631E-15 1.37618202E-15 1.27710577E-15 1.27710577E-15 1.16641981E-16 1.15826336E-16 1.15826336E-16 1.15826336E-16 1.71081092E-16 7.04541524E-16 7.04541524E-16 7.04541524E-16 8.49224546E-16 8.49224546E-16 8.49224546E-16 8.49224546E-16 4.81159013E-16 8.37606167E-16 3.19749099E-15 3.40888822E-15 9.08307391E-16 9.08307391E-16 1.02892055E-15 1.02892055E-15 2.51354438E-16 1.26910860E-15 2.18858040E-15 7.14619251E-16 4.80053658E-17 1.05845301E-15 8.48354086E-17 1.46524618E-14 1.60173061E-14 1.02988351E-15 7.24957910E-15 6.23365203E-15 4.24883620E-15 0.00000000E+00 9.70346996E-15 6.07651132E-17 8.38349600E-16 1.16549901E-16 8.36937848E-16 9.99190621E-16 2.56562108E-16 4.08615323E-16 2.57129030E-16 7.62272101E-15 1.44250310E-15 1.55668935E-15 0.00000000E+00 2.39420789E-15 1.15468985E-15 1.38858620E-15 1.15826336E-16 1.15826336E-16 8.44567221E-16 8.40790956E-16
LC-stem    1.62790331E-16 1.62790331E-16 1.69511940E-16 1.69511940E-16 1.69268658E-16 1.02223655E-16 1.31200584E-15 1.31200584E-15 1.31200584E-15 1.30373064E-14 1.40318926E-14 1.40318926E-14 1.60297748E-14 1.09502403E-14 1.09502403E-14 1.09502403E-14 4.32269194E-15 3.49911912E-15 3.49911912E-15 7.03779324E-14 5.54449435E-13 1.35544112E-13 3.57289802E-15 1.77433523E-15 1.77433523E-15 1.53232432E-16 1.51611584E-16 1.51611584E-16 1.51611584E-16 2.21432240E-16 1.27443589E-15 1.27443589E-15 1.27443589E-15 1.40352961E-15 1.40352961E-15 1.40352961E-15 1.40352961E-15 6.73828810E-16 1.39866864E-15 4.25722820E-15 3.27133490E-15 7.31279804E-16 7.31279804E-16 1.00720578E-15 1.00720578E-15 3.23525230E-16 1.06684725E-15 1.87777558E-15 5.74011103E-16 5.72793227E-17 1.77185620E-15 1.11267715E-16 2.99728688E-15 2.92814479E-15 2.15791672E-15 6.08013284E-15 2.36802236E-15 5.14542661E-15 0.00000000E+00 8.02099893E-15 7.79264447E-17 4.86641339E-16 1.62173994E-16 9.30704226E-16 8.42964800E-15 1.63870647E-16 5.50736028E-16 3.49877408E-16 4.32924302E-15 8.33868399E-16 8.93890666E-16 0.00000000E+00 2.41239003E-15 1.04981741E-15 1.17129729E-15 1.51611584E-16 1.51611584E-16 1.39936321E-15 1.39034856E-15
RS-stem    2.20511012E-17 2.20511012E-17 2.44640474E-17 2.44640474E-17 2.28645384E-17 1.50040379E-17 1.39849498E-16 1.39849498E-16 1.39849498E-16 4.47588163E-16 4.63051397E-16 4.63051397E-16 2.64424691E-15 5.88432150E-15 5.88432150E-15 5.88432150E-15 1.01085857E-15 1.27093667E-15 1.27093667E-15 9.75062422E-16 1.76236439E-15 1.76236439E-15 7.59012672E-14 9.34296145E-13 2.74699281E-13 2.21105480E-17 2.01585103E-17 2.01585103E-17 2.01585103E-17 2.84061282E-17 1.29272253E-16 1.29272253E-16 1.29272253E-16 1.44142347E-16 1.44142347E-16 1.44142347E-16 1.44142347E-16 8.81462244E-17 1.46925433E-16 4.95911782E-16 2.38677711E-15 1.64790643E-15 1.64790643E-15 1.63932190E-15 1.63932190E-15 2.65119720E-16 2.31722292E-15 3.51721148E-15 1.48351173E-15 8.37515754E-18 1.56889532E-16 1.64891594E-17 5.30212446E-16 5.28671266E-16 1.74186093E-16 7.87303709E-16 3.67582969E-16 6.47554729E-15 0.00000000E+00 7.15574914E-16 1.13858564E-17 2.09265703E-14 2.07912404E-17 8.51905922E-16 3.57554458E-16 1.83071833E-15 6.61329242E-17 4.47537239E-17 6.07082657E-15 2.44359897E-14 2.11290641E-14 0.00000000E+00 2.67441203E-15 1.92705806E-15 1.88986718E-15 2.01585103E-17 2.01585103E-17 1.43677113E-16 1.42795500E-16
ET1-bas    2.43682846E-14 2.43682846E-14 3.38941950E-14 3.38941950E-14 1.94869133E-14 8.94090011E-15 8.48193061E-16 8.48193061E-16 8.48193061E-16 2.31058466E-16 2.59636457E-16 2.59636457E-16 1.11905535E-16 6.83737171E-17 6.83737171E-17 6.83737171E-17 1.28685471E-16 1.03954135E-16 1.03954135E-16 1.65117202E-16 1.38002052E-16 1.38002052E-16 2.60080977E-17 1.80639066E-17 1.80639066E-17 3.97342109E-11 3.57691411E-14 3.57691411E-14 3.57691411E-14 4.73230055E-15 7.26551368E-16 7.26551368E-16 7.26551368E-16 5.11895052E-16 5.11895052E-16 5.11895052E-16 5.11895052E-16 8.72996052E-16 5.19504511E-16 1.36166479E-16 3.69528656E-16 2.52313539E-15 2.52313539E-15 1.22803935E-15 1.22803935E-15 6.65467155E-17 7.74185325E-16 1.01763683E-15 6.12219454E-16 5.37518133E-15 6.80603910E-16 5.01638416E-14 2.14925267E-16 1.94986410E-16 4.54886291E-16 1.28869032E-16 2.60013101E-16 3.66019897E-16 0.00000000E+00 1.72775194E-16 1.12242792E-14 1.83649104E-17 4.80870141E-15 1.18081406E-15 1.99249467E-16 4.80251130E-18 1.07494044E-15 1.45953881E-15 6.40237249E-17 1.85826790E-17 1.90710560E-17 0.00000000E+00 8.74604320E-16 2.34507440E-15 3.69465759E-16 2.82205637E-12 3.57691411E-14 5.18654253E-16 8.22315246E-16
ET2-bas    4.80101820E-14 4.80101820E-14 2.57263110E-14 2.57263110E-14 4.54120275E-14 6.51077952E-14 1.09998000E-14 1.09998000E-14 1.09998000E-14 2.95623221E-16 2.84209334E-16 2.84209334E-16 1.25926171E-16 8.13470698E-17 8.13470698E-17 8.13470698E-17 1.36556105E-16 1.08861574E-16 1.08861574E-16 1.69881010E-16 1.53150680E-16 1.53150680E-16 3.15120455E-17 1.82413222E-17 1.82413222E-17 3.55286165E-14 1.31249921E-12 2.86387124E-12 2.44845815E-12 1.15056753E-13 2.59762024E-15 2.59762024E-15 2.59762024E-15 1.09300225E-15 1.09300225E-15 1.09300225E-15 1.09300225E-15 5.75494758E-15 1.06872760E-15 2.26926350E-16 5.15627116E-16 3.05280594E-15 3.05280594E-15 1.82001747E-15 1.82001747E-15 8.10356388E-17 1.53874305E-15 2.28921594E-15 9.91507725E-16 1.01236672E-14 6.45373806E-16 2.16977147E-14 2.37578845E-16 2.36214046E-16 8.71151306E-16 1.62803108E-16 3.41033385E-16 1.20515751E-15 0.00000000E+00 1.87736235E-16 8.03220394E-14 1.28557537E-17 1.59302064E-14 8.14420414E-16 3.15389469E-16 4.26122954E-18 3.89301377E-15 1.13977035E-14 6.60136609E-17 1.66389934E-17 1.65492945E-17 0.00000000E+00 1.07427462E-15 3.07160206E-15 1.14570906E-15 3.57691411E-14 2.82205637E-12 1.14010087E-15 1.58130257E-14
LN-ET      3.66596991E-14 3.66596991E-14 1.54662127E-14 1.54662127E-14 4.15340258E-14 1.44130819E-14 1.86725244E-14 1.86725244E-14 1.86725244E-14 4.53960346E-16 4.76196211E-16 4.76197895E-16 1.42132256E-16 1.05301506E-16 1.26442728E-16 1.05301506E-16 1.84908142E-16 1.73092935E-16 1.73093140E-16 2.58232619E-16 2.12389718E-16 2.12390836E-16 3.93453085E-17 2.55864960E-17 2.84061261E-17 5.10352279E-15 1.14920203E-13 1.14920203E-13 1.14920203E-13 1.70340912E-12 5.91936223E-15 5.91936223E-15 5.91936223E-15 1.88107089E-15 1.88107089E-15 1.88107089E-15 1.88108981E-15 1.43113873E-14 1.83038496E-15 3.45417859E-16 1.47206442E-15 2.10177994E-15 2.10177994E-15 1.96463692E-15 1.96463692E-15 9.94409904E-17 1.64220261E-15 2.60155385E-15 8.88732035E-16 2.85338714E-15 8.39141051E-16 3.78506412E-15 3.05510186E-16 3.19035037E-16 1.48443891E-15 2.45446580E-16 5.05046190E-16 2.29394591E-15 0.00000000E+00 2.87556239E-16 6.43838202E-15 1.48346470E-17 2.58210656E-14 9.45321097E-16 4.88378272E-16 7.61306625E-18 7.97353430E-15 2.58699895E-14 1.16230796E-16 2.58345765E-17 2.86204353E-17 0.00000000E+00 1.21356899E-15 4.73568655E-15 1.54490399E-15 1.14920203E-13 1.14920203E-13 2.00758644E-15 2.90945690E-15
