  T/S      O-cavity       O-mucosa       Teeth-S        Teeth-V        Tongue         Tonsils        Oesophag-s     Oesophag-f     Oesophag-w     St-cont        St-mucosa      St-wall        SI-cont        SI-mucosa      SI-wall        SI-villi       RC-cont        RC-mucosa      RC-wall        LC-cont        LC-mucosa      LC-wall        RS-cont        RS-mucosa      RS-wall        ET1-sur        ET2-sur        ET2-bnd        ET2-seq        LN-ET          Bronchi        Bronchi-b      Bronchi-q      Brchiole       Brchiole-b     Brchiole-q     ALV            LN-Th          Lungs          Adrenals       Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       C-marrow       T-marrow       R-marrow       Y-marrow       Brain          Breast         Eye-lens       GB-wall        GB-cont        Ht-wall        Kidneys        Liver          LN-Sys         Ovaries        Pancreas       P-gland        Prostate       S-glands       Skin           Spleen         Testes         Thymus         Thyroid        Ureters        UB-wall        UB-cont        Uterus         Adipose        Cartilage      Muscle         ET1-wall       ET2-wall       Lung-Tis       RT-air
O-mucosa   2.63873264E-13 1.64379139E-12 1.11705255E-12 7.07058405E-14 6.06218201E-13 7.43877169E-14 2.17152264E-15 2.17152264E-15 2.17152264E-15 1.22543843E-16 1.13426680E-16 1.13426680E-16 3.45222080E-17 2.93644134E-17 2.93644134E-17 2.93644134E-17 2.46439991E-17 2.37124731E-17 2.37124731E-17 1.77384459E-17 1.59239771E-17 1.59239771E-17 4.49108553E-18 3.87555591E-18 3.87555591E-18 1.66215986E-14 3.69354406E-14 3.69354406E-14 3.69354406E-14 5.82304886E-14 2.14272546E-15 2.14272546E-15 2.14272546E-15 5.97511508E-16 5.97511508E-16 5.97511508E-16 5.97511508E-16 2.44114344E-15 5.90479571E-16 1.02153074E-16 9.69785192E-16 1.99473552E-15 1.99473552E-15 1.80422376E-15 1.80422376E-15 3.61635384E-17 9.80617089E-16 1.29815331E-15 6.88913563E-16 2.68320108E-15 7.44512441E-16 6.50181732E-15 1.17145273E-16 1.12587420E-16 4.89318822E-16 6.23778823E-17 1.66427387E-16 6.03693656E-16 4.33871368E-18 7.90520137E-17 8.21174277E-15 0.00000000E+00 1.75025087E-14 4.34404520E-16 1.29144043E-16 0.00000000E+00 1.67654393E-15 4.44210148E-15 2.57742858E-17 5.20114616E-18 4.76149000E-18 3.40836255E-18 5.03109276E-16 1.43289077E-15 5.68099144E-16 3.69354406E-14 3.69354406E-14 6.48911859E-16 9.30825478E-16
Oesophagus 2.18680701E-15 2.18680701E-15 1.33310234E-15 1.33310234E-15 2.44116901E-15 1.70114324E-15 3.54702034E-12 4.45073940E-13 8.15206660E-13 2.61073944E-15 2.42727799E-15 2.42727799E-15 3.61541547E-16 2.84812233E-16 2.84812233E-16 2.84812233E-16 1.56720681E-16 1.60180850E-16 1.60180850E-16 1.35580096E-16 1.32175308E-16 1.32175308E-16 3.36026403E-17 2.73581824E-17 2.73581824E-17 5.87109411E-16 6.77852117E-15 6.77852117E-15 6.77852117E-15 7.09728856E-15 3.20118828E-14 3.20118828E-14 3.20118828E-14 5.47034513E-15 5.47034513E-15 5.47034513E-15 5.47034513E-15 3.18035239E-14 5.51104248E-15 2.25071083E-15 4.21513881E-15 1.34423457E-15 1.34423457E-15 1.08968794E-15 1.08968794E-15 1.35059127E-16 1.64168306E-15 3.02183129E-15 7.30131317E-16 3.44534282E-16 1.65182746E-15 3.94839433E-16 1.59215752E-15 1.61886053E-15 1.14528814E-14 8.54055227E-16 2.47297256E-15 4.51499319E-15 2.35563823E-17 8.97807540E-16 6.64796559E-16 0.00000000E+00 2.10945027E-15 3.95304269E-16 2.21969022E-15 0.00000000E+00 1.03630949E-14 2.22854117E-14 2.69412252E-16 2.49619322E-17 2.77137395E-17 2.35829494E-17 5.35832939E-16 1.22294410E-15 7.33223591E-16 6.77852117E-15 6.77852117E-15 6.35514564E-15 5.74693674E-15
St-stem    1.19653079E-16 1.19653079E-16 1.16340007E-16 1.16340007E-16 1.16097185E-16 9.09848891E-17 2.42247062E-15 2.42247062E-15 2.42247062E-15 9.31714474E-14 3.90179642E-12 1.89456345E-13 5.39388408E-15 4.03358693E-15 4.03358693E-15 4.03358693E-15 8.60475497E-16 8.65871110E-16 8.65871110E-16 1.47223751E-15 1.44109518E-15 1.44109518E-15 1.96605242E-16 1.70321366E-16 1.70321366E-16 1.01721498E-16 9.57735002E-17 9.57735002E-17 9.57735002E-17 1.32691955E-16 7.10523248E-16 7.10523248E-16 7.10523248E-16 1.61972200E-15 1.61972200E-15 1.61972200E-15 1.61972200E-15 5.86238149E-16 1.63760121E-15 6.26181625E-15 3.72413010E-15 4.14171002E-16 4.14171002E-16 5.12103727E-16 5.12103727E-16 1.29119707E-16 6.50748126E-16 1.17981624E-15 3.18955944E-16 3.31764559E-17 1.06482578E-15 8.05040264E-17 6.46399932E-15 5.64701600E-15 3.49749313E-15 4.73001282E-15 4.55733690E-15 3.24452223E-15 1.46495474E-16 1.49873627E-14 4.73295710E-17 0.00000000E+00 9.79998660E-17 4.16113979E-16 1.25660575E-14 0.00000000E+00 4.56431729E-16 2.28172839E-16 2.05161172E-15 1.59544092E-16 1.72440063E-16 1.57063402E-16 6.75315368E-16 8.03170315E-16 5.50618551E-16 9.57735002E-17 9.57735002E-17 1.58937688E-15 1.59615543E-15
SI-stem    3.14169991E-17 3.14169991E-17 3.05679480E-17 3.05679480E-17 3.06256290E-17 2.34210250E-17 2.87656487E-16 2.87656487E-16 2.87656487E-16 2.87752564E-15 4.02479277E-15 4.02479277E-15 2.32791589E-14 4.47711022E-13 5.04070551E-14 1.05981315E-13 5.11879453E-15 5.52079849E-15 5.52079849E-15 6.87935289E-15 7.25385507E-15 7.25385507E-15 5.40950312E-15 4.34030818E-15 4.34030818E-15 2.97341328E-17 2.42796066E-17 2.42796066E-17 2.42796066E-17 3.27940035E-17 1.48812619E-16 1.48812619E-16 1.48812619E-16 2.72020190E-16 2.72020190E-16 2.72020190E-16 2.72020190E-16 1.25849066E-16 2.76670933E-16 2.37798231E-15 3.30032743E-15 5.49881884E-16 5.49881884E-16 8.79916511E-16 8.79916511E-16 1.33947736E-16 1.16082567E-15 1.89048412E-15 6.52135251E-16 8.49998123E-18 2.19517803E-16 2.45799973E-17 3.72255760E-15 3.38348024E-15 3.96927269E-16 3.92025925E-15 1.49622840E-15 4.98741298E-15 4.48938179E-15 7.52840700E-15 1.20196587E-17 0.00000000E+00 2.40348929E-17 3.70355398E-16 1.56919056E-15 0.00000000E+00 1.05618738E-16 5.62049584E-17 8.89412204E-15 4.13711570E-15 4.71841815E-15 4.16355285E-15 9.50559716E-16 1.17788718E-15 8.34293460E-16 2.42796066E-17 2.42796066E-17 2.67901139E-16 2.68371330E-16
RC-stem    2.57704587E-17 2.57704587E-17 2.50593478E-17 2.50593478E-17 2.55316485E-17 1.95455251E-17 1.59560600E-16 1.59560600E-16 1.59560600E-16 6.21449039E-16 8.59815949E-16 8.59815949E-16 3.99298176E-15 5.50563389E-15 5.50563389E-15 5.50563389E-15 4.02292114E-14 8.92499334E-13 2.17744675E-13 2.55939099E-15 2.83571847E-15 2.83571847E-15 1.17696741E-15 1.07785978E-15 1.07785978E-15 2.48111435E-17 2.04062589E-17 2.04062589E-17 2.04062589E-17 2.75379002E-17 1.03454222E-16 1.03454222E-16 1.03454222E-16 1.80935193E-16 1.80935193E-16 1.80935193E-16 1.80935193E-16 9.08420324E-17 1.77084528E-16 1.20786835E-15 3.03308949E-15 5.07552714E-16 5.07552714E-16 7.54127103E-16 7.54127103E-16 1.21277604E-16 9.06761404E-16 1.44282676E-15 5.32325151E-16 7.23547603E-18 1.47909365E-16 2.09889989E-17 1.74719030E-15 1.77058999E-15 2.03750262E-16 3.48860016E-15 1.29452289E-15 3.34216677E-15 1.19177274E-15 3.27691175E-15 9.54979564E-18 0.00000000E+00 1.98859813E-17 3.93803899E-16 3.55881128E-16 0.00000000E+00 8.28122014E-17 4.47836142E-17 5.05902843E-15 1.58715372E-15 1.81879553E-15 1.17953166E-15 8.39514869E-16 8.64251689E-16 9.29589503E-16 2.04062589E-17 2.04062589E-17 1.78400801E-16 1.78553786E-16
LC-stem    1.87919947E-17 1.87919947E-17 1.91078728E-17 1.91078728E-17 1.76971002E-17 1.40023091E-17 1.31447255E-16 1.31447255E-16 1.31447255E-16 1.10039140E-15 1.44859548E-15 1.44859548E-15 5.17087599E-15 7.22575555E-15 7.22575555E-15 7.22575555E-15 2.54219869E-15 2.82593372E-15 2.82593372E-15 4.85525323E-14 9.21635311E-13 2.22327241E-13 2.80301394E-15 2.21872054E-15 2.21872054E-15 1.99877311E-17 1.33056412E-17 1.33056412E-17 1.33056412E-17 1.86836217E-17 7.76011382E-17 7.76011382E-17 7.76011382E-17 1.38813134E-16 1.38813134E-16 1.38813134E-16 1.38813134E-16 6.60114237E-17 1.42302457E-16 7.07501018E-16 2.99878927E-15 5.18097404E-16 5.18097404E-16 7.35654526E-16 7.35654526E-16 1.21949658E-16 9.25254071E-16 1.41739140E-15 5.65140583E-16 5.24089593E-18 1.16897646E-16 1.71752146E-17 8.78088280E-16 8.97659721E-16 1.97299217E-16 1.51820095E-15 4.94922892E-16 3.62630616E-15 1.30186022E-15 1.73143294E-15 6.87852727E-18 0.00000000E+00 1.42849428E-17 3.83040052E-16 6.35892789E-16 0.00000000E+00 5.55098622E-17 2.99078508E-17 5.15514874E-15 2.16121178E-15 2.41334489E-15 1.59700276E-15 9.05416170E-16 8.46890053E-16 9.28720716E-16 1.33056412E-17 1.33056412E-17 1.36764780E-16 1.37002611E-16
RS-stem    4.71749287E-18 4.71749287E-18 4.93644702E-18 4.93644702E-18 3.82160608E-18 3.42809242E-18 2.71832839E-17 2.71832839E-17 2.71832839E-17 1.35165090E-16 1.70690853E-16 1.70690853E-16 4.94842498E-15 4.35611469E-15 4.35611469E-15 4.35611469E-15 1.07214437E-15 1.09136293E-15 1.09136293E-15 1.79880362E-15 2.24492967E-15 2.24492967E-15 5.81705456E-14 1.52027964E-12 4.41238383E-13 4.91711896E-18 3.58968613E-18 3.58968613E-18 3.58968613E-18 3.90196427E-18 1.92930708E-17 1.92930708E-17 1.92930708E-17 3.42703371E-17 3.42703371E-17 3.42703371E-17 3.42685579E-17 1.67519276E-17 3.43823102E-17 1.67186698E-16 2.80976178E-15 6.20173325E-16 6.20173325E-16 7.57424776E-16 7.57424776E-16 2.45532637E-16 1.25526472E-15 1.75075890E-15 8.60007094E-16 1.30939572E-18 2.51877478E-17 4.36395286E-18 1.75213837E-16 1.76625324E-16 3.93154551E-17 3.03470391E-16 1.22029311E-16 3.66439464E-15 2.49453469E-14 2.73679790E-16 1.96716534E-18 0.00000000E+00 3.69447633E-18 3.78766115E-16 1.08496653E-16 0.00000000E+00 1.31893158E-17 7.42795025E-18 5.01533116E-15 1.24308439E-14 1.05149421E-14 3.01770397E-14 1.13848208E-15 9.53748928E-16 1.09040554E-15 3.58968613E-18 3.58968613E-18 3.37743369E-17 3.38207467E-17
ET1-bas    1.66735949E-14 1.66735949E-14 2.25200610E-14 2.25200610E-14 1.23674137E-14 8.59097687E-15 5.81400990E-16 5.81400990E-16 5.81400990E-16 9.98041927E-17 9.39665679E-17 9.39665679E-17 2.33618931E-17 2.44758998E-17 2.44758998E-17 2.44758998E-17 2.10471668E-17 2.17772620E-17 2.17772620E-17 1.65932897E-17 2.04052696E-17 2.04052696E-17 2.21071934E-18 4.29481685E-18 4.29481685E-18 7.70720769E-11 1.11720158E-14 1.11720158E-14 1.11720158E-14 3.90948909E-15 5.86957709E-16 5.86957709E-16 5.86957709E-16 3.41200188E-16 3.41200188E-16 3.41200188E-16 3.41200188E-16 6.62279961E-16 3.07960890E-16 6.46517357E-17 3.76252398E-16 1.57056996E-15 1.57056996E-15 1.12967523E-15 1.12967523E-15 2.75506517E-17 4.76731788E-16 6.17628047E-16 3.91205209E-16 2.94941898E-15 6.14761330E-16 2.61754539E-14 1.01399581E-16 8.93913073E-17 2.91909331E-16 4.85598508E-17 1.13589196E-16 2.45974620E-16 2.54665845E-18 6.24128167E-17 4.89821534E-15 0.00000000E+00 3.55097681E-15 5.47938618E-16 8.87377719E-17 0.00000000E+00 7.13311424E-16 1.14102584E-15 1.62919262E-17 7.65349233E-18 7.37968777E-18 4.96320867E-18 7.58472252E-16 6.54871919E-16 2.14956751E-16 3.97736748E-12 1.11720158E-14 3.49421826E-16 4.38010940E-16
ET2-bas    3.69060694E-14 3.69060694E-14 1.39905144E-14 1.39905144E-14 3.87346421E-14 4.43833535E-14 6.79220152E-15 6.79220152E-15 6.79220152E-15 1.03581923E-16 9.06354287E-17 9.06354287E-17 2.51295188E-17 2.51856960E-17 2.51856960E-17 2.51856960E-17 2.13514920E-17 1.80711282E-17 1.80711282E-17 1.22775559E-17 1.32896911E-17 1.32896911E-17 2.64808222E-18 2.75097987E-18 2.75097987E-18 1.10943240E-14 2.54842724E-12 3.98560365E-12 3.65844221E-12 7.54165676E-14 6.70662244E-15 6.70662244E-15 6.70662244E-15 6.18000606E-16 6.18000606E-16 6.18000606E-16 6.18000606E-16 9.10869127E-15 6.19606197E-16 9.32935284E-17 4.55700931E-16 1.84669109E-15 1.84669109E-15 1.83804672E-15 1.83804672E-15 3.48562159E-17 1.14208945E-15 1.70066298E-15 6.77806144E-16 4.47462486E-15 5.77572659E-16 6.19924847E-15 8.80873085E-17 9.48231815E-17 4.61352895E-16 5.49137920E-17 1.39294703E-16 8.79176015E-16 2.55853766E-18 6.26987832E-17 2.01146715E-14 0.00000000E+00 1.70199081E-14 3.99250253E-16 1.38926678E-16 0.00000000E+00 1.91509811E-15 7.47184592E-15 1.96786893E-17 3.54109942E-18 3.53141453E-18 3.07763886E-18 6.45976562E-16 3.74980519E-15 6.06422417E-16 1.11720158E-14 3.97736748E-12 8.20933413E-16 2.65690178E-14
LN-ET      5.85517490E-14 5.85517490E-14 1.42192829E-14 1.42192829E-14 5.15042445E-14 1.94933413E-14 7.32607116E-15 7.32607116E-15 7.32607116E-15 1.31816546E-16 1.36085471E-16 1.36108926E-16 4.42660252E-17 2.38980378E-17 2.38980378E-17 2.38980378E-17 2.14697895E-17 2.76138760E-17 2.76138760E-17 1.62335542E-17 1.49910358E-17 1.49910358E-17 4.97228479E-18 5.48369671E-18 3.90196427E-18 4.14043990E-15 7.61793762E-14 7.61793762E-14 7.61793762E-14 3.47453126E-12 7.81483988E-15 7.81483988E-15 7.81483988E-15 9.37105145E-16 9.37105145E-16 9.37105145E-16 9.37105145E-16 1.02192717E-14 9.12320400E-16 1.12047893E-16 2.25151425E-16 1.28681717E-15 1.28681717E-15 1.42603411E-15 1.42603411E-15 5.46855406E-17 1.04191895E-15 1.45449033E-15 5.56848759E-16 1.89211416E-15 8.96008536E-16 2.42627022E-15 1.45060617E-16 1.19320101E-16 6.67617729E-16 8.24152991E-17 2.21304691E-16 1.10014951E-15 3.45103106E-18 7.65587227E-17 4.97481002E-15 0.00000000E+00 2.65715494E-14 4.72227009E-16 1.70272040E-16 0.00000000E+00 2.96304476E-15 1.33016049E-14 2.72101764E-17 5.30923404E-18 2.01676265E-18 4.35422640E-18 6.16347226E-16 4.31541719E-15 9.58559604E-16 7.61793762E-14 7.61793762E-14 1.16648634E-15 1.66425558E-15
