  T/S      O-cavity       O-mucosa       Teeth-S        Teeth-V        Tongue         Tonsils        Oesophag-s     Oesophag-f     Oesophag-w     St-cont        St-mucosa      St-wall        SI-cont        SI-mucosa      SI-wall        SI-villi       RC-cont        RC-mucosa      RC-wall        LC-cont        LC-mucosa      LC-wall        RS-cont        RS-mucosa      RS-wall        ET1-sur        ET2-sur        ET2-bnd        ET2-seq        LN-ET          Bronchi        Bronchi-b      Bronchi-q      Brchiole       Brchiole-b     Brchiole-q     ALV            LN-Th          Lungs          Adrenals       Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       C-marrow       T-marrow       R-marrow       Y-marrow       Brain          Breast         Eye-lens       GB-wall        GB-cont        Ht-wall        Kidneys        Liver          LN-Sys         Ovaries        Pancreas       P-gland        Prostate       S-glands       Skin           Spleen         Testes         Thymus         Thyroid        Ureters        UB-wall        UB-cont        Uterus         Adipose        Cartilage      Muscle         ET1-wall       ET2-wall       Lung-Tis       RT-air
O-mucosa   4.46646289E-14 7.12301420E-13 2.13500557E-13 1.62657129E-14 2.37561882E-13 1.63758217E-14 5.25808106E-16 5.25808106E-16 5.25808106E-16 2.52533745E-17 2.17412116E-17 2.17412116E-17 6.14155760E-18 4.96703141E-18 4.96703141E-18 4.96703141E-18 3.64138181E-18 3.63237941E-18 3.63237941E-18 2.78755907E-18 2.20778110E-18 2.20778110E-18 4.47830369E-19 5.04375448E-19 5.04375448E-19 3.96419394E-15 8.54910554E-15 8.54910554E-15 8.54910554E-15 1.30046735E-14 5.09679177E-16 5.09679177E-16 5.09679177E-16 1.34973180E-16 1.34973180E-16 1.34973180E-16 1.34973180E-16 5.89937314E-16 1.34654020E-16 1.99013909E-17 2.80050199E-16 4.42538718E-16 4.42538718E-16 4.18662954E-16 4.18662954E-16 7.30549580E-18 2.31921981E-16 3.07243683E-16 1.63211777E-16 6.40505148E-16 1.71592786E-16 1.52507509E-15 2.25906098E-17 2.29923659E-17 1.12688122E-16 1.10087938E-17 3.36304672E-17 1.44786023E-16 3.76828139E-19 1.39411900E-17 2.07068435E-15 0.00000000E+00 4.24007520E-15 9.83294460E-17 2.68700774E-17 0.00000000E+00 3.98921866E-16 1.07479343E-15 4.26746749E-18 4.50691475E-19 3.92313115E-19 3.49336663E-19 1.16662422E-16 3.28575730E-16 1.27975495E-16 8.54910554E-15 8.54910554E-15 1.47462839E-16 2.12282444E-16
Oesophagus 5.32651941E-16 5.32651941E-16 3.09073420E-16 3.09073420E-16 5.96564338E-16 4.15516916E-16 7.80488792E-13 5.53169037E-14 3.71066706E-13 6.65251409E-16 5.93155083E-16 5.93155083E-16 8.74654603E-17 6.67384224E-17 6.67384224E-17 6.67384224E-17 3.28466070E-17 3.33536569E-17 3.33536569E-17 2.90413165E-17 2.77822542E-17 2.77822542E-17 5.44127125E-18 4.80750687E-18 4.80750687E-18 1.25381463E-16 1.52360136E-15 1.52360136E-15 1.52360136E-15 1.74622872E-15 7.17816390E-15 7.17816390E-15 7.17816390E-15 1.36613770E-15 1.36613770E-15 1.36613770E-15 1.36613770E-15 7.22593570E-15 1.38367542E-15 5.70055625E-16 1.33567809E-15 3.22847366E-16 3.22847366E-16 2.66678447E-16 2.66678447E-16 3.17233895E-17 4.02130712E-16 7.44512916E-16 1.77969633E-16 7.29816784E-17 3.96663315E-16 8.15360618E-17 4.05380730E-16 4.10302684E-16 2.70471092E-15 2.12489106E-16 6.07733243E-16 1.01620749E-15 4.08017571E-18 2.22812404E-16 1.52952919E-16 0.00000000E+00 5.04155697E-16 9.18297479E-17 5.60780522E-16 0.00000000E+00 2.58133371E-15 5.34141898E-15 6.29378991E-17 3.90036383E-18 4.31261381E-18 4.07448311E-18 1.28835435E-16 2.88428693E-16 1.77648762E-16 1.52360136E-15 1.52360136E-15 1.55973031E-15 1.42545683E-15
St-stem    2.36424723E-17 2.36424723E-17 2.27390945E-17 2.27390945E-17 2.32880475E-17 1.80720008E-17 5.97915034E-16 5.97915034E-16 5.97915034E-16 1.81097660E-14 2.63778395E-12 8.82712534E-14 1.35117753E-15 9.83069867E-16 9.83069867E-16 9.83069867E-16 2.07335236E-16 2.09013807E-16 2.09013807E-16 3.65705421E-16 3.60094575E-16 3.60094575E-16 4.10249961E-17 3.41414600E-17 3.41414600E-17 1.96930836E-17 1.87008517E-17 1.87008517E-17 1.87008517E-17 2.70438782E-17 1.74031944E-16 1.74031944E-16 1.74031944E-16 3.97233592E-16 3.97233592E-16 3.97233592E-16 3.97233592E-16 1.41173285E-16 4.05058568E-16 1.59993401E-15 1.22821234E-15 9.95809383E-17 9.95809383E-17 1.26659281E-16 1.26659281E-16 2.88658513E-17 1.62321945E-16 2.93197713E-16 7.76567806E-17 5.42175781E-18 2.49143675E-16 1.50267669E-17 1.62413422E-15 1.45470556E-15 8.67383144E-16 1.21256803E-15 1.12940178E-15 7.60197102E-16 2.93628786E-17 3.62550763E-15 8.39233376E-18 0.00000000E+00 1.85045081E-17 9.59221686E-17 3.06369110E-15 0.00000000E+00 1.08618733E-16 5.04921205E-17 5.21319548E-16 3.26042279E-17 3.56944679E-17 3.14847830E-17 1.59922296E-16 1.98537935E-16 1.31904096E-16 1.87008517E-17 1.87008517E-17 3.89735040E-16 3.91348526E-16
SI-stem    5.40223228E-18 5.40223228E-18 5.16414891E-18 5.16414891E-18 5.24664941E-18 3.90020727E-18 6.80266540E-17 6.80266540E-17 6.80266540E-17 7.21009462E-16 9.84490623E-16 9.84490623E-16 4.42408208E-15 3.35338490E-13 2.22217063E-14 1.58224662E-14 1.29151361E-15 1.36983095E-15 1.36983095E-15 1.72317462E-15 1.79297492E-15 1.79297492E-15 1.36191938E-15 1.09370674E-15 1.09370674E-15 5.14650339E-18 4.06844334E-18 4.06844334E-18 4.06844334E-18 5.83379374E-18 3.21402715E-17 3.21402715E-17 3.21402715E-17 6.19690306E-17 6.19690306E-17 6.19690306E-17 6.19690306E-17 2.71523799E-17 6.25755106E-17 5.91825933E-16 1.15036944E-15 1.36653964E-16 1.36653964E-16 2.22944385E-16 2.22944385E-16 2.91480295E-17 2.93788345E-16 4.79050832E-16 1.63186132E-16 1.11639793E-18 4.61523654E-17 4.06104307E-18 9.02763893E-16 8.50013910E-16 9.24417064E-17 9.88046296E-16 3.69704061E-16 1.15571177E-15 1.12708665E-15 1.83616337E-15 1.85672673E-18 0.00000000E+00 4.00447234E-18 8.51355450E-17 3.90489329E-16 0.00000000E+00 2.19661423E-17 1.05934384E-17 2.22646671E-15 1.02490420E-15 1.19139787E-15 1.06471697E-15 2.28186507E-16 2.97212567E-16 2.06049729E-16 4.06844334E-18 4.06844334E-18 6.09785361E-17 6.11325664E-17
RC-stem    3.86998826E-18 3.86998826E-18 3.69600733E-18 3.69600733E-18 3.96130574E-18 2.82935405E-18 3.37680727E-17 3.37680727E-17 3.37680727E-17 1.46516448E-16 2.07467680E-16 2.07467680E-16 1.00770800E-15 1.36600009E-15 1.36600009E-15 1.36600009E-15 8.78326773E-15 5.42532563E-13 9.36922892E-14 6.40950545E-16 6.97517297E-16 6.97517297E-16 2.91939044E-16 2.67327604E-16 2.67327604E-16 3.66521226E-18 2.85828148E-18 2.85828148E-18 2.85828148E-18 4.19006126E-18 2.00220647E-17 2.00220647E-17 2.00220647E-17 3.71585999E-17 3.71585999E-17 3.71585999E-17 3.71585999E-17 1.74401851E-17 3.70456743E-17 2.99007412E-16 1.07411739E-15 1.24799662E-16 1.24799662E-16 1.88706168E-16 1.88706168E-16 2.58641967E-17 2.25639385E-16 3.62133904E-16 1.29854665E-16 7.91066992E-19 2.87833744E-17 3.18854416E-18 4.41382651E-16 4.47282922E-16 4.23315171E-17 8.61529832E-16 3.15130670E-16 7.68728773E-16 2.96220830E-16 8.25891201E-16 1.25897859E-18 0.00000000E+00 2.84103911E-18 9.03421493E-17 7.86322286E-17 0.00000000E+00 1.52738385E-17 7.67305852E-18 1.29644958E-15 3.90763449E-16 4.53408683E-16 2.91855940E-16 1.99297079E-16 2.14646958E-16 2.23901244E-16 2.85828148E-18 2.85828148E-18 3.65867869E-17 3.66596864E-17
LC-stem    2.70576343E-18 2.70576343E-18 2.72785760E-18 2.72785760E-18 2.61066774E-18 1.88726175E-18 2.72658788E-17 2.72658788E-17 2.72658788E-17 2.70310431E-16 3.58025249E-16 3.58025249E-16 1.30409196E-15 1.78725761E-15 1.78725761E-15 1.78725761E-15 6.32260215E-16 6.94782560E-16 6.94782560E-16 1.05301395E-14 5.58710692E-13 9.44399540E-14 6.96700749E-16 5.46481393E-16 5.46481393E-16 3.06147047E-18 1.99791709E-18 1.99791709E-18 1.99791709E-18 2.82154967E-18 1.50850044E-17 1.50850044E-17 1.50850044E-17 2.84486336E-17 2.84486336E-17 2.84486336E-17 2.84486336E-17 1.25101614E-17 2.81178136E-17 1.68943731E-16 1.05969031E-15 1.28261919E-16 1.28261919E-16 1.85264466E-16 1.85264466E-16 2.64319122E-17 2.30935928E-16 3.56634183E-16 1.39900485E-16 6.11262671E-19 2.20432021E-17 2.59072862E-18 2.14171451E-16 2.16677329E-16 4.07720818E-17 3.80845391E-16 1.14050411E-16 8.50938668E-16 3.28381282E-16 4.38662269E-16 9.11624562E-19 0.00000000E+00 1.96246060E-18 8.89197252E-17 1.49946893E-16 0.00000000E+00 1.00284007E-17 4.94241190E-18 1.32553778E-15 5.36455826E-16 6.03553531E-16 4.03942430E-16 2.14615423E-16 2.11254123E-16 2.23920665E-16 1.99791709E-18 1.99791709E-18 2.80039149E-17 2.80627734E-17
RS-stem    6.00186914E-19 6.00186914E-19 5.55692918E-19 5.55692918E-19 4.46171923E-19 3.77523516E-19 4.60951283E-18 4.60951283E-18 4.60951283E-18 2.75094288E-17 3.54534341E-17 3.54534341E-17 1.24559474E-15 1.10061491E-15 1.10061491E-15 1.10061491E-15 2.68363096E-16 2.71639416E-16 2.71639416E-16 4.55342801E-16 5.51240796E-16 5.51240796E-16 1.05644425E-14 9.22879204E-13 1.92140047E-13 6.24041701E-19 4.92223845E-19 4.92223845E-19 4.92223845E-19 5.23307592E-19 3.09326326E-18 3.09326326E-18 3.09326326E-18 5.77946203E-18 5.77946203E-18 5.77946203E-18 5.77979850E-18 2.56972770E-18 5.74229204E-18 3.45657925E-17 1.02154307E-15 1.54844603E-16 1.54844603E-16 1.90944297E-16 1.90944297E-16 5.68276044E-17 3.18151728E-16 4.44008539E-16 2.17257233E-16 1.05935597E-19 3.90157835E-18 4.58208774E-19 3.68327302E-17 3.69226088E-17 6.40576428E-18 6.66033756E-17 2.32910667E-17 8.57425839E-16 6.19781862E-15 6.03657595E-17 1.96725277E-19 0.00000000E+00 4.46122024E-19 8.88494394E-17 2.10435998E-17 0.00000000E+00 1.84549999E-18 1.03100479E-18 1.23729958E-15 2.99904150E-15 2.66547865E-15 7.39814179E-15 2.78353705E-16 2.46729641E-16 2.73244580E-16 4.92223845E-19 4.92223845E-19 5.69086677E-18 5.70099688E-18
ET1-bas    3.96767743E-15 3.96767743E-15 5.27667771E-15 5.27667771E-15 2.95329212E-15 2.05556268E-15 1.19887325E-16 1.19887325E-16 1.19887325E-16 1.68122851E-17 1.69694621E-17 1.69694621E-17 5.11585441E-18 4.93951363E-18 4.93951363E-18 4.93951363E-18 3.90304685E-18 3.98696811E-18 3.98696811E-18 2.42961056E-18 2.29675388E-18 2.29675388E-18 5.54205850E-19 3.36045549E-19 3.36045549E-19 3.98996895E-11 2.66756281E-15 2.66756281E-15 2.66756281E-15 9.00150645E-16 1.20862573E-16 1.20862573E-16 1.20862573E-16 6.50719681E-17 6.50719681E-17 6.50719681E-17 6.50719681E-17 1.39451896E-16 6.03658706E-17 1.30494151E-17 1.38397544E-16 3.52134278E-16 3.52134278E-16 2.65949765E-16 2.65949765E-16 4.66173266E-18 1.14311075E-16 1.40494192E-16 8.99889996E-17 6.78734692E-16 1.31979403E-16 6.22136889E-15 1.82428817E-17 1.80825841E-17 6.02225357E-17 8.19401655E-18 2.20333299E-17 5.31830701E-17 8.44042721E-20 1.10424614E-17 1.19579285E-15 0.00000000E+00 8.06884858E-16 1.22173693E-16 1.76410487E-17 0.00000000E+00 1.55783332E-16 2.42146688E-16 2.83991371E-18 6.99655238E-19 8.34722280E-19 1.71305101E-19 1.61957352E-16 1.44297079E-16 5.00981857E-17 3.40414873E-12 2.66756281E-15 6.69326849E-17 8.83516650E-17
ET2-bas    8.54326678E-15 8.54326678E-15 3.41074292E-15 3.41074292E-15 9.24710735E-15 1.08145084E-14 1.50559454E-15 1.50559454E-15 1.50559454E-15 1.94833286E-17 1.66300415E-17 1.66300415E-17 4.76774554E-18 3.81368322E-18 3.81368322E-18 3.81368322E-18 2.84656046E-18 2.67606774E-18 2.67606774E-18 1.91457192E-18 1.75115225E-18 1.75115225E-18 4.12640600E-19 4.32253272E-19 4.32253272E-19 2.66486362E-15 1.19311605E-12 3.48585794E-12 2.70547675E-12 1.68451972E-14 1.37711839E-15 1.37711839E-15 1.37711839E-15 1.45970330E-16 1.45970330E-16 1.45970330E-16 1.45970330E-16 1.84170257E-15 1.40154856E-16 1.68046678E-17 1.60493957E-16 4.37144477E-16 4.37144477E-16 4.36296003E-16 4.36296003E-16 6.87975860E-18 2.67476570E-16 4.08922966E-16 1.65443457E-16 1.09086694E-15 1.27716712E-16 1.48325690E-15 1.69429550E-17 1.66349076E-17 1.03336201E-16 1.05051004E-17 2.76130380E-17 2.14310760E-16 1.94768965E-19 1.04397834E-17 4.92295340E-15 0.00000000E+00 4.15303712E-15 9.00603827E-17 2.45776874E-17 0.00000000E+00 4.59791780E-16 1.83626759E-15 3.13290512E-18 1.29608146E-19 3.31889692E-19 3.01143265E-19 1.45799682E-16 7.35678388E-16 1.49857742E-16 2.66756281E-15 3.40414873E-12 1.87012769E-16 1.39333275E-14
LN-ET      1.30406430E-14 1.30406430E-14 3.41174528E-15 3.41174528E-15 1.20653723E-14 4.83944889E-15 1.76391345E-15 1.76391345E-15 1.76391345E-15 3.18351962E-17 2.99604366E-17 2.99650299E-17 6.38038833E-18 4.36712557E-18 4.36712557E-18 4.36712557E-18 4.18526646E-18 5.09933811E-18 5.09933811E-18 1.45119011E-18 1.28639878E-18 1.28639878E-18 4.58969603E-19 2.50208161E-20 5.23307592E-19 9.23236177E-16 1.69759306E-14 1.69759306E-14 1.69759306E-14 1.37942691E-12 1.87627382E-15 1.87627382E-15 1.87627382E-15 2.16140458E-16 2.16140458E-16 2.16140458E-16 2.16140458E-16 2.46744686E-15 2.17411880E-16 2.74153577E-17 6.69703441E-17 3.14171816E-16 3.14171816E-16 3.09558925E-16 3.09558925E-16 7.66233971E-18 2.38106534E-16 3.77406663E-16 1.34059635E-16 4.42475043E-16 2.04228386E-16 5.43227549E-16 2.54025140E-17 2.79809360E-17 1.54612391E-16 1.45074294E-17 3.94982425E-17 2.78864190E-16 1.16753204E-18 1.67083325E-17 1.26179667E-15 0.00000000E+00 6.40709333E-15 1.14597783E-16 4.13829195E-17 0.00000000E+00 7.42983046E-16 3.22617519E-15 5.29524256E-18 5.24751525E-19 5.98163766E-19 5.02558515E-19 1.31546976E-16 8.90989788E-16 2.06152714E-16 1.69759306E-14 1.69759306E-14 2.71464390E-16 3.79582207E-16
